A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Golden State,
12:00.0,Jump ball: J. Duren vs. K. Looney (K. Thompson gains possession),
11:39.0, , ,0-2,+2,K. Thompson makes 2-pt layup from 4 ft,
11:24.0,I. Livers makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),+3,3-2, , ,Lead change
11:12.0, , ,3-2, ,K. Thompson misses 3-pt jump shot from 26 ft,
11:10.0,Defensive rebound by I. Livers, ,3-2, , ,
11:03.0,Turnover by J. Ivey (bad pass), ,3-2, , ,
10:50.0, , ,3-2, ,Shooting foul by J. Ivey (drawn by K. Looney),
10:50.0, , ,3-3,+1,K. Looney makes free throw 1 of 2,Tie
10:50.0, , ,3-4,+1,K. Looney makes free throw 2 of 2,Lead change
10:29.0,B. Bogdanović misses 2-pt layup from 5 ft, ,3-4, , ,
10:28.0,Offensive rebound by J. Duren, ,3-4, , ,
10:28.0,Jump ball: J. Duren vs. K. Thompson (I. Livers gains possession),
10:17.0,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),+2,5-4, , ,Lead change
10:05.0, , ,5-6,+2,K. Looney makes 2-pt layup from 4 ft (assist by S. Curry),Lead change
9:52.0,C. Cunningham misses 2-pt layup from 6 ft (block by S. Curry), ,5-6, , ,
9:50.0, , ,5-6, ,Defensive rebound by S. Curry,
9:46.0, , ,5-6, ,S. Curry misses 3-pt jump shot from 27 ft,
9:42.0, , ,5-6, ,Offensive rebound by K. Looney,
9:36.0, , ,5-6, ,S. Curry misses 3-pt jump shot from 25 ft,
9:33.0,Defensive rebound by C. Cunningham, ,5-6, , ,
9:25.0,C. Cunningham makes 2-pt jump shot from 16 ft,+2,7-6, , ,Lead change
9:03.0, , ,7-6, ,J. Kuminga misses 3-pt jump shot from 26 ft,
8:59.0,Defensive rebound by J. Duren, ,7-6, , ,
8:51.0,C. Cunningham misses 2-pt hook shot from 9 ft, ,7-6, , ,
8:47.0, , ,7-6, ,Defensive rebound by K. Looney,
8:43.0, , ,7-8,+2,J. Kuminga makes 2-pt dunk from 4 ft (assist by K. Thompson),Lead change
8:23.0,I. Livers misses 3-pt jump shot from 24 ft, ,7-8, , ,
8:17.0, , ,7-8, ,Defensive rebound by J. Kuminga,
7:54.0, , ,7-8, ,K. Thompson misses 3-pt jump shot from 26 ft,
7:53.0,Defensive rebound by J. Duren, ,7-8, , ,
7:47.0,B. Bogdanović misses 2-pt jump shot from 17 ft (block by C. Paul), ,7-8, , ,
7:46.0,Offensive rebound by B. Bogdanović, ,7-8, , ,
7:41.0,Turnover by B. Bogdanović (bad pass), ,7-8, , ,
7:32.0, , ,7-8, ,Personal foul by J. Ivey (drawn by J. Kuminga),
7:29.0,Violation by Team (kicked ball), ,7-8, , ,
7:17.0, , ,7-10,+2,J. Kuminga makes 2-pt layup from 3 ft (assist by K. Looney),
7:09.0,J. Ivey misses 3-pt jump shot from 29 ft, ,7-10, , ,
7:06.0, , ,7-10, ,Defensive rebound by J. Kuminga,
7:01.0, , ,7-10, ,Shooting foul by I. Livers (drawn by J. Kuminga),
7:01.0, , ,7-11,+1,J. Kuminga makes free throw 1 of 2,
7:01.0,A. Thompson enters the game for J. Ivey, ,7-11, , ,
7:01.0, , ,7-12,+1,J. Kuminga makes free throw 2 of 2,
6:38.0,B. Bogdanović misses 2-pt jump shot from 16 ft, ,7-12, , ,
6:34.0, , ,7-12, ,Defensive rebound by S. Curry,
6:32.0, , ,7-12, ,K. Thompson misses 2-pt jump shot from 19 ft,
6:27.0,Defensive rebound by J. Duren, ,7-12, , ,
6:26.0,A. Thompson misses 2-pt layup from 4 ft, ,7-12, , ,
6:25.0,Offensive rebound by J. Duren, ,7-12, , ,
6:24.0,J. Duren makes 2-pt layup at rim,+2,9-12, , ,
6:11.0, , ,9-12, ,Turnover by S. Curry (bad pass; steal by A. Thompson),
6:03.0,C. Cunningham misses 3-pt jump shot from 24 ft, ,9-12, , ,
6:00.0, , ,9-12, ,Defensive rebound by K. Looney,
5:57.0, , ,9-12, ,K. Thompson misses 2-pt layup from 6 ft (block by J. Duren),
5:55.0, , ,9-12, ,Offensive rebound by K. Thompson,
5:53.0, , ,9-14,+2,K. Thompson makes 2-pt layup at rim,
5:53.0,Detroit full timeout, ,9-14, , ,
5:53.0, , ,9-14, ,T. Jackson-Davis enters the game for K. Looney,
5:53.0, , ,9-14, ,B. Podziemski enters the game for C. Paul,
5:53.0, , ,9-14, ,A. Wiggins enters the game for K. Thompson,
5:43.0,C. Cunningham misses 3-pt jump shot from 28 ft, ,9-14, , ,
5:41.0, , ,9-14, ,Defensive rebound by T. Jackson-Davis,
5:16.0, , ,9-14, ,J. Kuminga misses 2-pt hook shot from 4 ft,
5:14.0,Defensive rebound by A. Thompson, ,9-14, , ,
5:08.0,C. Cunningham misses 3-pt jump shot from 28 ft, ,9-14, , ,
5:05.0, , ,9-14, ,Defensive rebound by T. Jackson-Davis,
4:59.0, , ,9-14, ,A. Wiggins misses 3-pt jump shot from 25 ft,
4:57.0,Defensive rebound by A. Thompson, ,9-14, , ,
4:53.0,Offensive foul by A. Thompson (drawn by B. Podziemski), ,9-14, , ,
4:53.0,Turnover by A. Thompson (offensive foul), ,9-14, , ,
4:53.0,A. Burks enters the game for B. Bogdanović, ,9-14, , ,
4:53.0, , ,9-14, ,D. Šarić enters the game for J. Kuminga,
4:43.0, , ,9-14, ,Turnover by S. Curry (bad pass; steal by A. Thompson),
4:35.0,C. Cunningham makes 2-pt layup from 5 ft,+2,11-14, , ,
4:23.0, , ,11-14, ,Shooting foul by A. Thompson (drawn by B. Podziemski),
4:23.0, , ,11-15,+1,B. Podziemski makes free throw 1 of 2,
4:23.0,K. Knox enters the game for J. Duren, ,11-15, , ,
4:23.0,J. Wiseman enters the game for I. Livers, ,11-15, , ,
4:23.0, , ,11-15, ,B. Podziemski misses free throw 2 of 2,
4:21.0,Defensive rebound by J. Wiseman, ,11-15, , ,
4:09.0,A. Thompson misses 3-pt jump shot from 24 ft, ,11-15, , ,
4:06.0, , ,11-15, ,Defensive rebound by T. Jackson-Davis,
3:59.0, , ,11-15, ,S. Curry misses 3-pt jump shot from 29 ft,
3:53.0,Defensive rebound by A. Burks, ,11-15, , ,
3:36.0,A. Burks misses 3-pt jump shot from 27 ft, ,11-15, , ,
3:33.0, , ,11-15, ,Defensive rebound by A. Wiggins,
3:29.0, , ,11-15, ,Offensive foul by T. Jackson-Davis (drawn by K. Knox),
3:29.0, , ,11-15, ,Turnover by T. Jackson-Davis (offensive foul),
3:29.0, , ,11-15, ,C. Paul enters the game for S. Curry,
3:24.0,Personal foul by A. Wiggins (drawn by C. Cunningham), ,11-15, , ,
3:19.0,K. Knox misses 3-pt jump shot from 28 ft, ,11-15, , ,
3:16.0, , ,11-15, ,Defensive rebound by T. Jackson-Davis,
3:06.0, , ,11-15, ,Def 3 sec tech foul by Team,
3:06.0, , ,11-15, ,C. Paul misses technical free throw,
3:06.0, , ,11-15, ,Offensive rebound by Team,
3:06.0,K. Hayes enters the game for C. Cunningham, ,11-15, , ,
3:06.0,M. Sasser enters the game for A. Thompson, ,11-15, , ,
3:00.0, , ,11-15, ,A. Wiggins misses 2-pt layup from 5 ft (block by J. Wiseman),
2:58.0, , ,11-15, ,Offensive rebound by T. Jackson-Davis,
2:51.0, , ,11-15, ,Turnover by T. Jackson-Davis (lost ball; steal by K. Hayes),
2:48.0,K. Knox makes 2-pt layup from 5 ft (assist by K. Hayes),+2,13-15, , ,
2:41.0, , ,13-15, ,D. Šarić misses 3-pt jump shot from 26 ft,
2:41.0,Defensive rebound by Team, ,13-15, , ,
2:41.0, , ,13-15, ,Loose ball foul by A. Wiggins (drawn by K. Hayes),
2:41.0, , ,13-15, ,Golden State full timeout,
2:25.0,A. Burks makes 2-pt jump shot from 12 ft,+2,15-15, , ,Tie
2:00.0, , ,15-15, ,B. Podziemski misses 2-pt layup from 5 ft,
1:57.0,Defensive rebound by A. Burks, ,15-15, , ,
1:52.0,A. Burks misses 3-pt jump shot from 26 ft, ,15-15, , ,
1:49.0, , ,15-15, ,Defensive rebound by C. Paul,
1:46.0, , ,15-15, ,Turnover by C. Paul (bad pass; steal by K. Hayes),
1:38.0,K. Knox makes 2-pt jump shot from 9 ft (assist by M. Sasser),+2,17-15, , ,Lead change
1:21.0, , ,17-18,+3,D. Šarić makes 3-pt jump shot from 27 ft (assist by C. Paul),Lead change
1:08.0,K. Knox makes 3-pt jump shot from 27 ft (assist by M. Sasser),+3,20-18, , ,Lead change
0:47.0, , ,20-20,+2,D. Šarić makes 2-pt hook shot from 7 ft,Tie
0:35.0,A. Burks misses 3-pt jump shot from 26 ft, ,20-20, , ,
0:30.0,Offensive rebound by J. Wiseman, ,20-20, , ,
0:30.0,J. Wiseman misses 2-pt layup at rim, ,20-20, , ,
0:29.0, , ,20-20, ,Defensive rebound by D. Šarić,
0:16.0, , ,20-20, ,Def 3 sec tech foul by Team,
0:16.0, , ,20-20, ,B. Podziemski misses technical free throw,
0:16.0, , ,20-20, ,Offensive rebound by Team,
0:16.0,A. Thompson enters the game for M. Sasser, ,20-20, , ,
0:03.0, , ,20-22,+2,D. Šarić makes 2-pt layup from 4 ft,Lead change
0:00.0,J. Wiseman misses 3-pt jump shot from 58 ft, ,20-22, , ,
0:00.0,Offensive rebound by Team, ,20-22, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Detroit,,Score,,Golden State,
12:00.0,Start of 2nd quarter,
11:47.0,J. Wiseman misses 2-pt hook shot from 5 ft, ,20-22, , ,
11:45.0, , ,20-22, ,Defensive rebound by B. Podziemski,
11:30.0, , ,20-22, ,D. Šarić misses 2-pt layup from 5 ft,
11:28.0,Defensive rebound by J. Wiseman, ,20-22, , ,
11:28.0,Personal foul by D. Šarić (drawn by J. Wiseman), ,20-22, , ,
11:19.0,B. Bogdanović makes 2-pt layup from 5 ft (assist by K. Hayes),+2,22-22, , ,Tie
10:57.0, , ,22-22, ,Turnover by J. Kuminga (bad pass; steal by B. Bogdanović),
10:53.0,J. Wiseman makes 2-pt dunk from 4 ft (assist by K. Knox),+2,24-22, , ,Lead change
10:53.0,Shooting foul by D. Šarić (drawn by J. Wiseman), ,24-22, , ,
10:53.0,J. Wiseman misses free throw 1 of 1, ,24-22, , ,
10:51.0, , ,24-22, ,Defensive rebound by B. Podziemski,
10:39.0, , ,24-24,+2,D. Šarić makes 2-pt layup from 3 ft (assist by K. Thompson),Tie
10:26.0,K. Knox misses 2-pt hook shot from 8 ft, ,24-24, , ,
10:22.0, , ,24-24, ,Defensive rebound by C. Paul,
10:20.0, , ,24-24, ,Personal foul by M. Sasser (drawn by D. Šarić),
10:12.0, , ,24-24, ,K. Thompson misses 2-pt jump shot from 7 ft,
10:09.0,Defensive rebound by B. Bogdanović, ,24-24, , ,
10:01.0,K. Knox makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),+3,27-24, , ,
9:52.0, , ,27-24, ,Turnover by K. Thompson (traveling),
9:28.0,K. Hayes misses 3-pt jump shot from 28 ft, ,27-24, , ,
9:26.0, , ,27-24, ,Defensive rebound by D. Šarić,
9:02.0, , ,27-24, ,C. Paul misses 3-pt jump shot from 22 ft,
8:57.0, , ,27-24, ,Offensive rebound by B. Podziemski,
8:51.0, , ,27-26,+2,C. Paul makes 2-pt layup from 2 ft (assist by B. Podziemski),
8:33.0,J. Wiseman misses 2-pt jump shot from 19 ft, ,27-26, , ,
8:31.0, , ,27-26, ,Defensive rebound by J. Kuminga,
8:27.0, , ,27-28,+2,J. Kuminga makes 2-pt jump shot from 6 ft,Lead change
8:27.0, , ,27-28, ,Shooting foul by K. Knox (drawn by J. Kuminga),
8:27.0,C. Cunningham enters the game for M. Sasser, ,27-28, , ,
8:27.0,J. Duren enters the game for J. Wiseman, ,27-28, , ,
8:27.0, , ,27-29,+1,J. Kuminga makes free throw 1 of 1,
8:17.0,K. Hayes misses 2-pt jump shot from 13 ft, ,27-29, , ,
8:15.0, , ,27-29, ,Defensive rebound by C. Paul,
8:05.0, , ,27-32,+3,D. Šarić makes 3-pt jump shot from 26 ft (assist by C. Paul),
7:46.0,K. Knox misses 3-pt jump shot from 26 ft, ,27-32, , ,
7:45.0,Offensive rebound by B. Bogdanović, ,27-32, , ,
7:45.0,B. Bogdanović misses 2-pt layup at rim, ,27-32, , ,
7:44.0, , ,27-32, ,Defensive rebound by D. Šarić,
7:36.0, , ,27-32, ,Turnover by B. Podziemski (bad pass; steal by K. Knox),
7:28.0,Turnover by J. Duren (lost ball; steal by B. Podziemski), ,27-32, , ,
7:21.0, , ,27-32, ,K. Thompson misses 3-pt jump shot from 29 ft,
7:17.0,Defensive rebound by J. Duren, ,27-32, , ,
7:04.0,Personal foul by C. Paul (drawn by C. Cunningham), ,27-32, , ,
7:04.0,J. Ivey enters the game for K. Hayes, ,27-32, , ,
7:04.0,I. Livers enters the game for K. Knox, ,27-32, , ,
7:04.0, , ,27-32, ,S. Curry enters the game for C. Paul,
7:04.0, , ,27-32, ,T. Jackson-Davis enters the game for D. Šarić,
7:04.0, , ,27-32, ,A. Wiggins enters the game for K. Thompson,
6:53.0,B. Bogdanović makes 2-pt jump shot from 13 ft,+2,29-32, , ,
6:42.0, , ,29-32, ,Turnover by A. Wiggins (step out of bounds),
6:42.0, , ,29-32, ,Golden State full timeout,
6:32.0,C. Cunningham makes 2-pt layup from 5 ft,+2,31-32, , ,
6:16.0, , ,31-32, ,S. Curry misses 3-pt jump shot from 26 ft,
6:14.0, , ,31-32, ,Offensive rebound by Team,
6:02.0, , ,31-32, ,S. Curry misses 2-pt layup from 9 ft,
6:00.0, , ,31-32, ,Offensive rebound by Team,
6:00.0, , ,31-32, ,Turnover by Team (shot clock),
5:53.0,B. Bogdanović misses 3-pt jump shot from 27 ft, ,31-32, , ,
5:50.0,Offensive rebound by J. Ivey, ,31-32, , ,
5:48.0,J. Ivey makes 2-pt layup from 5 ft,+2,33-32, , ,Lead change
5:19.0, , ,33-32, ,Personal foul by J. Ivey (drawn by T. Jackson-Davis),
5:19.0,A. Burks enters the game for J. Ivey, ,33-32, , ,
5:19.0, , ,33-32, ,K. Thompson enters the game for B. Podziemski,
5:13.0, , ,33-34,+2,T. Jackson-Davis makes 2-pt dunk from 3 ft (assist by S. Curry),Lead change
4:57.0,A. Burks misses 3-pt jump shot from 23 ft, ,33-34, , ,
4:54.0, , ,33-34, ,Defensive rebound by K. Thompson,
4:47.0, , ,33-36,+2,T. Jackson-Davis makes 2-pt dunk from 4 ft (assist by K. Thompson),
4:40.0,Offensive foul by A. Burks (drawn by J. Kuminga), ,33-36, , ,
4:40.0,Turnover by A. Burks (offensive foul), ,33-36, , ,
4:40.0,K. Knox enters the game for B. Bogdanović, ,33-36, , ,
4:35.0, , ,33-36, ,Shooting foul by C. Cunningham (drawn by S. Curry),
4:35.0, , ,33-37,+1,S. Curry makes free throw 1 of 3,
4:35.0, , ,33-38,+1,S. Curry makes free throw 2 of 3,
4:35.0, , ,33-39,+1,S. Curry makes free throw 3 of 3,
4:23.0,C. Cunningham misses 3-pt jump shot from 28 ft, ,33-39, , ,
4:21.0, , ,33-39, ,Defensive rebound by J. Kuminga,
4:02.0, , ,33-41,+2,J. Kuminga makes 2-pt jump shot from 6 ft,
3:35.0,C. Cunningham makes 2-pt jump shot from 19 ft,+2,35-41, , ,
3:26.0, , ,35-43,+2,S. Curry makes 2-pt jump shot from 18 ft,
3:06.0,K. Knox misses 3-pt jump shot from 25 ft, ,35-43, , ,
3:04.0, , ,35-43, ,Defensive rebound by K. Thompson,
3:03.0, , ,35-43, ,Turnover by K. Thompson (bad pass; steal by I. Livers),
3:02.0,I. Livers makes 2-pt layup from 3 ft,+2,37-43, , ,
2:46.0, , ,37-43, ,K. Thompson misses 2-pt jump shot from 15 ft,
2:44.0, , ,37-43, ,Offensive rebound by T. Jackson-Davis,
2:39.0, , ,37-46,+3,S. Curry makes 3-pt jump shot from 28 ft (assist by A. Wiggins),
2:39.0,Detroit full timeout, ,37-46, , ,
2:39.0, , ,37-46, ,C. Paul enters the game for J. Kuminga,
2:29.0,Def 3 sec tech foul by Team, ,37-46, , ,
2:29.0,C. Cunningham makes technical free throw,+1,38-46, , ,
2:19.0,A. Burks makes 3-pt jump shot from 26 ft (assist by K. Knox),+3,41-46, , ,
2:01.0, , ,41-48,+2,T. Jackson-Davis makes 2-pt dunk from 5 ft (assist by S. Curry),
1:45.0,A. Burks misses 2-pt jump shot from 11 ft, ,41-48, , ,
1:42.0, , ,41-48, ,Defensive rebound by T. Jackson-Davis,
1:31.0, , ,41-48, ,Turnover by S. Curry (back court),
1:31.0,B. Bogdanović enters the game for K. Knox, ,41-48, , ,
1:22.0,A. Burks misses 2-pt layup from 5 ft (block by T. Jackson-Davis), ,41-48, , ,
1:19.0,Offensive rebound by A. Burks, ,41-48, , ,
1:18.0,Turnover by A. Burks (bad pass; steal by S. Curry), ,41-48, , ,
1:12.0, , ,41-48, ,A. Wiggins misses 2-pt layup from 5 ft,
1:10.0,Defensive rebound by J. Duren, ,41-48, , ,
0:57.0,J. Duren makes 2-pt layup from 5 ft (assist by C. Cunningham),+2,43-48, , ,
0:45.0, , ,43-48, ,S. Curry misses 3-pt jump shot from 27 ft,
0:41.0,Defensive rebound by C. Cunningham, ,43-48, , ,
0:36.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by I. Livers),+3,46-48, , ,
0:17.0, , ,46-50,+2,T. Jackson-Davis makes 2-pt dunk from 4 ft (assist by C. Paul),
0:03.0,B. Bogdanović misses 2-pt jump shot from 9 ft, ,46-50, , ,
0:02.0,Offensive rebound by Team, ,46-50, , ,
0:02.0, , ,46-50, ,Loose ball foul by C. Paul (drawn by A. Burks),
0:02.0, , ,46-50, ,J. Kuminga enters the game for S. Curry,
0:01.0,C. Cunningham misses 3-pt jump shot from 26 ft, ,46-50, , ,
0:00.0,Offensive rebound by Team, ,46-50, , ,
0:00.0,End of 2nd quarter,
3rd Q,
Time,Detroit,,Score,,Golden State,
12:00.0,Start of 3rd quarter,
11:42.0,J. Duren makes 2-pt dunk from 2 ft (assist by J. Ivey),+2,48-50, , ,
11:20.0, , ,48-53,+3,K. Thompson makes 3-pt jump shot from 26 ft (assist by C. Paul),
11:06.0,C. Cunningham makes 2-pt dunk from 3 ft,+2,50-53, , ,
10:48.0, , ,50-53, ,Offensive foul by J. Kuminga (drawn by C. Cunningham),
10:48.0, , ,50-53, ,Turnover by J. Kuminga (offensive foul),
10:29.0,C. Cunningham makes 2-pt layup from 4 ft,+2,52-53, , ,
10:22.0, , ,52-53, ,Personal foul by I. Livers (drawn by J. Kuminga),
10:15.0, , ,52-56,+3,C. Paul makes 3-pt jump shot from 28 ft (assist by S. Curry),
9:57.0,J. Ivey misses 2-pt layup from 5 ft (block by K. Thompson), ,52-56, , ,
9:55.0, , ,52-56, ,Defensive rebound by S. Curry,
9:50.0, , ,52-58,+2,S. Curry makes 2-pt layup from 5 ft,
9:29.0,J. Ivey misses 3-pt jump shot from 23 ft, ,52-58, , ,
9:25.0, , ,52-58, ,Defensive rebound by K. Looney,
