A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Denver,
12:00.0,Jump ball: J. Duren vs. N. Jokić (J. Ivey gains possession),
11:37.0,J. Duren makes 2-pt hook shot from 3 ft,+2,2-0, , ,
11:19.0, , ,2-0, ,Shooting foul by I. Livers (drawn by J. Murray),
11:19.0, , ,2-1,+1,J. Murray makes free throw 1 of 2,
11:19.0, , ,2-2,+1,J. Murray makes free throw 2 of 2,Tie
10:54.0,Turnover by Team (shot clock), ,2-2, , ,
10:35.0, , ,2-2, ,M. Porter misses 3-pt jump shot from 22 ft,
10:32.0,Defensive rebound by I. Livers, ,2-2, , ,
10:12.0,B. Bogdanović misses 2-pt jump shot from 19 ft, ,2-2, , ,
10:09.0, , ,2-2, ,Defensive rebound by J. Murray,
10:06.0, , ,2-2, ,Personal foul by J. Ivey (drawn by A. Gordon),
9:59.0, , ,2-5,+3,J. Murray makes 3-pt jump shot from 26 ft (assist by M. Porter),Lead change
9:41.0,J. Duren makes 2-pt layup from 2 ft (assist by C. Cunningham),+2,4-5, , ,
9:25.0, , ,4-5, ,J. Murray misses 3-pt jump shot from 25 ft,
9:25.0,Defensive rebound by C. Cunningham, ,4-5, , ,
9:18.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),+3,7-5, , ,Lead change
8:50.0, , ,7-7,+2,M. Porter makes 2-pt layup from 2 ft (assist by N. Jokić),Tie
8:43.0,J. Ivey misses 3-pt jump shot from 27 ft, ,7-7, , ,
8:43.0, , ,7-7, ,Defensive rebound by N. Jokić,
8:29.0, , ,7-7, ,J. Murray misses 2-pt layup at rim,
8:27.0,Defensive rebound by C. Cunningham, ,7-7, , ,
8:21.0,J. Ivey misses 3-pt jump shot from 23 ft, ,7-7, , ,
8:17.0, , ,7-7, ,Defensive rebound by K. Caldwell-Pope,
8:06.0, , ,7-7, ,Shooting foul by C. Cunningham (drawn by M. Porter),
8:06.0, , ,7-8,+1,M. Porter makes free throw 1 of 3,Lead change
8:06.0, , ,7-9,+1,M. Porter makes free throw 2 of 3,
8:06.0, , ,7-10,+1,M. Porter makes free throw 3 of 3,
8:01.0,C. Cunningham misses 2-pt layup from 2 ft (block by N. Jokić), ,7-10, , ,
8:01.0,Offensive rebound by Team, ,7-10, , ,
7:54.0,C. Cunningham misses 2-pt jump shot from 11 ft (block by J. Murray), ,7-10, , ,
7:54.0,Offensive rebound by Team, ,7-10, , ,
7:45.0,I. Livers makes 2-pt layup from 2 ft (assist by J. Ivey),+2,9-10, , ,
7:27.0, , ,9-13,+3,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by M. Porter),
7:13.0,B. Bogdanović makes 2-pt jump shot from 8 ft (assist by C. Cunningham),+2,11-13, , ,
6:55.0, , ,11-13, ,Personal foul by B. Bogdanović (drawn by N. Jokić),
6:55.0, , ,11-13, ,Denver full timeout,
6:55.0,A. Burks enters the game for C. Cunningham, ,11-13, , ,
6:55.0,K. Hayes enters the game for J. Ivey, ,11-13, , ,
6:47.0, , ,11-13, ,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,
6:43.0,Defensive rebound by K. Hayes, ,11-13, , ,
6:31.0,J. Duren makes 2-pt dunk from 1 ft (assist by K. Hayes),+2,13-13, , ,Tie
6:08.0, , ,13-15,+2,M. Porter makes 2-pt jump shot from 17 ft (assist by N. Jokić),
5:52.0,I. Livers misses 2-pt layup from 2 ft (block by N. Jokić), ,13-15, , ,
5:50.0, , ,13-15, ,Defensive rebound by N. Jokić,
5:28.0, , ,13-17,+2,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),
5:05.0,Shooting foul by M. Porter (drawn by I. Livers), ,13-17, , ,
5:05.0,I. Livers makes free throw 1 of 2,+1,14-17, , ,
5:05.0, , ,14-17, ,R. Jackson enters the game for J. Murray,
5:05.0,I. Livers makes free throw 2 of 2,+1,15-17, , ,
4:48.0, , ,15-17, ,M. Porter misses 3-pt jump shot from 26 ft,
4:46.0,Defensive rebound by J. Duren, ,15-17, , ,
4:35.0,Turnover by B. Bogdanović (bad pass; steal by A. Gordon), ,15-17, , ,
4:23.0, , ,15-17, ,A. Gordon misses 2-pt layup from 3 ft,
4:20.0, , ,15-17, ,Offensive rebound by A. Gordon,
4:20.0, , ,15-19,+2,A. Gordon makes 2-pt layup at rim,
4:06.0,K. Hayes makes 2-pt jump shot from 17 ft,+2,17-19, , ,
3:47.0, , ,17-19, ,M. Porter misses 3-pt jump shot from 26 ft,
3:43.0,Defensive rebound by A. Burks, ,17-19, , ,
3:34.0,A. Burks makes 3-pt jump shot from 25 ft,+3,20-19, , ,Lead change
3:33.0, , ,20-19, ,Denver full timeout,
3:33.0,K. Knox enters the game for B. Bogdanović, ,20-19, , ,
3:33.0,A. Thompson enters the game for J. Duren, ,20-19, , ,
3:33.0,J. Wiseman enters the game for I. Livers, ,20-19, , ,
3:33.0, , ,20-19, ,C. Braun enters the game for K. Caldwell-Pope,
3:33.0, , ,20-19, ,P. Watson enters the game for A. Gordon,
3:17.0, , ,20-21,+2,M. Porter makes 2-pt layup from 1 ft (assist by N. Jokić),Lead change
2:58.0,K. Hayes misses 3-pt jump shot from 25 ft, ,20-21, , ,
2:55.0, , ,20-21, ,Defensive rebound by P. Watson,
2:41.0, , ,20-21, ,Shooting foul by A. Burks (drawn by R. Jackson),
2:41.0, , ,20-22,+1,R. Jackson makes free throw 1 of 2,
2:41.0, , ,20-22, ,D. Jordan enters the game for N. Jokić,
2:41.0, , ,20-23,+1,R. Jackson makes free throw 2 of 2,
2:27.0,A. Thompson misses 2-pt jump shot from 6 ft, ,20-23, , ,
2:25.0, , ,20-23, ,Defensive rebound by D. Jordan,
2:08.0, , ,20-23, ,R. Jackson misses 2-pt jump shot from 12 ft,
2:03.0,Defensive rebound by A. Burks, ,20-23, , ,
1:56.0,A. Burks misses 2-pt layup from 1 ft, ,20-23, , ,
1:54.0, , ,20-23, ,Defensive rebound by D. Jordan,
1:47.0, , ,20-23, ,Personal foul by A. Thompson (drawn by D. Jordan),
1:47.0, , ,20-24,+1,D. Jordan makes free throw 1 of 2,
1:47.0, , ,20-24, ,J. Murray enters the game for M. Porter,
1:47.0, , ,20-25,+1,D. Jordan makes free throw 2 of 2,
1:35.0,J. Wiseman misses 2-pt jump shot from 10 ft, ,20-25, , ,
1:32.0,Offensive rebound by A. Thompson, ,20-25, , ,
1:31.0,K. Knox makes 2-pt jump shot from 14 ft (assist by A. Thompson),+2,22-25, , ,
1:28.0,Violation by Team (delay of game), ,22-25, , ,
1:19.0, , ,22-25, ,Turnover by D. Jordan (bad pass),
1:09.0,J. Wiseman makes 2-pt dunk at rim (assist by K. Hayes),+2,24-25, , ,
0:45.0, , ,24-25, ,P. Watson misses 2-pt jump shot from 14 ft,
0:44.0, , ,24-25, ,Offensive rebound by Team,
0:42.0, , ,24-28,+3,J. Murray makes 3-pt jump shot from 26 ft (assist by R. Jackson),
0:27.0,A. Burks misses 2-pt jump shot from 6 ft, ,24-28, , ,
0:26.0,Offensive rebound by A. Burks, ,24-28, , ,
0:26.0,A. Burks makes 2-pt layup from 1 ft,+2,26-28, , ,
0:08.0, , ,26-31,+3,R. Jackson makes 3-pt jump shot from 27 ft (assist by J. Murray),
