A,B,C,D,E,F,Event
1st Q
Time,San Antonio,,Score,,Detroit,
12:00.0,Jump ball: V. Wembanyama vs. J. Duren (J. Champagnie gains possession),
11:43.0,T. Jones makes 2-pt layup from 3 ft (assist by V. Wembanyama),+2,2-0, , ,
11:25.0, , ,2-0, ,B. Bogdanović misses 2-pt jump shot from 11 ft,
11:22.0,Defensive rebound by V. Wembanyama, ,2-0, , ,
11:15.0,T. Jones makes 2-pt layup from 2 ft (assist by V. Wembanyama),+2,4-0, , ,
11:03.0, , ,4-0, ,J. Ivey misses 3-pt jump shot from 26 ft,
10:59.0,Defensive rebound by J. Sochan, ,4-0, , ,
10:53.0,D. Vassell misses 3-pt jump shot from 27 ft, ,4-0, , ,
10:51.0, , ,4-0, ,Defensive rebound by J. Ivey,
10:45.0, , ,4-2,+2,J. Ivey makes 2-pt layup from 2 ft,
10:35.0,V. Wembanyama makes 2-pt layup from 4 ft (assist by T. Jones),+2,6-2, , ,
10:22.0, , ,6-2, ,J. Ivey misses 2-pt jump shot from 11 ft,
10:19.0,Defensive rebound by J. Champagnie, ,6-2, , ,
10:02.0,D. Vassell misses 3-pt jump shot from 28 ft, ,6-2, , ,
9:58.0, , ,6-2, ,Defensive rebound by J. Ivey,
9:58.0, , ,6-2, ,Shooting foul by T. Jones (drawn by J. Ivey),
9:58.0, , ,6-2, ,J. Ivey misses free throw 1 of 2,
9:58.0, , ,6-2, ,Offensive rebound by Team,
9:58.0, , ,6-3,+1,J. Ivey makes free throw 2 of 2,
9:43.0,V. Wembanyama makes 2-pt layup from 4 ft (assist by D. Vassell),+2,8-3, , ,
9:28.0, , ,8-6,+3,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Ivey),
9:16.0,V. Wembanyama misses 3-pt jump shot from 26 ft, ,8-6, , ,
9:13.0, , ,8-6, ,Defensive rebound by J. Ivey,
9:08.0, , ,8-8,+2,K. Hayes makes 2-pt jump shot from 6 ft (assist by J. Ivey),Tie
8:50.0,Turnover by T. Jones (out of bounds lost ball), ,8-8, , ,
8:32.0, , ,8-8, ,K. Hayes misses 2-pt jump shot from 8 ft,
8:30.0,Defensive rebound by J. Champagnie, ,8-8, , ,
8:25.0,Turnover by J. Sochan (bad pass; steal by I. Livers), ,8-8, , ,
8:13.0, , ,8-8, ,J. Ivey misses 3-pt jump shot from 28 ft,
8:10.0,Defensive rebound by D. Vassell, ,8-8, , ,
8:03.0,V. Wembanyama misses 2-pt jump shot from 6 ft, ,8-8, , ,
8:00.0, , ,8-8, ,Defensive rebound by J. Duren,
7:57.0, , ,8-10,+2,J. Duren makes 2-pt dunk from 3 ft,Lead change
7:56.0,San Antonio full timeout, ,8-10, , ,
7:37.0,V. Wembanyama makes 2-pt jump shot from 7 ft (assist by D. Vassell),+2,10-10, , ,Tie
7:16.0, , ,10-10, ,B. Bogdanović misses 2-pt jump shot from 12 ft,
7:14.0,Defensive rebound by V. Wembanyama, ,10-10, , ,
7:13.0,J. Sochan makes 2-pt dunk from 3 ft (assist by V. Wembanyama),+2,12-10, , ,Lead change
6:50.0, , ,12-10, ,J. Ivey misses 2-pt jump shot from 6 ft,
6:47.0,Defensive rebound by V. Wembanyama, ,12-10, , ,
6:43.0,V. Wembanyama misses 2-pt jump shot from 5 ft, ,12-10, , ,
6:40.0,Offensive rebound by V. Wembanyama, ,12-10, , ,
6:40.0,V. Wembanyama misses 2-pt layup at rim, ,12-10, , ,
6:39.0, , ,12-10, ,Defensive rebound by J. Duren,
6:32.0, , ,12-10, ,J. Duren misses 2-pt jump shot from 3 ft,
6:29.0,Defensive rebound by V. Wembanyama, ,12-10, , ,
