A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Washington,
12:00.0,Jump ball: J. Duren vs. D. Gafford (J. Poole gains possession),
11:44.0, , ,0-0, ,Shooting foul by K. Hayes (drawn by D. Avdija),
11:44.0, , ,0-1,+1,D. Avdija makes free throw 1 of 2,
11:44.0, , ,0-1, ,D. Avdija misses free throw 2 of 2,
11:42.0,Defensive rebound by J. Duren, ,0-1, , ,
11:29.0,Offensive foul by I. Stewart (drawn by K. Kuzma), ,0-1, , ,
11:29.0,Turnover by I. Stewart (offensive foul), ,0-1, , ,
11:11.0, , ,0-3,+2,D. Avdija makes 2-pt hook shot from 9 ft,
10:57.0,I. Stewart misses 3-pt jump shot from 27 ft, ,0-3, , ,
10:54.0, , ,0-3, ,Defensive rebound by D. Gafford,
10:46.0, , ,0-3, ,K. Kuzma misses 3-pt jump shot from 23 ft,
10:42.0,Defensive rebound by J. Duren, ,0-3, , ,
10:35.0,K. Hayes misses 3-pt jump shot from 25 ft, ,0-3, , ,
10:33.0, , ,0-3, ,Defensive rebound by Team,
10:18.0, , ,0-3, ,Turnover by D. Avdija (out of bounds lost ball),
10:10.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by J. Duren),+3,3-3, , ,Tie
9:49.0, , ,3-3, ,T. Jones misses 3-pt jump shot from 26 ft,
9:46.0,Defensive rebound by J. Ivey, ,3-3, , ,
9:40.0,J. Ivey makes 2-pt jump shot from 16 ft,+2,5-3, , ,Lead change
9:14.0, , ,5-3, ,T. Jones misses 2-pt jump shot from 18 ft,
9:12.0,Defensive rebound by K. Hayes, ,5-3, , ,
9:02.0,J. Ivey makes 3-pt jump shot from 27 ft (assist by K. Hayes),+3,8-3, , ,
8:48.0, , ,8-3, ,K. Kuzma misses 2-pt jump shot from 20 ft,
8:45.0,Defensive rebound by J. Duren, ,8-3, , ,
8:44.0,J. Duren makes 2-pt layup from 2 ft,+2,10-3, , ,
8:44.0,Shooting foul by J. Poole (drawn by J. Duren), ,10-3, , ,
8:44.0,J. Duren misses free throw 1 of 1, ,10-3, , ,
8:41.0, , ,10-3, ,Defensive rebound by D. Avdija,
8:30.0, , ,10-3, ,J. Poole misses 2-pt jump shot from 15 ft,
8:28.0, , ,10-3, ,Offensive rebound by Team,
8:28.0,Loose ball foul by J. Duren (drawn by D. Gafford), ,10-3, , ,
8:28.0, , ,10-3, ,Violation by Team (delay of game),
8:19.0, , ,10-3, ,D. Avdija misses 2-pt jump shot from 9 ft,
8:16.0,Defensive rebound by J. Duren, ,10-3, , ,
8:08.0,J. Ivey misses 2-pt layup from 4 ft (block by D. Gafford), ,10-3, , ,
8:06.0, , ,10-3, ,Defensive rebound by K. Kuzma,
7:59.0, , ,10-5,+2,D. Avdija makes 2-pt dunk from 2 ft (assist by T. Jones),
7:43.0,J. Ivey misses 3-pt jump shot from 24 ft, ,10-5, , ,
7:40.0,Offensive rebound by J. Duren, ,10-5, , ,
7:38.0,J. Duren makes 2-pt jump shot from 7 ft,+2,12-5, , ,
7:13.0, , ,12-8,+3,D. Avdija makes 3-pt jump shot from 29 ft (assist by J. Poole),
6:54.0,I. Stewart makes 2-pt layup from 1 ft (assist by J. Duren),+2,14-8, , ,
6:54.0, , ,14-8, ,Washington full timeout,
6:54.0, , ,14-8, ,B. Coulibaly enters the game for D. Avdija,
6:37.0, , ,14-8, ,T. Jones misses 3-pt jump shot from 23 ft,
6:33.0,Defensive rebound by J. Duren, ,14-8, , ,
6:22.0,Turnover by J. Ivey (bad pass; steal by K. Kuzma), ,14-8, , ,
6:17.0, , ,14-10,+2,T. Jones makes 2-pt layup from 1 ft (assist by K. Kuzma),
6:07.0,Offensive foul by J. Duren (drawn by D. Gafford), ,14-10, , ,
6:07.0,Turnover by J. Duren (offensive foul), ,14-10, , ,
6:07.0,J. Wiseman enters the game for J. Duren, ,14-10, , ,
5:56.0, , ,14-12,+2,J. Poole makes 2-pt jump shot from 11 ft,
5:43.0,K. Knox misses 2-pt jump shot from 14 ft, ,14-12, , ,
5:40.0, , ,14-12, ,Defensive rebound by T. Jones,
5:37.0, , ,14-12, ,J. Poole misses 3-pt jump shot from 28 ft,
5:34.0, , ,14-12, ,Offensive rebound by B. Coulibaly,
5:31.0, , ,14-15,+3,T. Jones makes 3-pt jump shot from 23 ft (assist by D. Gafford),Lead change
5:18.0,I. Stewart misses 3-pt jump shot from 26 ft, ,14-15, , ,
5:16.0, , ,14-15, ,Defensive rebound by Team,
5:16.0,Loose ball foul by J. Wiseman (drawn by D. Gafford), ,14-15, , ,
5:16.0,A. Burks enters the game for K. Hayes, ,14-15, , ,
5:02.0, , ,14-15, ,K. Kuzma misses 2-pt jump shot from 10 ft,
4:59.0,Defensive rebound by I. Stewart, ,14-15, , ,
4:54.0,I. Stewart misses 3-pt jump shot from 26 ft, ,14-15, , ,
4:49.0,Offensive rebound by J. Ivey, ,14-15, , ,
4:45.0,A. Burks makes 3-pt jump shot from 27 ft (assist by J. Ivey),+3,17-15, , ,Lead change
4:28.0, , ,17-15, ,T. Jones misses 2-pt layup from 4 ft (block by J. Ivey),
4:26.0,Defensive rebound by J. Wiseman, ,17-15, , ,
4:20.0,Shooting foul by J. Poole (drawn by A. Burks), ,17-15, , ,
4:20.0,A. Burks makes free throw 1 of 2,+1,18-15, , ,
4:20.0,A. Thompson enters the game for K. Knox, ,18-15, , ,
4:20.0, , ,18-15, ,D. Wright enters the game for T. Jones,
4:20.0,A. Burks makes free throw 2 of 2,+1,19-15, , ,
4:03.0, , ,19-15, ,K. Kuzma misses 3-pt jump shot from 27 ft,
3:58.0, , ,19-15, ,Offensive rebound by D. Wright,
3:52.0, , ,19-15, ,D. Gafford misses 2-pt jump shot from 11 ft,
3:48.0,Defensive rebound by A. Burks, ,19-15, , ,
3:42.0,A. Burks misses 2-pt jump shot from 10 ft, ,19-15, , ,
3:39.0, , ,19-15, ,Defensive rebound by K. Kuzma,
3:34.0, , ,19-17,+2,K. Kuzma makes 2-pt jump shot from 10 ft,
3:34.0, , ,19-17, ,Shooting foul by A. Thompson (drawn by K. Kuzma),
3:34.0, , ,19-17, ,C. Kispert enters the game for J. Poole,
3:34.0, , ,19-18,+1,K. Kuzma makes free throw 1 of 1,
3:22.0,I. Stewart misses 3-pt jump shot from 26 ft, ,19-18, , ,
3:21.0,Offensive rebound by J. Wiseman, ,19-18, , ,
3:20.0,J. Wiseman misses 2-pt layup from 3 ft (block by D. Gafford), ,19-18, , ,
3:18.0, , ,19-18, ,Defensive rebound by K. Kuzma,
3:12.0, , ,19-20,+2,K. Kuzma makes 2-pt jump shot from 2 ft,Lead change
3:11.0,Detroit full timeout, ,19-20, , ,
3:11.0,M. Sasser enters the game for J. Ivey, ,19-20, , ,
3:02.0,Personal foul by D. Wright (drawn by M. Sasser), ,19-20, , ,
2:53.0,Turnover by A. Burks (bad pass; steal by D. Gafford), ,19-20, , ,
