A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Cleveland,
12:00.0,Jump ball: J. Duren vs. J. Allen (E. Mobley gains possession),
11:40.0, , ,0-0, ,M. Strus misses 3-pt jump shot from 23 ft,
11:37.0, , ,0-0, ,Offensive rebound by E. Mobley,
11:37.0, , ,0-0, ,E. Mobley misses 2-pt hook shot from 5 ft,
11:34.0,Defensive rebound by M. Muscala, ,0-0, , ,
11:18.0,C. Cunningham makes 2-pt layup from 1 ft,+2,2-0, , ,
11:09.0, , ,2-2,+2,J. Allen makes 2-pt layup from 3 ft (assist by D. Mitchell),Tie
11:09.0,Violation by Team (def goaltending), ,2-2, , ,
10:50.0,B. Bogdanović misses 2-pt jump shot from 2 ft, ,2-2, , ,
10:50.0, , ,2-2, ,Defensive rebound by E. Mobley,
10:41.0, , ,2-2, ,J. Allen misses 2-pt dunk from 2 ft,
10:39.0, , ,2-2, ,Offensive rebound by J. Allen,
10:34.0, , ,2-4,+2,E. Mobley makes 2-pt layup from 2 ft (assist by D. Garland),Lead change
10:18.0,B. Bogdanović misses 3-pt jump shot from 25 ft, ,2-4, , ,
10:14.0, , ,2-4, ,Defensive rebound by D. Mitchell,
10:07.0, , ,2-4, ,D. Mitchell misses 3-pt jump shot from 25 ft,
10:05.0, , ,2-4, ,Offensive rebound by J. Allen,
9:59.0, , ,2-4, ,D. Garland misses 3-pt jump shot from 30 ft,
9:55.0,Defensive rebound by C. Cunningham, ,2-4, , ,
9:51.0,M. Muscala misses 3-pt jump shot from 29 ft, ,2-4, , ,
9:47.0, , ,2-4, ,Defensive rebound by J. Allen,
9:41.0, , ,2-4, ,Personal foul by M. Muscala (drawn by E. Mobley),
9:29.0, , ,2-4, ,Turnover by D. Mitchell (bad pass; steal by J. Ivey),
9:25.0,Shooting foul by D. Mitchell (drawn by B. Bogdanović), ,2-4, , ,
9:25.0,B. Bogdanović misses free throw 1 of 2, ,2-4, , ,
9:25.0,Offensive rebound by Team, ,2-4, , ,
9:25.0,B. Bogdanović makes free throw 2 of 2,+1,3-4, , ,
9:08.0, , ,3-6,+2,D. Garland makes 2-pt jump shot from 14 ft,
8:52.0,J. Ivey makes 2-pt jump shot from 13 ft,+2,5-6, , ,
8:52.0,Shooting foul by D. Garland (drawn by J. Ivey), ,5-6, , ,
8:52.0,J. Ivey makes free throw 1 of 1,+1,6-6, , ,Tie
8:41.0, , ,6-6, ,D. Garland misses 3-pt jump shot from 25 ft,
8:38.0,Defensive rebound by J. Duren, ,6-6, , ,
8:33.0,M. Muscala makes 3-pt jump shot from 23 ft (assist by J. Ivey),+3,9-6, , ,Lead change
8:20.0, , ,9-8,+2,E. Mobley makes 2-pt hook shot from 6 ft (assist by D. Mitchell),
8:06.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by J. Ivey),+3,12-8, , ,
7:46.0, , ,12-11,+3,D. Garland makes 3-pt jump shot from 26 ft (assist by D. Mitchell),
7:46.0, , ,12-11, ,Shooting foul by C. Cunningham (drawn by D. Garland),
7:46.0,K. Knox enters the game for M. Muscala, ,12-11, , ,
7:46.0, , ,12-11, ,D. Wade enters the game for E. Mobley,
