A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Portland,
12:00.0,Jump ball: J. Duren vs. J. Walker (C. Cunningham gains possession),
11:34.0,C. Cunningham misses 3-pt jump shot from 23 ft, ,0-0, , ,
11:33.0,Offensive rebound by A. Thompson, ,0-0, , ,
11:29.0,A. Thompson misses 2-pt jump shot from 5 ft, ,0-0, , ,
11:25.0,Offensive rebound by J. Duren, ,0-0, , ,
11:25.0,J. Duren misses 2-pt layup at rim, ,0-0, , ,
11:25.0, , ,0-0, ,Defensive rebound by J. Grant,
11:19.0, , ,0-0, ,T. Camara misses 2-pt layup from 6 ft,
11:18.0,Defensive rebound by J. Duren, ,0-0, , ,
11:07.0,Turnover by J. Ivey (lost ball; steal by T. Camara), ,0-0, , ,
10:58.0, , ,0-0, ,J. Grant misses 2-pt hook shot from 9 ft,
10:57.0,Defensive rebound by J. Ivey, ,0-0, , ,
10:49.0,J. Ivey misses 2-pt layup from 3 ft, ,0-0, , ,
10:47.0, , ,0-0, ,Defensive rebound by T. Camara,
10:39.0, , ,0-0, ,A. Simons misses 3-pt jump shot from 30 ft,
10:37.0,Defensive rebound by J. Duren, ,0-0, , ,
10:33.0,Turnover by J. Duren (lost ball; steal by M. Thybulle), ,0-0, , ,
10:20.0, , ,0-0, ,J. Grant misses 2-pt layup from 5 ft,
10:19.0, , ,0-0, ,Offensive rebound by J. Grant,
10:19.0, , ,0-0, ,Shooting foul by A. Thompson (drawn by J. Grant),
10:19.0, , ,0-1,+1,J. Grant makes free throw 1 of 2,
10:19.0, , ,0-2,+1,J. Grant makes free throw 2 of 2,
10:09.0,C. Cunningham misses 2-pt layup from 2 ft, ,0-2, , ,
10:06.0,Offensive rebound by Team, ,0-2, , ,
9:58.0,Shooting foul by M. Thybulle (drawn by J. Duren), ,0-2, , ,
9:58.0,J. Duren makes free throw 1 of 2,+1,1-2, , ,
9:58.0,J. Duren makes free throw 2 of 2,+1,2-2, , ,Tie
