A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,LA Clippers,
12:00.0,Jump ball: J. Duren vs. I. Zubac (C. Cunningham gains possession),
11:48.0,J. Duren misses 2-pt layup from 3 ft (block by I. Zubac), ,0-0, , ,
11:47.0,Offensive rebound by Team, ,0-0, , ,
11:46.0,J. Ivey misses 2-pt jump shot from 16 ft, ,0-0, , ,
11:44.0, , ,0-0, ,Defensive rebound by Team,
11:33.0, , ,0-2,+2,P. George makes 2-pt dunk from 3 ft (assist by J. Harden),
11:16.0,J. Duren makes 2-pt layup from 1 ft (assist by A. Thompson),+2,2-2, , ,Tie
10:50.0, , ,2-2, ,J. Harden misses 3-pt jump shot from 27 ft,
10:45.0,Defensive rebound by C. Cunningham, ,2-2, , ,
10:34.0,A. Thompson misses 2-pt hook shot from 5 ft, ,2-2, , ,
10:34.0, , ,2-2, ,Defensive rebound by J. Harden,
10:16.0, , ,2-4,+2,P. George makes 2-pt jump shot from 22 ft,
10:04.0,C. Cunningham misses 2-pt jump shot from 12 ft, ,2-4, , ,
10:01.0, , ,2-4, ,Defensive rebound by I. Zubac,
9:50.0, , ,2-6,+2,I. Zubac makes 2-pt hook shot from 2 ft (assist by J. Harden),
9:34.0,Turnover by J. Ivey (step out of bounds), ,2-6, , ,
9:21.0, , ,2-6, ,T. Mann misses 3-pt jump shot from 26 ft,
9:17.0,Defensive rebound by J. Duren, ,2-6, , ,
9:15.0,Turnover by J. Duren (bad pass), ,2-6, , ,
9:04.0, , ,2-9,+3,J. Harden makes 3-pt jump shot from 28 ft (assist by K. Leonard),
8:49.0,J. Ivey misses 2-pt jump shot from 7 ft, ,2-9, , ,
8:49.0, , ,2-9, ,Defensive rebound by T. Mann,
8:41.0, , ,2-12,+3,K. Leonard makes 3-pt jump shot from 23 ft (assist by T. Mann),
8:40.0,Detroit full timeout, ,2-12, , ,
8:22.0,M. Muscala misses 3-pt jump shot from 25 ft, ,2-12, , ,
8:21.0,Offensive rebound by J. Ivey, ,2-12, , ,
8:20.0,A. Thompson misses 2-pt jump shot from 1 ft, ,2-12, , ,
8:20.0,Offensive rebound by A. Thompson, ,2-12, , ,
8:16.0,A. Thompson misses 2-pt jump shot from 2 ft, ,2-12, , ,
8:16.0,Offensive rebound by A. Thompson, ,2-12, , ,
8:14.0,A. Thompson makes 2-pt layup from 1 ft,+2,4-12, , ,
7:44.0, , ,4-12, ,J. Harden misses 3-pt jump shot from 28 ft,
7:44.0,Defensive rebound by Team, ,4-12, , ,
7:32.0,J. Ivey makes 2-pt layup from 3 ft (assist by J. Duren),+2,6-12, , ,
7:11.0,Violation by Team (kicked ball), ,6-12, , ,
7:11.0,S. Fontecchio enters the game for M. Muscala, ,6-12, , ,
7:11.0, , ,6-12, ,R. Westbrook enters the game for J. Harden,
7:06.0, , ,6-12, ,P. George misses 3-pt jump shot from 26 ft,
7:00.0,Defensive rebound by J. Duren, ,6-12, , ,
6:55.0,Turnover by S. Fontecchio (lost ball; steal by R. Westbrook), ,6-12, , ,
6:49.0, , ,6-12, ,P. George misses 3-pt jump shot from 25 ft,
6:45.0,Defensive rebound by J. Ivey, ,6-12, , ,
6:36.0,J. Ivey makes 3-pt jump shot from 26 ft,+3,9-12, , ,
6:25.0, , ,9-12, ,K. Leonard misses 3-pt jump shot from 26 ft,
6:22.0,Defensive rebound by J. Ivey, ,9-12, , ,
6:19.0,S. Fontecchio misses 3-pt jump shot from 25 ft, ,9-12, , ,
6:14.0, , ,9-12, ,Defensive rebound by K. Leonard,
6:05.0, , ,9-14,+2,I. Zubac makes 2-pt hook shot from 3 ft (assist by K. Leonard),
5:49.0,J. Duren makes 2-pt jump shot from 5 ft (assist by C. Cunningham),+2,11-14, , ,
5:36.0, , ,11-14, ,Turnover by R. Westbrook (bad pass; steal by J. Duren),
5:30.0,C. Cunningham misses 2-pt layup from 3 ft, ,11-14, , ,
5:24.0, , ,11-14, ,Defensive rebound by P. George,
5:16.0, , ,11-14, ,R. Westbrook misses 3-pt jump shot from 27 ft,
5:13.0,Defensive rebound by C. Cunningham, ,11-14, , ,
5:08.0,S. Fontecchio makes 3-pt jump shot from 27 ft (assist by C. Cunningham),+3,14-14, , ,Tie
5:08.0, , ,14-14, ,LA Clippers full timeout,
5:08.0,T. Brown enters the game for A. Thompson, ,14-14, , ,
5:08.0, , ,14-14, ,M. Plumlee enters the game for P. George,
5:08.0, , ,14-14, ,N. Powell enters the game for I. Zubac,
4:57.0, , ,14-16,+2,K. Leonard makes 2-pt jump shot from 17 ft,
4:38.0,S. Fontecchio misses 3-pt jump shot from 26 ft, ,14-16, , ,
4:37.0, , ,14-16, ,Defensive rebound by Team,
4:26.0, , ,14-16, ,Def 3 sec tech foul by Team,
4:26.0, , ,14-17,+1,K. Leonard makes technical free throw,
4:26.0, , ,14-17, ,A. Coffey enters the game for T. Mann,
4:20.0, , ,14-17, ,K. Leonard misses 2-pt jump shot from 18 ft,
4:17.0,Defensive rebound by S. Fontecchio, ,14-17, , ,
4:04.0,T. Brown makes 3-pt jump shot from 24 ft (assist by C. Cunningham),+3,17-17, , ,Tie
3:49.0, , ,17-19,+2,R. Westbrook makes 2-pt layup from 2 ft,
3:32.0,J. Ivey makes 2-pt layup from 2 ft (assist by C. Cunningham),+2,19-19, , ,Tie
3:22.0, , ,19-22,+3,R. Westbrook makes 3-pt jump shot from 27 ft (assist by K. Leonard),
3:07.0,J. Ivey makes 2-pt layup at rim,+2,21-22, , ,
3:07.0,Shooting foul by K. Leonard (drawn by J. Ivey), ,21-22, , ,
3:07.0,M. Sasser enters the game for C. Cunningham, ,21-22, , ,
3:07.0,J. Ivey makes free throw 1 of 1,+1,22-22, , ,Tie
2:56.0, , ,22-22, ,N. Powell misses 2-pt hook shot from 5 ft,
2:53.0,Defensive rebound by S. Fontecchio, ,22-22, , ,
2:47.0,J. Ivey misses 3-pt jump shot from 27 ft, ,22-22, , ,
2:42.0,Offensive rebound by J. Duren, ,22-22, , ,
2:40.0,J. Duren misses 2-pt layup from 2 ft, ,22-22, , ,
2:37.0, , ,22-22, ,Defensive rebound by M. Plumlee,
2:37.0, , ,22-22, ,Shooting foul by M. Sasser (drawn by M. Plumlee),
2:37.0, , ,22-23,+1,M. Plumlee makes free throw 1 of 2,
2:37.0,S. Milton enters the game for J. Duren, ,22-23, , ,
2:37.0,J. Wiseman enters the game for J. Ivey, ,22-23, , ,
2:37.0, , ,22-24,+1,M. Plumlee makes free throw 2 of 2,
2:11.0,S. Fontecchio misses 2-pt jump shot from 5 ft, ,22-24, , ,
2:08.0,Offensive rebound by S. Fontecchio, ,22-24, , ,
2:08.0,S. Fontecchio misses 2-pt layup at rim, ,22-24, , ,
2:08.0,Offensive rebound by J. Wiseman, ,22-24, , ,
2:05.0,J. Wiseman misses 2-pt layup from 6 ft (block by M. Plumlee), ,22-24, , ,
2:02.0,Offensive rebound by S. Milton, ,22-24, , ,
2:00.0,S. Milton misses 2-pt jump shot from 4 ft, ,22-24, , ,
1:58.0,Offensive rebound by J. Wiseman, ,22-24, , ,
1:57.0,J. Wiseman makes 2-pt layup from 1 ft,+2,24-24, , ,Tie
1:47.0, , ,24-24, ,K. Leonard misses 2-pt jump shot from 12 ft,
1:45.0,Defensive rebound by J. Wiseman, ,24-24, , ,
1:36.0,Turnover by M. Sasser (bad pass; steal by K. Leonard), ,24-24, , ,
1:32.0, , ,24-26,+2,K. Leonard makes 2-pt dunk from 4 ft,
1:19.0,T. Brown makes 3-pt jump shot from 26 ft (assist by J. Wiseman),+3,27-26, , ,Lead change
1:05.0, , ,27-28,+2,R. Westbrook makes 2-pt jump shot from 12 ft,Lead change
0:38.0,S. Fontecchio misses 3-pt jump shot from 24 ft, ,27-28, , ,
0:35.0, , ,27-28, ,Defensive rebound by M. Plumlee,
0:31.0, , ,27-31,+3,K. Leonard makes 3-pt jump shot from 27 ft,
0:11.0,S. Fontecchio makes 3-pt jump shot from 27 ft (assist by M. Sasser),+3,30-31, , ,
0:02.0, , ,30-31, ,A. Coffey misses 3-pt jump shot from 25 ft,
0:00.0,Defensive rebound by T. Brown, ,30-31, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Detroit,,Score,,LA Clippers,
12:00.0,Start of 2nd quarter,
11:49.0, , ,30-31, ,Offensive foul by M. Plumlee (drawn by S. Milton),
11:49.0, , ,30-31, ,Turnover by M. Plumlee (offensive foul),
11:29.0,Turnover by M. Sasser (bad pass; steal by A. Coffey), ,30-31, , ,
11:26.0, , ,30-31, ,Turnover by J. Harden (bad pass; steal by S. Milton),
11:20.0,S. Milton makes 2-pt jump shot from 15 ft (assist by T. Brown),+2,32-31, , ,Lead change
11:01.0, , ,32-33,+2,A. Coffey makes 2-pt jump shot from 16 ft (assist by J. Harden),Lead change
10:46.0,S. Fontecchio misses 2-pt layup from 2 ft, ,32-33, , ,
10:41.0,Offensive rebound by S. Fontecchio, ,32-33, , ,
10:41.0,S. Fontecchio makes 2-pt layup at rim,+2,34-33, , ,Lead change
10:26.0, , ,34-33, ,M. Plumlee misses 2-pt hook shot from 5 ft,
10:24.0,Defensive rebound by M. Sasser, ,34-33, , ,
10:20.0,S. Fontecchio makes 2-pt dunk from 2 ft (assist by M. Sasser),+2,36-33, , ,
10:01.0, , ,36-35,+2,M. Plumlee makes 2-pt dunk from 4 ft (assist by R. Westbrook),
9:53.0,Personal foul by N. Powell (drawn by S. Fontecchio), ,36-35, , ,
9:53.0,A. Thompson enters the game for T. Brown, ,36-35, , ,
9:53.0, , ,36-35, ,P. George enters the game for R. Westbrook,
9:42.0,A. Thompson misses 3-pt jump shot from 24 ft, ,36-35, , ,
9:39.0, , ,36-35, ,Defensive rebound by N. Powell,
9:24.0, , ,36-35, ,Turnover by J. Harden (lost ball; steal by M. Sasser),
9:20.0,M. Sasser makes 2-pt layup from 1 ft,+2,38-35, , ,
9:03.0, , ,38-35, ,P. George misses 3-pt jump shot from 25 ft,
9:00.0,Defensive rebound by S. Milton, ,38-35, , ,
8:53.0,S. Milton misses 2-pt jump shot from 11 ft, ,38-35, , ,
8:51.0, , ,38-35, ,Defensive rebound by J. Harden,
8:48.0, , ,38-37,+2,P. George makes 2-pt layup from 1 ft (assist by J. Harden),
8:39.0,M. Sasser makes 3-pt jump shot from 26 ft,+3,41-37, , ,
8:20.0, , ,41-37, ,Shooting foul by M. Sasser (drawn by M. Plumlee),
8:20.0, , ,41-38,+1,M. Plumlee makes free throw 1 of 2,
8:20.0,S. Umude enters the game for S. Fontecchio, ,41-38, , ,
8:20.0, , ,41-39,+1,M. Plumlee makes free throw 2 of 2,
8:00.0,A. Thompson misses 3-pt jump shot from 25 ft, ,41-39, , ,
7:57.0, , ,41-39, ,Defensive rebound by M. Plumlee,
7:53.0, , ,41-41,+2,P. George makes 2-pt jump shot from 11 ft (assist by J. Harden),Tie
7:42.0,Turnover by J. Wiseman (bad pass), ,41-41, , ,
7:42.0,C. Cunningham enters the game for S. Milton, ,41-41, , ,
7:42.0, , ,41-41, ,I. Zubac enters the game for M. Plumlee,
7:32.0, , ,41-41, ,Personal foul by M. Sasser (drawn by J. Harden),
7:32.0,J. Ivey enters the game for M. Sasser, ,41-41, , ,
7:31.0, , ,41-41, ,Offensive foul by P. George (drawn by A. Thompson),
7:31.0, , ,41-41, ,Turnover by P. George (offensive foul),
7:13.0,C. Cunningham makes 3-pt jump shot from 24 ft (assist by A. Thompson),+3,44-41, , ,
7:00.0, , ,44-41, ,I. Zubac misses 2-pt jump shot from 13 ft,
6:57.0,Defensive rebound by A. Thompson, ,44-41, , ,
6:51.0,C. Cunningham makes 2-pt jump shot from 13 ft (assist by J. Ivey),+2,46-41, , ,
6:41.0, , ,46-41, ,Personal foul by A. Thompson (drawn by P. George),
6:41.0, , ,46-41, ,LA Clippers full timeout,
6:41.0,J. Duren enters the game for J. Wiseman, ,46-41, , ,
6:31.0, , ,46-43,+2,P. George makes 2-pt jump shot from 21 ft (assist by J. Harden),
6:13.0,Turnover by J. Duren (traveling), ,46-43, , ,
5:59.0, , ,46-43, ,J. Harden misses 3-pt jump shot from 27 ft,
5:56.0,Defensive rebound by A. Thompson, ,46-43, , ,
5:52.0,J. Ivey makes 2-pt layup from 2 ft (assist by A. Thompson),+2,48-43, , ,
5:36.0, , ,48-43, ,P. George misses 3-pt jump shot from 26 ft,
5:33.0,Defensive rebound by A. Thompson, ,48-43, , ,
5:30.0,Personal foul by P. George (drawn by C. Cunningham), ,48-43, , ,
5:30.0, , ,48-43, ,K. Leonard enters the game for A. Coffey,
5:30.0, , ,48-43, ,T. Mann enters the game for N. Powell,
5:22.0,J. Ivey misses 2-pt jump shot from 10 ft, ,48-43, , ,
5:18.0,Offensive rebound by S. Umude, ,48-43, , ,
5:15.0,C. Cunningham makes 2-pt jump shot from 15 ft (assist by S. Umude),+2,50-43, , ,
4:49.0, , ,50-43, ,Turnover by K. Leonard (bad pass; steal by A. Thompson),
4:48.0,A. Thompson makes 2-pt dunk from 2 ft,+2,52-43, , ,
4:47.0, , ,52-43, ,LA Clippers full timeout,
4:28.0, , ,52-46,+3,P. George makes 3-pt jump shot from 26 ft,
4:00.0,A. Thompson misses 2-pt layup at rim, ,52-46, , ,
3:58.0, , ,52-46, ,Defensive rebound by J. Harden,
3:50.0, , ,52-46, ,K. Leonard misses 2-pt layup from 2 ft,
3:48.0,Defensive rebound by C. Cunningham, ,52-46, , ,
3:44.0,A. Thompson makes 2-pt dunk from 2 ft (assist by C. Cunningham),+2,54-46, , ,
3:27.0, , ,54-46, ,Turnover by J. Harden (bad pass; steal by J. Duren),
3:23.0,J. Duren makes 2-pt dunk from 1 ft (assist by C. Cunningham),+2,56-46, , ,
2:58.0, , ,56-46, ,J. Harden misses 3-pt jump shot from 27 ft,
2:56.0,Defensive rebound by J. Duren, ,56-46, , ,
2:52.0,C. Cunningham misses 2-pt layup from 1 ft, ,56-46, , ,
2:49.0, , ,56-46, ,Defensive rebound by K. Leonard,
2:39.0, , ,56-46, ,K. Leonard misses 2-pt jump shot from 15 ft,
2:36.0,Defensive rebound by C. Cunningham, ,56-46, , ,
2:21.0,Turnover by C. Cunningham (bad pass; steal by K. Leonard), ,56-46, , ,
2:21.0, , ,56-46, ,M. Plumlee enters the game for J. Harden,
2:21.0, , ,56-46, ,R. Westbrook enters the game for I. Zubac,
2:11.0,Jump ball: P. George vs. S. Umude (J. Duren gains possession),
2:11.0,S. Fontecchio enters the game for S. Umude, ,56-46, , ,
2:01.0, , ,56-46, ,K. Leonard misses 3-pt jump shot from 27 ft,
1:57.0,Defensive rebound by J. Ivey, ,56-46, , ,
1:52.0,J. Ivey makes 2-pt layup from 3 ft,+2,58-46, , ,
1:45.0, , ,58-46, ,Personal foul by C. Cunningham (drawn by K. Leonard),
1:41.0, , ,58-46, ,Offensive foul by K. Leonard (drawn by C. Cunningham),
1:41.0, , ,58-46, ,Turnover by K. Leonard (offensive foul),
1:23.0,J. Ivey misses 2-pt jump shot from 13 ft, ,58-46, , ,
1:20.0, , ,58-46, ,Defensive rebound by M. Plumlee,
1:13.0, , ,58-46, ,T. Mann misses 2-pt jump shot from 7 ft,
1:10.0,Defensive rebound by J. Duren, ,58-46, , ,
0:57.0,A. Thompson misses 2-pt layup from 2 ft, ,58-46, , ,
0:54.0, , ,58-46, ,Defensive rebound by M. Plumlee,
0:50.0, , ,58-46, ,R. Westbrook misses 2-pt jump shot from 19 ft,
0:46.0,Defensive rebound by J. Duren, ,58-46, , ,
0:42.0,C. Cunningham misses 3-pt jump shot from 26 ft, ,58-46, , ,
0:36.0,Offensive rebound by A. Thompson, ,58-46, , ,
0:24.0,J. Ivey misses 3-pt jump shot from 25 ft, ,58-46, , ,
0:21.0, , ,58-46, ,Defensive rebound by R. Westbrook,
0:00.0, , ,58-49,+3,R. Westbrook makes 3-pt jump shot from 23 ft (assist by P. George),
0:00.0, , ,58-49, ,Instant Replay (Request: Ruling Stands),
0:00.0,End of 2nd quarter,
3rd Q,
Time,Detroit,,Score,,LA Clippers,
12:00.0,Start of 3rd quarter,
11:36.0, , ,58-49, ,T. Mann misses 3-pt jump shot from 24 ft,
11:34.0,Defensive rebound by J. Duren, ,58-49, , ,
11:18.0,J. Duren misses 2-pt layup from 2 ft (block by I. Zubac), ,58-49, , ,
11:16.0, , ,58-49, ,Defensive rebound by P. George,
11:11.0, , ,58-49, ,J. Harden misses 3-pt jump shot from 26 ft,
11:07.0,Defensive rebound by J. Duren, ,58-49, , ,
