A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Indiana,
12:00.0,Jump ball: J. Duren vs. M. Turner (B. Mathurin gains possession),
11:41.0, , ,0-3,+3,P. Siakam makes 3-pt jump shot from 25 ft (assist by T. Haliburton),
11:24.0,Turnover by J. Duren (bad pass; steal by M. Turner), ,0-3, , ,
11:20.0, , ,0-5,+2,P. Siakam makes 2-pt layup from 2 ft (assist by T. Haliburton),
11:07.0,Turnover by J. Ivey (bad pass; steal by T. Haliburton), ,0-5, , ,
10:56.0, , ,0-7,+2,M. Turner makes 2-pt jump shot from 14 ft (assist by T. Haliburton),
10:40.0,C. Cunningham makes 2-pt jump shot from 10 ft,+2,2-7, , ,
10:19.0, , ,2-7, ,A. Nembhard misses 3-pt jump shot from 24 ft,
10:16.0, , ,2-7, ,Offensive rebound by M. Turner,
10:04.0, , ,2-7, ,Turnover by B. Mathurin (bad pass),
9:57.0,J. Ivey misses 2-pt jump shot from 14 ft (block by M. Turner), ,2-7, , ,
9:56.0, , ,2-7, ,Defensive rebound by T. Haliburton,
9:49.0, , ,2-7, ,P. Siakam misses 2-pt jump shot from 12 ft,
9:44.0,Defensive rebound by C. Cunningham, ,2-7, , ,
9:33.0,A. Thompson makes 2-pt dunk from 2 ft (assist by J. Duren),+2,4-7, , ,
9:20.0, , ,4-9,+2,M. Turner makes 2-pt layup from 1 ft (assist by A. Nembhard),
9:07.0,J. Duren makes 2-pt layup from 2 ft (assist by J. Ivey),+2,6-9, , ,
8:50.0, , ,6-11,+2,M. Turner makes 2-pt layup from 2 ft (assist by T. Haliburton),
8:34.0,S. Fontecchio makes 2-pt layup from 7 ft,+2,8-11, , ,
8:24.0, , ,8-11, ,M. Turner misses 3-pt jump shot from 27 ft,
8:20.0,Defensive rebound by A. Thompson, ,8-11, , ,
8:13.0,J. Duren misses 2-pt jump shot from 10 ft, ,8-11, , ,
8:10.0,Offensive rebound by A. Thompson, ,8-11, , ,
8:10.0,A. Thompson misses 2-pt layup at rim, ,8-11, , ,
8:10.0,Offensive rebound by A. Thompson, ,8-11, , ,
8:09.0,A. Thompson makes 2-pt layup at rim,+2,10-11, , ,
7:54.0, , ,10-11, ,M. Turner misses 2-pt jump shot from 12 ft,
7:51.0,Defensive rebound by C. Cunningham, ,10-11, , ,
7:35.0,A. Thompson makes 2-pt jump shot from 15 ft,+2,12-11, , ,Lead change
7:34.0, , ,12-11, ,Indiana full timeout,
7:15.0, , ,12-13,+2,A. Nembhard makes 2-pt layup from 1 ft,Lead change
6:56.0,C. Cunningham makes 2-pt layup from 4 ft,+2,14-13, , ,Lead change
6:42.0, , ,14-13, ,B. Mathurin misses 3-pt jump shot from 25 ft,
6:40.0,Defensive rebound by J. Duren, ,14-13, , ,
6:29.0,S. Fontecchio misses 3-pt jump shot from 27 ft, ,14-13, , ,
6:25.0, , ,14-13, ,Defensive rebound by A. Nembhard,
6:15.0, , ,14-16,+3,T. Haliburton makes 3-pt jump shot from 27 ft (assist by P. Siakam),Lead change
6:03.0,J. Ivey makes 2-pt jump shot from 14 ft,+2,16-16, , ,Tie
5:51.0, , ,16-19,+3,T. Haliburton makes 3-pt jump shot from 25 ft,
5:42.0,Personal foul by A. Nembhard (drawn by C. Cunningham), ,16-19, , ,
5:42.0, , ,16-19, ,O. Toppin enters the game for P. Siakam,
5:34.0,C. Cunningham misses 3-pt jump shot from 23 ft, ,16-19, , ,
5:32.0, , ,16-19, ,Defensive rebound by M. Turner,
5:25.0, , ,16-22,+3,T. Haliburton makes 3-pt jump shot from 27 ft (assist by B. Mathurin),
5:09.0,J. Ivey misses 2-pt jump shot from 8 ft, ,16-22, , ,
5:06.0, , ,16-22, ,Defensive rebound by Team,
5:06.0,Loose ball foul by J. Ivey (drawn by B. Mathurin), ,16-22, , ,
4:52.0, , ,16-22, ,Turnover by T. Haliburton (bad pass),
4:52.0,E. Fournier enters the game for J. Ivey, ,16-22, , ,
4:39.0,S. Fontecchio makes 2-pt jump shot from 14 ft (assist by C. Cunningham),+2,18-22, , ,
4:23.0, , ,18-24,+2,B. Mathurin makes 2-pt layup from 6 ft (assist by T. Haliburton),
4:23.0, , ,18-24, ,Shooting foul by S. Fontecchio (drawn by B. Mathurin),
4:23.0,M. Sasser enters the game for C. Cunningham, ,18-24, , ,
4:23.0, , ,18-24, ,T. McConnell enters the game for A. Nembhard,
4:23.0, , ,18-24, ,B. Mathurin misses free throw 1 of 1,
4:22.0,Defensive rebound by J. Duren, ,18-24, , ,
4:12.0,M. Sasser misses 2-pt jump shot from 16 ft, ,18-24, , ,
4:08.0, , ,18-24, ,Defensive rebound by M. Turner,
4:03.0, , ,18-26,+2,T. Haliburton makes 2-pt layup from 3 ft,
3:56.0,E. Fournier misses 3-pt jump shot from 23 ft, ,18-26, , ,
3:52.0, , ,18-26, ,Defensive rebound by O. Toppin,
3:49.0, , ,18-26, ,T. Haliburton misses 3-pt jump shot from 32 ft,
3:44.0,Defensive rebound by M. Sasser, ,18-26, , ,
3:34.0,Shooting foul by M. Turner (drawn by E. Fournier), ,18-26, , ,
3:34.0,E. Fournier misses free throw 1 of 2, ,18-26, , ,
3:34.0,Offensive rebound by Team, ,18-26, , ,
3:34.0,T. Brown enters the game for J. Duren, ,18-26, , ,
3:34.0,S. Milton enters the game for S. Fontecchio, ,18-26, , ,
3:34.0,J. Wiseman enters the game for A. Thompson, ,18-26, , ,
3:34.0, , ,18-26, ,I. Jackson enters the game for T. Haliburton,
3:34.0, , ,18-26, ,B. Sheppard enters the game for M. Turner,
3:34.0,E. Fournier makes free throw 2 of 2,+1,19-26, , ,
3:22.0, , ,19-26, ,Turnover by T. McConnell (out of bounds lost ball),
3:21.0,Turnover by J. Wiseman (bad pass; steal by T. McConnell), ,19-26, , ,
3:21.0, , ,19-26, ,Personal foul by M. Sasser (drawn by T. McConnell),
3:21.0, , ,19-26, ,D. McDermott enters the game for B. Mathurin,
3:07.0, , ,19-28,+2,I. Jackson makes 2-pt layup from 2 ft (assist by T. McConnell),
3:07.0, , ,19-28, ,Shooting foul by S. Milton (drawn by I. Jackson),
3:07.0, , ,19-29,+1,I. Jackson makes free throw 1 of 1,
2:51.0,S. Milton misses 3-pt jump shot from 23 ft, ,19-29, , ,
2:48.0, , ,19-29, ,Defensive rebound by Team,
2:48.0,Detroit full timeout, ,19-29, , ,
2:38.0, , ,19-29, ,T. McConnell misses 2-pt layup from 4 ft (block by J. Wiseman),
2:38.0, , ,19-29, ,Offensive rebound by Team,
2:32.0, , ,19-29, ,B. Sheppard misses 3-pt jump shot from 25 ft,
2:29.0, , ,19-29, ,Offensive rebound by O. Toppin,
2:28.0, , ,19-32,+3,D. McDermott makes 3-pt jump shot from 28 ft (assist by O. Toppin),
2:08.0,J. Wiseman misses 2-pt jump shot from 10 ft, ,19-32, , ,
2:05.0, , ,19-32, ,Defensive rebound by T. McConnell,
1:57.0, , ,19-32, ,Offensive foul by I. Jackson (drawn by J. Wiseman),
1:57.0, , ,19-32, ,Turnover by I. Jackson (offensive foul),
1:57.0,Detroit full timeout, ,19-32, , ,
1:57.0,Instant Replay (Challenge: Ruling Stands), ,19-32, , ,
1:57.0,J. Ivey enters the game for E. Fournier, ,19-32, , ,
1:40.0,M. Sasser makes 3-pt jump shot from 26 ft (assist by T. Brown),+3,22-32, , ,
1:25.0, , ,22-35,+3,T. McConnell makes 3-pt jump shot from 25 ft (assist by D. McDermott),
1:14.0,Shooting foul by T. McConnell (drawn by M. Sasser), ,22-35, , ,
1:14.0,M. Sasser makes free throw 1 of 2,+1,23-35, , ,
1:14.0,M. Sasser misses free throw 2 of 2, ,23-35, , ,
1:12.0, , ,23-35, ,Defensive rebound by T. McConnell,
0:52.0, , ,23-37,+2,I. Jackson makes 2-pt layup from 3 ft (assist by D. McDermott),
0:45.0,J. Ivey makes 2-pt layup from 5 ft,+2,25-37, , ,
0:32.0, , ,25-39,+2,T. McConnell makes 2-pt jump shot from 9 ft,
0:11.0,M. Sasser misses 2-pt jump shot from 10 ft, ,25-39, , ,
0:08.0, , ,25-39, ,Defensive rebound by O. Toppin,
0:01.0, , ,25-42,+3,B. Sheppard makes 3-pt jump shot from 24 ft (assist by O. Toppin),
0:00.0, , ,25-42, ,Instant Replay (Request: Stands),
0:00.0,End of 1st quarter,
2nd Q,
Time,Detroit,,Score,,Indiana,
12:00.0,Start of 2nd quarter,
11:47.0,S. Fontecchio misses 3-pt jump shot from 26 ft, ,25-42, , ,
11:42.0, , ,25-42, ,Defensive rebound by T. McConnell,
11:22.0, , ,25-42, ,P. Siakam misses 2-pt layup from 6 ft,
11:22.0, , ,25-42, ,Offensive rebound by Team,
11:22.0,Loose ball foul by M. Flynn (drawn by I. Jackson), ,25-42, , ,
11:14.0, , ,25-44,+2,P. Siakam makes 2-pt jump shot from 20 ft (assist by T. McConnell),
10:59.0,M. Flynn misses 2-pt jump shot from 13 ft, ,25-44, , ,
10:54.0, , ,25-44, ,Defensive rebound by T. McConnell,
10:52.0, , ,25-46,+2,P. Siakam makes 2-pt layup from 1 ft (assist by T. McConnell),
10:36.0,Shooting foul by B. Sheppard (drawn by J. Ivey), ,25-46, , ,
10:36.0,J. Ivey makes free throw 1 of 2,+1,26-46, , ,
10:36.0,C. Cunningham enters the game for S. Milton, ,26-46, , ,
10:36.0,J. Ivey makes free throw 2 of 2,+1,27-46, , ,
10:25.0, , ,27-46, ,T. McConnell misses 2-pt jump shot from 11 ft,
10:22.0,Defensive rebound by J. Wiseman, ,27-46, , ,
10:07.0,C. Cunningham makes 3-pt jump shot from 28 ft (assist by M. Flynn),+3,30-46, , ,
9:53.0, , ,30-46, ,P. Siakam misses 2-pt jump shot from 18 ft,
9:48.0,Defensive rebound by M. Flynn, ,30-46, , ,
9:40.0,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by M. Flynn),+3,33-46, , ,
9:39.0, , ,33-46, ,Indiana full timeout,
9:39.0, , ,33-46, ,B. Mathurin enters the game for D. McDermott,
9:39.0, , ,33-46, ,A. Nembhard enters the game for B. Sheppard,
9:17.0, , ,33-46, ,P. Siakam misses 2-pt jump shot from 16 ft,
9:13.0,Defensive rebound by J. Wiseman, ,33-46, , ,
9:10.0,Turnover by C. Cunningham (lost ball; steal by A. Nembhard), ,33-46, , ,
9:06.0, , ,33-46, ,Turnover by A. Nembhard (bad pass; steal by M. Flynn),
8:59.0,J. Ivey misses 3-pt jump shot from 26 ft, ,33-46, , ,
8:55.0, , ,33-46, ,Defensive rebound by B. Mathurin,
8:50.0, , ,33-46, ,Turnover by B. Mathurin (traveling),
8:39.0,M. Flynn makes 2-pt jump shot from 18 ft,+2,35-46, , ,
8:16.0, , ,35-49,+3,T. McConnell makes 3-pt jump shot from 23 ft (assist by A. Nembhard),
7:57.0,C. Cunningham makes 2-pt jump shot from 16 ft,+2,37-49, , ,
7:33.0, , ,37-51,+2,A. Nembhard makes 2-pt layup from 3 ft,
7:19.0,S. Fontecchio misses 2-pt jump shot from 14 ft, ,37-51, , ,
7:16.0, , ,37-51, ,Defensive rebound by A. Nembhard,
7:09.0, , ,37-53,+2,T. McConnell makes 2-pt jump shot from 6 ft,
7:08.0,Detroit full timeout, ,37-53, , ,
7:08.0,J. Duren enters the game for M. Flynn, ,37-53, , ,
7:08.0,A. Thompson enters the game for J. Wiseman, ,37-53, , ,
7:08.0, , ,37-53, ,T. Haliburton enters the game for I. Jackson,
7:08.0, , ,37-53, ,M. Turner enters the game for T. McConnell,
6:54.0,Offensive foul by J. Duren (drawn by A. Nembhard), ,37-53, , ,
6:54.0,Turnover by J. Duren (offensive foul), ,37-53, , ,
6:34.0, , ,37-53, ,M. Turner misses 3-pt jump shot from 27 ft,
6:29.0,Defensive rebound by A. Thompson, ,37-53, , ,
6:15.0,J. Duren misses 2-pt jump shot from 5 ft, ,37-53, , ,
6:12.0, , ,37-53, ,Defensive rebound by P. Siakam,
6:09.0, , ,37-53, ,Shooting foul by A. Thompson (drawn by M. Turner),
6:09.0, , ,37-54,+1,M. Turner makes free throw 1 of 2,
6:09.0, , ,37-55,+1,M. Turner makes free throw 2 of 2,
5:56.0,Turnover by S. Fontecchio (bad pass; steal by A. Nembhard), ,37-55, , ,
5:49.0, , ,37-55, ,B. Mathurin misses 2-pt layup from 4 ft,
5:48.0,Defensive rebound by J. Duren, ,37-55, , ,
5:41.0,Offensive foul by C. Cunningham (drawn by T. Haliburton), ,37-55, , ,
5:41.0,Turnover by C. Cunningham (offensive foul), ,37-55, , ,
5:41.0,E. Fournier enters the game for J. Ivey, ,37-55, , ,
5:32.0, , ,37-55, ,P. Siakam misses 2-pt jump shot from 10 ft,
5:31.0,Defensive rebound by C. Cunningham, ,37-55, , ,
5:24.0,C. Cunningham misses 3-pt jump shot from 26 ft, ,37-55, , ,
5:21.0, , ,37-55, ,Defensive rebound by P. Siakam,
5:18.0, , ,37-57,+2,A. Nembhard makes 2-pt layup from 2 ft (assist by P. Siakam),
5:03.0,A. Thompson misses 3-pt jump shot from 22 ft, ,37-57, , ,
4:58.0, , ,37-57, ,Defensive rebound by M. Turner,
4:52.0, , ,37-57, ,Turnover by T. Haliburton (out of bounds lost ball),
4:52.0,M. Flynn enters the game for C. Cunningham, ,37-57, , ,
4:39.0,M. Flynn misses 2-pt jump shot from 16 ft, ,37-57, , ,
4:37.0,Offensive rebound by J. Duren, ,37-57, , ,
4:37.0,J. Duren misses 2-pt layup at rim, ,37-57, , ,
4:37.0,Offensive rebound by Team, ,37-57, , ,
4:37.0, , ,37-57, ,Loose ball foul by M. Turner (drawn by J. Duren),
4:37.0, , ,37-57, ,O. Toppin enters the game for P. Siakam,
4:28.0,S. Fontecchio misses 2-pt jump shot from 13 ft, ,37-57, , ,
4:24.0, , ,37-57, ,Defensive rebound by M. Turner,
4:17.0, , ,37-57, ,B. Mathurin misses 2-pt layup from 5 ft (block by A. Thompson),
4:15.0,Defensive rebound by E. Fournier, ,37-57, , ,
4:02.0,A. Thompson misses 2-pt jump shot from 6 ft (block by O. Toppin), ,37-57, , ,
3:58.0,Offensive rebound by A. Thompson, ,37-57, , ,
3:53.0,J. Duren makes 2-pt dunk from 1 ft,+2,39-57, , ,
3:38.0, , ,39-60,+3,O. Toppin makes 3-pt jump shot from 26 ft (assist by A. Nembhard),
3:23.0,M. Flynn misses 2-pt jump shot from 13 ft, ,39-60, , ,
3:22.0, , ,39-60, ,Defensive rebound by T. Haliburton,
3:19.0, , ,39-60, ,B. Mathurin misses 3-pt jump shot from 26 ft,
3:14.0,Defensive rebound by J. Duren, ,39-60, , ,
3:06.0,Turnover by J. Duren (lost ball; steal by B. Mathurin), ,39-60, , ,
3:02.0, , ,39-62,+2,B. Mathurin makes 2-pt layup from 2 ft,
3:01.0,Detroit full timeout, ,39-62, , ,
3:01.0,T. Brown enters the game for S. Fontecchio, ,39-62, , ,
3:01.0, , ,39-62, ,I. Jackson enters the game for M. Turner,
2:48.0,T. Brown misses 3-pt jump shot from 30 ft, ,39-62, , ,
2:45.0, , ,39-62, ,Defensive rebound by A. Nembhard,
2:35.0, , ,39-62, ,Turnover by T. Haliburton (bad pass; steal by M. Flynn),
2:31.0,A. Thompson misses 2-pt layup from 3 ft, ,39-62, , ,
2:29.0, , ,39-62, ,Defensive rebound by B. Mathurin,
2:25.0, , ,39-65,+3,O. Toppin makes 3-pt jump shot from 26 ft (assist by B. Mathurin),
2:13.0,Turnover by J. Duren (bad pass), ,39-65, , ,
2:05.0, , ,39-65, ,T. Haliburton misses 2-pt layup from 5 ft,
2:01.0,Defensive rebound by J. Duren, ,39-65, , ,
1:53.0,Turnover by M. Flynn (bad pass; steal by T. Haliburton), ,39-65, , ,
1:50.0, , ,39-67,+2,T. Haliburton makes 2-pt dunk from 2 ft,
1:37.0,Turnover by T. Brown (lost ball; steal by O. Toppin), ,39-67, , ,
1:33.0, , ,39-69,+2,T. Haliburton makes 2-pt dunk from 1 ft (assist by O. Toppin),
1:32.0,Technical foul by E. Fournier, ,39-69, , ,
1:32.0, , ,39-70,+1,T. Haliburton makes technical free throw,
1:32.0,C. Cunningham enters the game for T. Brown, ,39-70, , ,
