A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,New York,
12:00.0,Jump ball: J. Duren vs. I. Hartenstein (C. Cunningham gains possession),
11:46.0,Turnover by S. Fontecchio (step out of bounds), ,0-0, , ,
11:28.0, , ,0-0, ,J. Hart misses 2-pt jump shot from 8 ft,
11:26.0, , ,0-0, ,Offensive rebound by P. Achiuwa,
11:24.0, , ,0-2,+2,P. Achiuwa makes 2-pt layup from 1 ft,
11:11.0,C. Cunningham makes 3-pt jump shot from 27 ft (assist by J. Ivey),+3,3-2, , ,Lead change
10:51.0, , ,3-4,+2,J. Brunson makes 2-pt jump shot from 10 ft (assist by I. Hartenstein),Lead change
10:40.0,A. Thompson makes 2-pt jump shot from 9 ft (assist by C. Cunningham),+2,5-4, , ,Lead change
10:22.0, , ,5-4, ,Turnover by J. Brunson (bad pass),
10:08.0,Shooting foul by D. DiVincenzo (drawn by A. Thompson), ,5-4, , ,
10:08.0,A. Thompson misses free throw 1 of 2, ,5-4, , ,
10:08.0,Offensive rebound by Team, ,5-4, , ,
10:08.0,A. Thompson misses free throw 2 of 2, ,5-4, , ,
10:06.0, , ,5-4, ,Defensive rebound by P. Achiuwa,
10:02.0, , ,5-4, ,Personal foul by A. Thompson (drawn by J. Brunson),
9:54.0, , ,5-4, ,D. DiVincenzo misses 3-pt jump shot from 26 ft,
9:52.0,Defensive rebound by A. Thompson, ,5-4, , ,
9:38.0,S. Fontecchio makes 2-pt layup from 2 ft (assist by J. Ivey),+2,7-4, , ,
9:21.0, , ,7-6,+2,J. Brunson makes 2-pt layup from 2 ft,
9:09.0,C. Cunningham makes 3-pt jump shot from 24 ft,+3,10-6, , ,
8:43.0, , ,10-6, ,D. DiVincenzo misses 3-pt jump shot from 27 ft,
8:41.0,Defensive rebound by J. Ivey, ,10-6, , ,
8:36.0,J. Ivey misses 2-pt layup from 1 ft, ,10-6, , ,
8:34.0,Offensive rebound by J. Duren, ,10-6, , ,
8:34.0,J. Duren misses 2-pt layup at rim, ,10-6, , ,
8:32.0, , ,10-6, ,Defensive rebound by I. Hartenstein,
8:23.0, , ,10-6, ,Shooting foul by S. Fontecchio (drawn by I. Hartenstein),
8:23.0, , ,10-7,+1,I. Hartenstein makes free throw 1 of 2,
8:23.0, , ,10-8,+1,I. Hartenstein makes free throw 2 of 2,
8:03.0,J. Ivey misses 2-pt jump shot from 10 ft, ,10-8, , ,
8:01.0,Offensive rebound by J. Ivey, ,10-8, , ,
7:59.0,J. Ivey makes 2-pt layup from 1 ft,+2,12-8, , ,
7:47.0, , ,12-8, ,J. Brunson misses 3-pt jump shot from 25 ft,
7:45.0,Defensive rebound by S. Fontecchio, ,12-8, , ,
7:36.0,C. Cunningham makes 2-pt jump shot from 11 ft,+2,14-8, , ,
7:28.0, , ,14-8, ,New York full timeout,
7:17.0, , ,14-10,+2,J. Brunson makes 2-pt jump shot from 13 ft (assist by D. DiVincenzo),
7:02.0,J. Duren misses 2-pt layup from 4 ft (block by P. Achiuwa), ,14-10, , ,
7:01.0, , ,14-10, ,Defensive rebound by Team,
6:40.0, , ,14-10, ,Turnover by I. Hartenstein (bad pass; steal by J. Ivey),
6:35.0,J. Ivey misses 3-pt jump shot from 25 ft, ,14-10, , ,
6:33.0,Offensive rebound by J. Duren, ,14-10, , ,
6:31.0,J. Ivey makes 3-pt jump shot from 25 ft (assist by A. Thompson),+3,17-10, , ,
6:05.0, , ,17-13,+3,J. Brunson makes 3-pt jump shot from 28 ft,
5:51.0,J. Ivey misses 2-pt layup from 1 ft, ,17-13, , ,
5:49.0,Offensive rebound by C. Cunningham, ,17-13, , ,
5:39.0,A. Thompson misses 3-pt jump shot from 26 ft, ,17-13, , ,
5:36.0, , ,17-13, ,Defensive rebound by I. Hartenstein,
5:30.0, , ,17-16,+3,J. Brunson makes 3-pt jump shot from 26 ft (assist by D. DiVincenzo),
5:22.0,Shooting foul by J. Brunson (drawn by J. Ivey), ,17-16, , ,
5:22.0,J. Ivey makes free throw 1 of 2,+1,18-16, , ,
5:22.0, , ,18-16, ,J. Sims enters the game for I. Hartenstein,
5:22.0,J. Ivey makes free throw 2 of 2,+1,19-16, , ,
5:12.0, , ,19-16, ,J. Brunson misses 3-pt jump shot from 25 ft,
5:10.0,Defensive rebound by J. Duren, ,19-16, , ,
5:04.0,J. Ivey misses 3-pt jump shot from 28 ft, ,19-16, , ,
5:03.0, , ,19-16, ,Defensive rebound by Team,
5:03.0,Q. Grimes enters the game for J. Ivey, ,19-16, , ,
4:50.0, , ,19-16, ,J. Sims misses 2-pt layup from 4 ft (block by J. Duren),
4:49.0, , ,19-16, ,Offensive rebound by Team,
4:45.0, , ,19-16, ,J. Brunson misses 2-pt jump shot from 9 ft,
4:43.0, , ,19-16, ,Offensive rebound by J. Sims,
4:36.0, , ,19-16, ,J. Hart misses 3-pt jump shot from 26 ft,
4:34.0, , ,19-16, ,Offensive rebound by P. Achiuwa,
4:31.0, , ,19-16, ,J. Hart misses 2-pt jump shot from 5 ft (block by Q. Grimes),
4:30.0, , ,19-16, ,Offensive rebound by Team,
4:25.0, , ,19-18,+2,D. DiVincenzo makes 2-pt layup from 2 ft (assist by J. Brunson),
4:12.0,J. Duren misses 2-pt jump shot from 3 ft, ,19-18, , ,
4:10.0, , ,19-18, ,Defensive rebound by P. Achiuwa,
4:05.0, , ,19-18, ,J. Hart misses 2-pt layup at rim,
4:03.0, , ,19-18, ,Offensive rebound by J. Sims,
4:02.0, , ,19-20,+2,J. Hart makes 2-pt layup from 1 ft (assist by J. Sims),Lead change
4:02.0,Detroit full timeout, ,19-20, , ,
4:02.0,J. Wiseman enters the game for J. Duren, ,19-20, , ,
3:50.0,Turnover by C. Cunningham (bad pass; steal by D. DiVincenzo), ,19-20, , ,
3:38.0, , ,19-22,+2,J. Hart makes 2-pt layup from 1 ft (assist by D. DiVincenzo),
3:27.0,C. Cunningham makes 2-pt layup from 1 ft,+2,21-22, , ,
3:02.0, , ,21-22, ,J. Hart misses 2-pt jump shot from 16 ft,
3:00.0,Defensive rebound by J. Wiseman, ,21-22, , ,
2:50.0,J. Wiseman makes 2-pt dunk from 1 ft (assist by C. Cunningham),+2,23-22, , ,Lead change
2:40.0, , ,23-22, ,New York full timeout,
2:40.0,M. Flynn enters the game for C. Cunningham, ,23-22, , ,
2:40.0,E. Fournier enters the game for A. Thompson, ,23-22, , ,
2:40.0, , ,23-22, ,A. Burks enters the game for D. DiVincenzo,
2:40.0, , ,23-22, ,Violation by Team (delay of game),
2:26.0, , ,23-22, ,J. Hart misses 2-pt layup from 2 ft,
2:24.0, , ,23-22, ,Offensive rebound by P. Achiuwa,
2:24.0, , ,23-22, ,P. Achiuwa misses 2-pt layup at rim,
2:23.0, , ,23-22, ,Offensive rebound by J. Sims,
2:22.0, , ,23-25,+3,A. Burks makes 3-pt jump shot from 25 ft (assist by J. Sims),Lead change
2:04.0,Offensive foul by J. Wiseman (drawn by J. Sims), ,23-25, , ,
2:04.0,Turnover by J. Wiseman (offensive foul), ,23-25, , ,
2:04.0,T. Evbuomwan enters the game for S. Fontecchio, ,23-25, , ,
2:04.0, , ,23-25, ,B. Bogdanović enters the game for J. Hart,
1:47.0, , ,23-27,+2,J. Brunson makes 2-pt jump shot from 12 ft,
1:27.0,M. Flynn misses 3-pt jump shot from 23 ft, ,23-27, , ,
1:25.0, , ,23-27, ,Defensive rebound by P. Achiuwa,
1:17.0, , ,23-27, ,Turnover by P. Achiuwa (traveling),
0:59.0,Turnover by E. Fournier (bad pass; steal by A. Burks), ,23-27, , ,
0:54.0, , ,23-29,+2,A. Burks makes 2-pt jump shot from 13 ft (assist by J. Brunson),
0:54.0, , ,23-29, ,Shooting foul by M. Flynn (drawn by A. Burks),
