A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Orlando,
12:00.0,Jump ball: J. Duren vs. W. Carter (P. Banchero gains possession),
11:40.0, , ,0-0, ,P. Banchero misses 2-pt jump shot from 16 ft,
11:37.0,Defensive rebound by A. Thompson, ,0-0, , ,
11:19.0,J. Duren misses 2-pt layup from 4 ft, ,0-0, , ,
11:19.0,Offensive rebound by Team, ,0-0, , ,
11:06.0,I. Stewart misses 3-pt jump shot from 25 ft, ,0-0, , ,
11:04.0, , ,0-0, ,Defensive rebound by J. Suggs,
10:55.0, , ,0-3,+3,W. Carter makes 3-pt jump shot from 25 ft (assist by J. Suggs),
10:35.0,C. Cunningham makes 2-pt hook shot from 6 ft,+2,2-3, , ,
10:27.0, , ,2-3, ,G. Harris misses 3-pt jump shot from 26 ft,
10:24.0,Defensive rebound by A. Thompson, ,2-3, , ,
10:20.0,A. Thompson misses 2-pt hook shot from 4 ft (block by F. Wagner), ,2-3, , ,
10:19.0, , ,2-3, ,Defensive rebound by F. Wagner,
10:06.0, , ,2-3, ,Turnover by P. Banchero (bad pass),
9:54.0,J. Ivey misses 2-pt layup from 4 ft (block by W. Carter), ,2-3, , ,
9:54.0,Offensive rebound by Team, ,2-3, , ,
9:42.0,Shooting foul by P. Banchero (drawn by J. Ivey), ,2-3, , ,
9:42.0,J. Ivey makes free throw 1 of 2,+1,3-3, , ,Tie
9:42.0,J. Ivey makes free throw 2 of 2,+1,4-3, , ,Lead change
9:24.0, , ,4-5,+2,F. Wagner makes 2-pt layup from 2 ft,Lead change
9:14.0,Shooting foul by W. Carter (drawn by J. Duren), ,4-5, , ,
9:14.0,J. Duren makes free throw 1 of 2,+1,5-5, , ,Tie
9:14.0,J. Duren makes free throw 2 of 2,+1,6-5, , ,Lead change
9:01.0, , ,6-5, ,Shooting foul by C. Cunningham (drawn by W. Carter),
9:01.0, , ,6-6,+1,W. Carter makes free throw 1 of 2,Tie
9:01.0, , ,6-7,+1,W. Carter makes free throw 2 of 2,Lead change
8:50.0,C. Cunningham misses 2-pt jump shot from 8 ft, ,6-7, , ,
8:49.0, , ,6-7, ,Defensive rebound by F. Wagner,
8:34.0, , ,6-9,+2,J. Suggs makes 2-pt jump shot from 3 ft (assist by P. Banchero),
8:25.0,A. Thompson misses 3-pt jump shot from 26 ft, ,6-9, , ,
8:25.0,Offensive rebound by I. Stewart, ,6-9, , ,
8:17.0,I. Stewart makes 2-pt dunk from 1 ft (assist by J. Duren),+2,8-9, , ,
7:54.0, , ,8-12,+3,G. Harris makes 3-pt jump shot from 23 ft (assist by P. Banchero),
7:41.0,C. Cunningham misses 2-pt jump shot from 5 ft, ,8-12, , ,
7:38.0, , ,8-12, ,Defensive rebound by W. Carter,
7:30.0, , ,8-12, ,Shooting foul by I. Stewart (drawn by P. Banchero),
7:30.0, , ,8-13,+1,P. Banchero makes free throw 1 of 2,
7:30.0, , ,8-14,+1,P. Banchero makes free throw 2 of 2,
7:14.0,A. Thompson makes 3-pt jump shot from 23 ft (assist by C. Cunningham),+3,11-14, , ,
6:59.0, , ,11-16,+2,J. Suggs makes 2-pt dunk at rim (assist by G. Harris),
6:49.0,J. Duren misses 2-pt layup from 4 ft, ,11-16, , ,
6:47.0, , ,11-16, ,Defensive rebound by J. Suggs,
6:44.0, , ,11-18,+2,F. Wagner makes 2-pt layup from 2 ft (assist by J. Suggs),
6:44.0,Detroit full timeout, ,11-18, , ,
6:30.0,J. Ivey makes 2-pt jump shot from 16 ft (assist by J. Duren),+2,13-18, , ,
6:02.0, , ,13-20,+2,W. Carter makes 2-pt jump shot from 10 ft,
6:02.0,S. Fontecchio enters the game for I. Stewart, ,13-20, , ,
5:46.0,J. Ivey makes 2-pt jump shot from 14 ft (assist by A. Thompson),+2,15-20, , ,
