A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Minnesota,
12:00.0,Jump ball: J. Duren vs. R. Gobert (M. Sasser gains possession),
11:43.0,M. Sasser misses 2-pt jump shot from 19 ft, ,0-0, , ,
11:39.0,Offensive rebound by T. Evbuomwan, ,0-0, , ,
11:37.0,C. Cunningham misses 3-pt jump shot from 26 ft, ,0-0, , ,
11:35.0, , ,0-0, ,Defensive rebound by R. Gobert,
11:18.0, , ,0-2,+2,M. Conley makes 2-pt jump shot from 10 ft,
10:56.0,J. Duren makes 2-pt layup from 4 ft (assist by C. Metu),+2,2-2, , ,Tie
10:43.0, , ,2-2, ,Turnover by R. Gobert (bad pass; steal by M. Sasser),
10:38.0,Shooting foul by J. McDaniels (drawn by T. Evbuomwan), ,2-2, , ,
10:38.0,T. Evbuomwan misses free throw 1 of 2, ,2-2, , ,
10:38.0,Offensive rebound by Team, ,2-2, , ,
10:38.0,T. Evbuomwan misses free throw 2 of 2, ,2-2, , ,
10:36.0, , ,2-2, ,Defensive rebound by R. Gobert,
10:28.0, , ,2-4,+2,J. McDaniels makes 2-pt dunk from 2 ft (assist by N. Reid),
10:16.0,C. Cunningham makes 2-pt jump shot from 13 ft,+2,4-4, , ,Tie
9:57.0, , ,4-4, ,Shooting foul by M. Sasser (drawn by M. Conley),
9:57.0, , ,4-5,+1,M. Conley makes free throw 1 of 2,
9:57.0, , ,4-6,+1,M. Conley makes free throw 2 of 2,
9:43.0,C. Cunningham misses 2-pt jump shot from 17 ft (block by R. Gobert), ,4-6, , ,
9:41.0, , ,4-6, ,Defensive rebound by N. Reid,
9:35.0, , ,4-8,+2,N. Reid makes 2-pt layup from 1 ft (assist by M. Conley),
9:18.0,C. Cunningham makes 2-pt jump shot from 14 ft,+2,6-8, , ,
9:00.0, , ,6-10,+2,N. Reid makes 2-pt layup from 3 ft (assist by A. Edwards),
8:50.0,C. Cunningham makes 3-pt jump shot from 27 ft (assist by J. Duren),+3,9-10, , ,
8:22.0, , ,9-10, ,Turnover by A. Edwards (bad pass),
8:05.0,J. Duren makes 2-pt layup from 3 ft (assist by M. Sasser),+2,11-10, , ,Lead change
7:44.0, , ,11-10, ,A. Edwards misses 2-pt jump shot from 17 ft,
7:42.0, , ,11-10, ,Offensive rebound by R. Gobert,
7:39.0, , ,11-12,+2,N. Reid makes 2-pt dunk from 2 ft (assist by R. Gobert),Lead change
7:20.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by J. Duren),+3,14-12, , ,Lead change
6:58.0, , ,14-15,+3,J. McDaniels makes 3-pt jump shot from 23 ft (assist by A. Edwards),Lead change
6:49.0,Turnover by J. Duren (back court), ,14-15, , ,
6:49.0, , ,14-15, ,Minnesota full timeout,
6:33.0, , ,14-17,+2,A. Edwards makes 2-pt jump shot from 10 ft,
6:17.0,Shooting foul by R. Gobert (drawn by J. Duren), ,14-17, , ,
6:17.0,J. Duren misses free throw 1 of 2, ,14-17, , ,
6:17.0,Offensive rebound by Team, ,14-17, , ,
6:17.0,J. Duren makes free throw 2 of 2,+1,15-17, , ,
6:03.0, , ,15-17, ,J. McDaniels misses 2-pt jump shot from 7 ft,
6:01.0,Defensive rebound by J. Duren, ,15-17, , ,
6:01.0, , ,15-17, ,K. Anderson enters the game for M. Conley,
6:01.0, , ,15-17, ,M. Morris enters the game for R. Gobert,
5:41.0,C. Cunningham makes 2-pt jump shot from 17 ft (assist by J. Duren),+2,17-17, , ,Tie
5:22.0, , ,17-20,+3,J. McDaniels makes 3-pt jump shot from 24 ft (assist by K. Anderson),
5:12.0,C. Cunningham misses 2-pt layup from 3 ft, ,17-20, , ,
5:12.0,Offensive rebound by Team, ,17-20, , ,
5:12.0,J. Wiseman enters the game for J. Duren, ,17-20, , ,
5:05.0,Turnover by C. Cunningham (lost ball; steal by A. Edwards), ,17-20, , ,
5:01.0, , ,17-23,+3,A. Edwards makes 3-pt jump shot from 26 ft,
4:40.0,C. Metu misses 2-pt dunk from 3 ft, ,17-23, , ,
4:38.0, , ,17-23, ,Defensive rebound by A. Edwards,
4:34.0, , ,17-23, ,J. McDaniels misses 3-pt jump shot from 24 ft,
4:30.0,Defensive rebound by M. Sasser, ,17-23, , ,
4:13.0,M. Sasser misses 2-pt jump shot from 20 ft, ,17-23, , ,
4:10.0, , ,17-23, ,Defensive rebound by M. Morris,
4:01.0, , ,17-25,+2,N. Reid makes 2-pt hook shot from 8 ft,
3:40.0,J. Wiseman makes 2-pt layup from 1 ft (assist by C. Cunningham),+2,19-25, , ,
3:40.0, , ,19-25, ,Violation by Team (def goaltending),
3:29.0, , ,19-25, ,N. Reid misses 3-pt jump shot from 28 ft,
3:29.0,Defensive rebound by C. Metu, ,19-25, , ,
3:22.0,Turnover by C. Metu (lost ball; steal by M. Morris), ,19-25, , ,
3:19.0, , ,19-25, ,Shooting foul by M. Sasser (drawn by M. Morris),
3:19.0, , ,19-26,+1,M. Morris makes free throw 1 of 2,
3:19.0,T. Brown enters the game for C. Cunningham, ,19-26, , ,
3:19.0,M. Flynn enters the game for C. Metu, ,19-26, , ,
3:19.0,E. Fournier enters the game for M. Sasser, ,19-26, , ,
3:19.0, , ,19-26, ,N. Alexander-Walker enters the game for J. McDaniels,
3:19.0, , ,19-26, ,R. Gobert enters the game for N. Reid,
3:19.0, , ,19-26, ,M. Morris misses free throw 2 of 2,
3:15.0, , ,19-26, ,Offensive rebound by R. Gobert,
3:13.0, , ,19-28,+2,R. Gobert makes 2-pt dunk from 1 ft,
2:49.0,E. Fournier misses 3-pt jump shot from 25 ft, ,19-28, , ,
2:46.0, , ,19-28, ,Defensive rebound by N. Alexander-Walker,
2:37.0, , ,19-28, ,A. Edwards misses 3-pt jump shot from 25 ft,
2:34.0,Defensive rebound by J. Wiseman, ,19-28, , ,
2:24.0,Shooting foul by R. Gobert (drawn by J. Wiseman), ,19-28, , ,
2:24.0, , ,19-28, ,Minnesota full timeout,
2:24.0, , ,19-28, ,Instant Replay (Challenge: Stands),
2:24.0, , ,19-28, ,N. Reid enters the game for R. Gobert,
2:24.0,J. Wiseman misses free throw 1 of 2, ,19-28, , ,
2:24.0,Offensive rebound by Team, ,19-28, , ,
2:24.0,J. Wiseman makes free throw 2 of 2,+1,20-28, , ,
2:04.0, , ,20-28, ,N. Reid misses 3-pt jump shot from 27 ft,
2:00.0,Defensive rebound by T. Brown, ,20-28, , ,
1:51.0,J. Wiseman misses 2-pt hook shot from 5 ft, ,20-28, , ,
1:48.0, , ,20-28, ,Defensive rebound by N. Reid,
1:26.0, , ,20-28, ,A. Edwards misses 2-pt jump shot from 19 ft,
1:24.0,Defensive rebound by J. Wiseman, ,20-28, , ,
1:12.0,T. Evbuomwan makes 3-pt jump shot from 23 ft (assist by T. Brown),+3,23-28, , ,
0:51.0, , ,23-28, ,M. Morris misses 2-pt jump shot from 11 ft,
0:49.0,Defensive rebound by T. Brown, ,23-28, , ,
0:34.0,M. Flynn makes 2-pt layup from 3 ft,+2,25-28, , ,
0:18.0, , ,25-28, ,A. Edwards misses 2-pt jump shot from 8 ft,
0:16.0, , ,25-28, ,Offensive rebound by Team,
0:16.0,Loose ball foul by T. Evbuomwan (drawn by K. Anderson), ,25-28, , ,
0:03.0, , ,25-30,+2,N. Reid makes 2-pt jump shot from 10 ft,
0:00.0,T. Brown misses 2-pt layup from 5 ft, ,25-30, , ,
0:00.0,Offensive rebound by Team, ,25-30, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Detroit,,Score,,Minnesota,
12:00.0,Start of 2nd quarter,
11:36.0, , ,25-32,+2,K. Anderson makes 2-pt jump shot from 8 ft (assist by M. Conley),
11:13.0,T. Brown misses 3-pt jump shot from 24 ft, ,25-32, , ,
11:11.0, , ,25-32, ,Defensive rebound by K. Anderson,
10:54.0, , ,25-32, ,Turnover by K. Anderson (bad pass; steal by E. Fournier),
10:50.0,C. Metu misses 3-pt jump shot from 26 ft, ,25-32, , ,
10:46.0, , ,25-32, ,Defensive rebound by K. Anderson,
10:38.0, , ,25-32, ,Shooting foul by C. Metu (drawn by K. Anderson),
10:38.0, , ,25-32, ,K. Anderson misses free throw 1 of 2,
10:38.0, , ,25-32, ,Offensive rebound by Team,
10:38.0, , ,25-33,+1,K. Anderson makes free throw 2 of 2,
10:27.0,M. Flynn makes 3-pt jump shot from 26 ft (assist by T. Brown),+3,28-33, , ,
10:13.0, , ,28-33, ,Turnover by M. Conley (back court),
10:03.0,M. Flynn makes 2-pt jump shot from 18 ft,+2,30-33, , ,
9:44.0, , ,30-33, ,M. Conley misses 3-pt jump shot from 24 ft,
9:40.0,Defensive rebound by C. Metu, ,30-33, , ,
9:21.0,C. Metu misses 2-pt jump shot from 11 ft, ,30-33, , ,
9:18.0, , ,30-33, ,Defensive rebound by R. Gobert,
9:09.0, , ,30-33, ,K. Anderson misses 2-pt jump shot from 24 ft,
9:07.0,Defensive rebound by M. Flynn, ,30-33, , ,
8:58.0,M. Flynn misses 2-pt layup from 7 ft, ,30-33, , ,
8:55.0, , ,30-33, ,Defensive rebound by R. Gobert,
8:52.0, , ,30-33, ,M. Conley misses 3-pt jump shot from 24 ft,
8:48.0,Defensive rebound by M. Flynn, ,30-33, , ,
8:31.0,J. Wiseman makes 2-pt layup from 1 ft,+2,32-33, , ,
8:04.0, , ,32-33, ,N. Alexander-Walker misses 3-pt jump shot from 28 ft,
8:02.0,Defensive rebound by J. Wiseman, ,32-33, , ,
7:54.0,Turnover by T. Brown (bad pass; steal by M. Conley), ,32-33, , ,
7:47.0, , ,32-35,+2,R. Gobert makes 2-pt dunk at rim (assist by K. Anderson),
7:47.0,Detroit full timeout, ,32-35, , ,
7:47.0, , ,32-35, ,T. Warren enters the game for K. Anderson,
7:35.0,T. Brown misses 2-pt layup from 2 ft, ,32-35, , ,
7:33.0, , ,32-35, ,Defensive rebound by T. Warren,
7:29.0, , ,32-35, ,J. McLaughlin misses 3-pt jump shot from 25 ft,
7:26.0,Defensive rebound by J. Wiseman, ,32-35, , ,
7:04.0,E. Fournier misses 3-pt jump shot from 27 ft, ,32-35, , ,
7:01.0, , ,32-35, ,Defensive rebound by R. Gobert,
6:38.0, , ,32-38,+3,N. Alexander-Walker makes 3-pt jump shot from 25 ft (assist by M. Conley),
6:23.0,J. Wiseman misses 2-pt jump shot from 17 ft, ,32-38, , ,
6:21.0, , ,32-38, ,Defensive rebound by R. Gobert,
6:21.0,C. Cunningham enters the game for M. Flynn, ,32-38, , ,
6:21.0,J. Duren enters the game for E. Fournier, ,32-38, , ,
6:21.0,M. Sasser enters the game for J. Wiseman, ,32-38, , ,
6:21.0, , ,32-38, ,J. McDaniels enters the game for M. Conley,
6:21.0, , ,32-38, ,N. Reid enters the game for J. McLaughlin,
5:57.0, , ,32-40,+2,R. Gobert makes 2-pt jump shot from 8 ft (assist by N. Alexander-Walker),
5:42.0,C. Cunningham misses 2-pt jump shot from 17 ft, ,32-40, , ,
5:39.0, , ,32-40, ,Defensive rebound by R. Gobert,
5:34.0, , ,32-40, ,N. Reid misses 2-pt layup from 6 ft (block by C. Metu),
5:30.0,Defensive rebound by C. Metu, ,32-40, , ,
5:25.0,C. Cunningham misses 2-pt layup from 3 ft, ,32-40, , ,
5:23.0,Offensive rebound by J. Duren, ,32-40, , ,
5:19.0,M. Sasser misses 3-pt jump shot from 25 ft, ,32-40, , ,
5:16.0, , ,32-40, ,Defensive rebound by R. Gobert,
5:11.0, , ,32-40, ,Turnover by R. Gobert (traveling),
5:11.0,T. Evbuomwan enters the game for C. Metu, ,32-40, , ,
5:11.0, , ,32-40, ,A. Edwards enters the game for R. Gobert,
4:57.0,M. Sasser misses 3-pt jump shot from 25 ft, ,32-40, , ,
4:55.0, , ,32-40, ,Defensive rebound by N. Reid,
4:46.0, , ,32-40, ,N. Reid misses 3-pt jump shot from 27 ft,
4:41.0,Defensive rebound by J. Duren, ,32-40, , ,
4:33.0,Shooting foul by N. Reid (drawn by J. Duren), ,32-40, , ,
4:33.0,J. Duren makes free throw 1 of 2,+1,33-40, , ,
4:33.0,J. Duren makes free throw 2 of 2,+1,34-40, , ,
4:26.0, , ,34-40, ,Turnover by N. Alexander-Walker (bad pass; steal by T. Brown),
4:20.0,T. Brown makes 3-pt jump shot from 26 ft (assist by M. Sasser),+3,37-40, , ,
3:57.0, , ,37-40, ,J. McDaniels misses 3-pt jump shot from 24 ft,
3:54.0, , ,37-40, ,Offensive rebound by N. Reid,
3:52.0, , ,37-40, ,N. Alexander-Walker misses 3-pt jump shot from 25 ft,
3:49.0,Defensive rebound by J. Duren, ,37-40, , ,
3:33.0,Shooting foul by N. Reid (drawn by C. Cunningham), ,37-40, , ,
3:33.0,C. Cunningham misses free throw 1 of 2, ,37-40, , ,
3:33.0,Offensive rebound by Team, ,37-40, , ,
3:33.0, , ,37-40, ,M. Conley enters the game for N. Alexander-Walker,
3:33.0,C. Cunningham makes free throw 2 of 2,+1,38-40, , ,
3:22.0, , ,38-40, ,N. Reid misses 3-pt jump shot from 26 ft,
3:19.0,Defensive rebound by M. Sasser, ,38-40, , ,
3:16.0,J. Duren makes 2-pt dunk from 1 ft (assist by M. Sasser),+2,40-40, , ,Tie
2:56.0, , ,40-40, ,A. Edwards misses 3-pt jump shot from 26 ft,
2:53.0,Defensive rebound by J. Duren, ,40-40, , ,
2:47.0,M. Sasser makes 3-pt jump shot from 25 ft,+3,43-40, , ,Lead change
2:47.0, , ,43-40, ,Minnesota full timeout,
2:47.0, , ,43-40, ,R. Gobert enters the game for T. Warren,
2:32.0, , ,43-40, ,M. Conley misses 3-pt jump shot from 26 ft,
2:27.0,Defensive rebound by T. Evbuomwan, ,43-40, , ,
2:24.0,C. Cunningham makes 2-pt jump shot from 6 ft,+2,45-40, , ,
2:07.0, , ,45-40, ,A. Edwards misses 3-pt jump shot from 23 ft,
2:04.0,Defensive rebound by C. Cunningham, ,45-40, , ,
1:58.0,T. Brown misses 3-pt jump shot from 25 ft, ,45-40, , ,
1:56.0, , ,45-40, ,Defensive rebound by J. McDaniels,
1:36.0, , ,45-42,+2,J. McDaniels makes 2-pt layup from 1 ft (assist by M. Conley),
1:13.0,J. Duren misses 2-pt jump shot from 14 ft, ,45-42, , ,
1:09.0, , ,45-42, ,Defensive rebound by J. McDaniels,
