A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Memphis,
12:00.0,Jump ball: J. Duren vs. T. Jemison (J. Ivey gains possession),
11:45.0,M. Sasser misses 2-pt jump shot from 17 ft, ,0-0, , ,
11:42.0, , ,0-0, ,Defensive rebound by J. LaRavia,
11:33.0, , ,0-0, ,J. LaRavia misses 2-pt jump shot from 3 ft,
11:30.0,Defensive rebound by J. Duren, ,0-0, , ,
11:09.0,J. Ivey misses 3-pt jump shot from 25 ft, ,0-0, , ,
11:09.0,Offensive rebound by Team, ,0-0, , ,
11:09.0,Turnover by Team (shot clock), ,0-0, , ,
10:55.0, , ,0-0, ,Personal foul by J. Duren (drawn by T. Jemison),
10:40.0, , ,0-2,+2,G. Jackson makes 2-pt jump shot from 8 ft (assist by S. Pippen ),
10:28.0,J. Duren misses 2-pt jump shot from 7 ft, ,0-2, , ,
10:26.0, , ,0-2, ,Defensive rebound by J. Goodwin,
10:21.0, , ,0-4,+2,S. Pippen  makes 2-pt layup from 2 ft (assist by J. Goodwin),
10:07.0,M. Sasser misses 3-pt jump shot from 26 ft, ,0-4, , ,
10:05.0,Offensive rebound by T. Brown, ,0-4, , ,
10:02.0,J. Ivey makes 3-pt jump shot from 27 ft (assist by T. Brown),+3,3-4, , ,
9:46.0, , ,3-4, ,J. Goodwin misses 2-pt jump shot from 19 ft,
9:42.0,Defensive rebound by T. Brown, ,3-4, , ,
9:34.0,J. Ivey makes 3-pt jump shot from 24 ft (assist by T. Evbuomwan),+3,6-4, , ,Lead change
9:14.0, , ,6-6,+2,G. Jackson makes 2-pt layup from 4 ft,Tie
8:54.0,Turnover by J. Ivey (bad pass; steal by J. LaRavia), ,6-6, , ,
8:42.0, , ,6-6, ,Turnover by J. LaRavia (bad pass; steal by T. Evbuomwan),
8:34.0,Turnover by J. Ivey (lost ball; steal by S. Pippen ), ,6-6, , ,
8:30.0, , ,6-6, ,S. Pippen  misses 2-pt dunk from 2 ft,
8:27.0,Defensive rebound by M. Sasser, ,6-6, , ,
8:25.0,T. Brown misses 3-pt jump shot from 23 ft, ,6-6, , ,
8:21.0,Offensive rebound by T. Evbuomwan, ,6-6, , ,
8:19.0,T. Evbuomwan misses 2-pt layup from 4 ft (block by T. Jemison), ,6-6, , ,
8:16.0, , ,6-6, ,Defensive rebound by J. Goodwin,
8:10.0, , ,6-6, ,J. LaRavia misses 3-pt jump shot from 26 ft,
8:08.0,Defensive rebound by J. Ivey, ,6-6, , ,
7:58.0,J. Ivey makes 2-pt layup from 3 ft,+2,8-6, , ,
7:36.0, , ,8-9,+3,G. Jackson makes 3-pt jump shot from 29 ft (assist by J. LaRavia),Lead change
7:17.0,J. Ivey makes 3-pt jump shot from 25 ft (assist by M. Sasser),+3,11-9, , ,Lead change
6:51.0, , ,11-11,+2,J. Goodwin makes 2-pt layup from 3 ft,Tie
