A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,Dallas,
12:00.0,Jump ball: J. Wiseman vs. D. Gafford (M. Sasser gains possession),
11:42.0,C. Metu misses 2-pt jump shot from 11 ft, ,0-0, , ,
11:40.0, , ,0-0, ,Defensive rebound by D. Gafford,
11:32.0, , ,0-2,+2,P. Washington makes 2-pt dunk from 1 ft (assist by D. Exum),
11:16.0,T. Brown makes 2-pt jump shot from 8 ft,+2,2-2, , ,Tie
10:59.0, , ,2-2, ,T. Hardaway misses 2-pt layup from 1 ft,
10:57.0,Defensive rebound by J. Wiseman, ,2-2, , ,
10:50.0,M. Sasser misses 3-pt jump shot from 25 ft, ,2-2, , ,
10:47.0, , ,2-2, ,Defensive rebound by D. Jones,
10:36.0, , ,2-4,+2,D. Gafford makes 2-pt dunk at rim (assist by D. Jones),
10:25.0,C. Metu makes 3-pt jump shot from 25 ft (assist by J. Wiseman),+3,5-4, , ,Lead change
10:10.0, , ,5-4, ,D. Jones misses 2-pt layup from 2 ft (block by J. Wiseman),
10:10.0,Defensive rebound by T. Brown, ,5-4, , ,
10:03.0,T. Brown misses 2-pt layup from 4 ft, ,5-4, , ,
10:00.0,Offensive rebound by J. Wiseman, ,5-4, , ,
10:00.0,J. Wiseman makes 2-pt layup at rim,+2,7-4, , ,
9:48.0, , ,7-4, ,Turnover by D. Gafford (bad pass; steal by J. Ivey),
9:45.0,J. Ivey makes 2-pt dunk from 1 ft,+2,9-4, , ,
9:31.0, , ,9-4, ,D. Gafford misses 2-pt layup from 3 ft,
9:31.0,Defensive rebound by T. Brown, ,9-4, , ,
9:24.0,C. Metu makes 3-pt jump shot from 23 ft (assist by T. Brown),+3,12-4, , ,
8:58.0, , ,12-7,+3,P. Washington makes 3-pt jump shot from 25 ft (assist by D. Jones),
8:47.0,Personal foul by D. Gafford (drawn by J. Wiseman), ,12-7, , ,
8:33.0,J. Wiseman makes 2-pt layup from 2 ft (assist by T. Brown),+2,14-7, , ,
8:15.0, , ,14-7, ,Turnover by D. Gafford (bad pass; steal by T. Brown),
