A,B,C,D,E,F,Event
1st Q
Time,Detroit,,Score,,San Antonio,
12:00.0,Jump ball: J. Wiseman vs. Z. Collins (M. Sasser gains possession),
11:47.0,Shooting foul by Z. Collins (drawn by J. Wiseman), ,0-0, , ,
11:47.0,J. Wiseman makes free throw 1 of 2,+1,1-0, , ,
11:47.0,J. Wiseman makes free throw 2 of 2,+1,2-0, , ,
11:35.0, , ,2-2,+2,J. Champagnie makes 2-pt layup from 1 ft (assist by B. Wesley),Tie
11:18.0,Turnover by M. Sasser (traveling), ,2-2, , ,
11:06.0, , ,2-2, ,Z. Collins misses 2-pt jump shot from 14 ft,
11:01.0,Defensive rebound by T. Brown, ,2-2, , ,
10:47.0,J. Wiseman misses 2-pt dunk from 2 ft, ,2-2, , ,
10:46.0, , ,2-2, ,Defensive rebound by T. Jones,
10:31.0, , ,2-2, ,T. Jones misses 2-pt layup from 2 ft,
10:29.0,Defensive rebound by T. Brown, ,2-2, , ,
10:22.0,J. Ivey makes 2-pt layup from 1 ft,+2,4-2, , ,
10:11.0, , ,4-5,+3,S. Mamukelashvili makes 3-pt jump shot from 25 ft (assist by Z. Collins),Lead change
9:57.0,M. Sasser makes 2-pt jump shot from 8 ft,+2,6-5, , ,Lead change
9:46.0, , ,6-5, ,J. Champagnie misses 3-pt jump shot from 25 ft,
9:46.0,Defensive rebound by J. Wiseman, ,6-5, , ,
9:36.0,Personal foul by T. Jones (drawn by M. Sasser), ,6-5, , ,
9:31.0,J. Wiseman misses 2-pt jump shot from 13 ft, ,6-5, , ,
9:27.0, , ,6-5, ,Defensive rebound by B. Wesley,
9:15.0, , ,6-7,+2,S. Mamukelashvili makes 2-pt layup from 2 ft (assist by J. Champagnie),Lead change
8:58.0,Turnover by C. Metu (lost ball; steal by Z. Collins), ,6-7, , ,
8:53.0, , ,6-7, ,T. Jones misses 3-pt jump shot from 25 ft,
8:48.0, , ,6-7, ,Offensive rebound by Z. Collins,
8:48.0, , ,6-7, ,Z. Collins misses 2-pt layup at rim,
8:48.0,Defensive rebound by J. Wiseman, ,6-7, , ,
8:47.0,Personal foul by Z. Collins (drawn by C. Metu), ,6-7, , ,
8:47.0, , ,6-7, ,S. Cissoko enters the game for Z. Collins,
8:38.0,J. Wiseman makes 2-pt jump shot from 10 ft (assist by M. Sasser),+2,8-7, , ,Lead change
8:20.0, , ,8-7, ,J. Champagnie misses 2-pt layup from 1 ft (block by T. Brown),
8:17.0,Defensive rebound by J. Ivey, ,8-7, , ,
8:17.0,J. Ivey misses 2-pt jump shot from 6 ft, ,8-7, , ,
8:15.0,Offensive rebound by J. Wiseman, ,8-7, , ,
8:14.0,J. Wiseman makes 2-pt layup at rim,+2,10-7, , ,
8:14.0,Shooting foul by B. Wesley (drawn by J. Wiseman), ,10-7, , ,
8:14.0,J. Wiseman misses free throw 1 of 1, ,10-7, , ,
8:11.0, , ,10-7, ,Defensive rebound by S. Cissoko,
8:06.0, , ,10-9,+2,J. Champagnie makes 2-pt dunk from 1 ft (assist by S. Cissoko),
7:39.0,J. Ivey misses 3-pt jump shot from 26 ft, ,10-9, , ,
7:39.0,Offensive rebound by Team, ,10-9, , ,
7:23.0,J. Ivey makes 2-pt layup from 3 ft (assist by T. Brown),+2,12-9, , ,
7:05.0, , ,12-9, ,S. Mamukelashvili misses 2-pt layup from 2 ft (block by J. Wiseman),
7:02.0,Defensive rebound by C. Metu, ,12-9, , ,
6:59.0,Turnover by C. Metu (bad pass; steal by B. Wesley), ,12-9, , ,
6:54.0, , ,12-11,+2,S. Cissoko makes 2-pt dunk at rim (assist by B. Wesley),
6:45.0,T. Brown misses 2-pt jump shot from 18 ft, ,12-11, , ,
6:42.0, , ,12-11, ,Defensive rebound by S. Cissoko,
6:34.0, , ,12-13,+2,B. Wesley makes 2-pt layup from 2 ft,Lead change
6:34.0,Detroit full timeout, ,12-13, , ,
6:34.0,M. Flynn enters the game for T. Brown, ,12-13, , ,
6:34.0,J. Rhoden enters the game for M. Sasser, ,12-13, , ,
6:19.0,J. Ivey misses 2-pt jump shot from 16 ft, ,12-13, , ,
6:16.0, , ,12-13, ,Defensive rebound by T. Jones,
