A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Chicago,
12:00.0,Jump ball: B. Adebayo vs. N. Vučević (J. Butler gains possession),
11:43.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by K. Lowry),+2,2-0, , ,
11:23.0, , ,2-2,+2,C. White makes 2-pt layup from 1 ft,Tie
11:14.0,H. Highsmith makes 2-pt layup from 1 ft (assist by K. Lowry),+2,4-2, , ,
11:04.0, , ,4-2, ,Turnover by C. White (traveling),
10:53.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by H. Highsmith),+3,7-2, , ,
10:28.0, , ,7-2, ,Z. LaVine misses 3-pt jump shot from 25 ft,
10:25.0,Defensive rebound by H. Highsmith, ,7-2, , ,
10:12.0,J. Butler makes 2-pt jump shot from 11 ft,+2,9-2, , ,
9:55.0, , ,9-2, ,Turnover by C. White (lost ball; steal by H. Highsmith),
9:33.0,D. Robinson makes 3-pt jump shot from 29 ft,+3,12-2, , ,
9:31.0, , ,12-2, ,Chicago full timeout,
9:19.0, , ,12-5,+3,A. Caruso makes 3-pt jump shot from 26 ft (assist by D. DeRozan),
8:51.0,B. Adebayo misses 2-pt jump shot from 16 ft, ,12-5, , ,
8:47.0, , ,12-5, ,Defensive rebound by C. White,
8:36.0, , ,12-7,+2,D. DeRozan makes 2-pt jump shot from 2 ft,
8:23.0,B. Adebayo misses 2-pt jump shot from 15 ft, ,12-7, , ,
8:18.0, , ,12-7, ,Defensive rebound by Z. LaVine,
8:13.0, , ,12-10,+3,C. White makes 3-pt jump shot from 25 ft (assist by Z. LaVine),
7:52.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by H. Highsmith),+3,15-10, , ,
7:35.0, , ,15-10, ,Turnover by Z. LaVine (bad pass; steal by B. Adebayo),
7:31.0,D. Robinson makes 2-pt layup from 1 ft (assist by H. Highsmith),+2,17-10, , ,
7:21.0, , ,17-10, ,Turnover by N. Vučević (bad pass),
7:12.0,D. Robinson misses 3-pt jump shot from 27 ft, ,17-10, , ,
7:08.0,Offensive rebound by B. Adebayo, ,17-10, , ,
7:06.0,D. Robinson misses 3-pt jump shot from 25 ft, ,17-10, , ,
