A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Golden State,
12:00.0,Jump ball: B. Adebayo vs. K. Looney (T. Herro gains possession),
11:41.0,B. Adebayo misses 2-pt hook shot from 7 ft, ,0-0, , ,
11:34.0, , ,0-0, ,Defensive rebound by K. Looney,
11:19.0, , ,0-0, ,S. Curry misses 3-pt jump shot from 26 ft,
11:15.0,Defensive rebound by B. Adebayo, ,0-0, , ,
11:09.0,B. Adebayo misses 2-pt jump shot from 8 ft, ,0-0, , ,
11:06.0, , ,0-0, ,Defensive rebound by J. Kuminga,
11:00.0, , ,0-0, ,Turnover by J. Kuminga (bad pass; steal by H. Highsmith),
10:53.0,H. Highsmith misses 2-pt layup from 6 ft (block by S. Curry), ,0-0, , ,
10:51.0, , ,0-0, ,Defensive rebound by S. Curry,
10:49.0, , ,0-2,+2,J. Kuminga makes 2-pt dunk from 1 ft (assist by K. Thompson),
10:33.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Herro),+2,2-2, , ,Tie
10:19.0, , ,2-2, ,B. Podziemski misses 2-pt hook shot from 6 ft,
10:15.0,Defensive rebound by T. Herro, ,2-2, , ,
9:54.0,B. Adebayo makes 2-pt jump shot from 7 ft,+2,4-2, , ,Lead change
9:41.0, , ,4-5,+3,K. Thompson makes 3-pt jump shot from 26 ft (assist by B. Podziemski),Lead change
9:29.0,T. Herro makes 2-pt jump shot from 16 ft,+2,6-5, , ,Lead change
9:23.0, , ,6-5, ,K. Thompson misses 3-pt jump shot from 26 ft,
9:23.0, , ,6-5, ,Offensive rebound by B. Podziemski,
9:10.0, , ,6-5, ,J. Kuminga misses 3-pt jump shot from 27 ft,
9:05.0,Defensive rebound by T. Herro, ,6-5, , ,
8:59.0,T. Herro makes 2-pt layup from 2 ft,+2,8-5, , ,
8:42.0, , ,8-5, ,K. Thompson misses 2-pt layup from 4 ft,
8:40.0, , ,8-5, ,Offensive rebound by K. Looney,
8:40.0, , ,8-5, ,Shooting foul by B. Adebayo (drawn by K. Looney),
8:40.0, , ,8-5, ,K. Looney misses free throw 1 of 2,
8:40.0, , ,8-5, ,Offensive rebound by Team,
8:40.0, , ,8-6,+1,K. Looney makes free throw 2 of 2,
8:33.0,J. Jaquez makes 2-pt layup from 4 ft (assist by T. Herro),+2,10-6, , ,
8:17.0, , ,10-6, ,K. Thompson misses 3-pt jump shot from 28 ft,
8:16.0,Defensive rebound by Team, ,10-6, , ,
8:16.0, , ,10-6, ,Loose ball foul by K. Looney (drawn by B. Adebayo),
7:53.0,T. Herro misses 3-pt jump shot from 26 ft, ,10-6, , ,
7:51.0, , ,10-6, ,Defensive rebound by Team,
7:42.0, , ,10-6, ,B. Podziemski misses 3-pt jump shot from 26 ft,
7:38.0,Defensive rebound by B. Adebayo, ,10-6, , ,
7:30.0,Shooting foul by K. Looney (drawn by B. Adebayo), ,10-6, , ,
7:30.0,B. Adebayo makes free throw 1 of 2,+1,11-6, , ,
7:30.0,B. Adebayo makes free throw 2 of 2,+1,12-6, , ,
7:20.0, , ,12-6, ,S. Curry misses 2-pt jump shot from 20 ft,
7:14.0, , ,12-6, ,Offensive rebound by J. Kuminga,
7:14.0, , ,12-6, ,J. Kuminga misses 2-pt layup at rim,
7:13.0,Defensive rebound by J. Jaquez, ,12-6, , ,
7:06.0,J. Jaquez makes 3-pt jump shot from 25 ft (assist by B. Adebayo),+3,15-6, , ,
6:49.0, , ,15-9,+3,B. Podziemski makes 3-pt jump shot from 25 ft (assist by K. Thompson),
6:32.0,T. Herro makes 2-pt jump shot from 17 ft (assist by R. Hampton),+2,17-9, , ,
6:20.0, , ,17-9, ,J. Kuminga misses 2-pt layup from 2 ft,
6:17.0,Defensive rebound by B. Adebayo, ,17-9, , ,
6:15.0,T. Herro misses 3-pt jump shot from 26 ft, ,17-9, , ,
6:09.0,Offensive rebound by R. Hampton, ,17-9, , ,
5:55.0,J. Jaquez misses 2-pt jump shot from 8 ft (block by K. Looney), ,17-9, , ,
5:47.0, , ,17-9, ,Defensive rebound by S. Curry,
5:46.0, , ,17-11,+2,K. Thompson makes 2-pt layup from 3 ft (assist by S. Curry),
5:36.0,T. Herro misses 3-pt jump shot from 26 ft, ,17-11, , ,
5:33.0, , ,17-11, ,Defensive rebound by J. Kuminga,
5:22.0, , ,17-13,+2,K. Looney makes 2-pt layup from 4 ft (assist by B. Podziemski),
5:22.0,Miami full timeout, ,17-13, , ,
5:22.0,K. Love enters the game for B. Adebayo, ,17-13, , ,
5:22.0,D. Robinson enters the game for J. Jaquez, ,17-13, , ,
5:22.0, , ,17-13, ,T. Jackson-Davis enters the game for J. Kuminga,
5:22.0, , ,17-13, ,C. Paul enters the game for K. Looney,
5:22.0, , ,17-13, ,D. Šarić enters the game for B. Podziemski,
5:22.0, , ,17-13, ,A. Wiggins enters the game for K. Thompson,
5:07.0,Shooting foul by D. Šarić (drawn by T. Herro), ,17-13, , ,
5:07.0,T. Herro makes free throw 1 of 2,+1,18-13, , ,
5:07.0,T. Herro misses free throw 2 of 2, ,18-13, , ,
5:05.0, , ,18-13, ,Defensive rebound by T. Jackson-Davis,
4:46.0, , ,18-13, ,Turnover by A. Wiggins (out of bounds lost ball),
4:23.0,R. Hampton misses 2-pt jump shot from 11 ft, ,18-13, , ,
4:22.0,Offensive rebound by Team, ,18-13, , ,
4:22.0, , ,18-13, ,Loose ball foul by C. Paul (drawn by K. Love),
4:14.0,D. Robinson misses 3-pt jump shot from 28 ft, ,18-13, , ,
4:09.0, , ,18-13, ,Defensive rebound by T. Jackson-Davis,
4:01.0, , ,18-13, ,A. Wiggins misses 2-pt jump shot from 10 ft,
3:57.0,Defensive rebound by K. Love, ,18-13, , ,
3:50.0,T. Herro misses 2-pt jump shot from 6 ft (block by T. Jackson-Davis), ,18-13, , ,
3:50.0, , ,18-13, ,Defensive rebound by D. Šarić,
3:29.0, , ,18-15,+2,T. Jackson-Davis makes 2-pt layup from 3 ft (assist by D. Šarić),
3:22.0,Shooting foul by T. Jackson-Davis (drawn by K. Love), ,18-15, , ,
3:22.0,K. Love makes free throw 1 of 2,+1,19-15, , ,
3:22.0,J. Cain enters the game for T. Herro, ,19-15, , ,
3:22.0,J. Jaquez enters the game for H. Highsmith, ,19-15, , ,
3:22.0, , ,19-15, ,B. Podziemski enters the game for S. Curry,
3:22.0,K. Love makes free throw 2 of 2,+1,20-15, , ,
3:07.0, , ,20-15, ,Shooting foul by K. Love (drawn by T. Jackson-Davis),
3:07.0, , ,20-16,+1,T. Jackson-Davis makes free throw 1 of 2,
3:07.0, , ,20-17,+1,T. Jackson-Davis makes free throw 2 of 2,
2:56.0,J. Jaquez misses 2-pt layup from 4 ft, ,20-17, , ,
2:52.0, , ,20-17, ,Defensive rebound by T. Jackson-Davis,
2:44.0, , ,20-20,+3,B. Podziemski makes 3-pt jump shot from 27 ft (assist by A. Wiggins),Tie
2:35.0,K. Love misses 3-pt jump shot from 26 ft, ,20-20, , ,
