A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Orlando,
12:00.0,Jump ball: B. Adebayo vs. W. Carter (T. Herro gains possession),
11:38.0,N. Jović misses 3-pt jump shot from 25 ft, ,0-0, , ,
11:37.0,Offensive rebound by Team, ,0-0, , ,
11:35.0,B. Adebayo misses 3-pt jump shot from 26 ft, ,0-0, , ,
11:30.0, , ,0-0, ,Defensive rebound by P. Banchero,
11:17.0, , ,0-0, ,W. Carter misses 2-pt jump shot from 9 ft,
11:13.0,Defensive rebound by J. Butler, ,0-0, , ,
10:56.0,B. Adebayo misses 2-pt jump shot from 16 ft, ,0-0, , ,
10:51.0, , ,0-0, ,Defensive rebound by P. Banchero,
10:45.0, , ,0-0, ,P. Banchero misses 2-pt jump shot from 20 ft,
10:42.0,Defensive rebound by C. Martin, ,0-0, , ,
10:32.0,J. Butler makes 3-pt jump shot from 25 ft (assist by B. Adebayo),+3,3-0, , ,
10:10.0, , ,3-2,+2,W. Carter makes 2-pt dunk from 3 ft (assist by F. Wagner),
10:01.0,Shooting foul by P. Banchero (drawn by B. Adebayo), ,3-2, , ,
10:01.0,B. Adebayo makes free throw 1 of 2,+1,4-2, , ,
10:01.0,B. Adebayo makes free throw 2 of 2,+1,5-2, , ,
9:47.0, , ,5-2, ,J. Suggs misses 3-pt jump shot from 26 ft,
9:42.0,Defensive rebound by B. Adebayo, ,5-2, , ,
9:32.0,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Herro),+3,8-2, , ,
9:11.0, , ,8-4,+2,P. Banchero makes 2-pt layup from 2 ft,
8:57.0,B. Adebayo misses 2-pt jump shot from 15 ft, ,8-4, , ,
8:54.0, , ,8-4, ,Defensive rebound by W. Carter,
8:40.0, , ,8-4, ,F. Wagner misses 2-pt hook shot from 10 ft,
8:38.0,Defensive rebound by N. Jović, ,8-4, , ,
8:37.0,Turnover by N. Jović (bad pass; steal by J. Suggs), ,8-4, , ,
8:31.0, , ,8-6,+2,J. Suggs makes 2-pt layup from 2 ft,
8:15.0,Shooting foul by J. Suggs (drawn by B. Adebayo), ,8-6, , ,
8:15.0,B. Adebayo makes free throw 1 of 2,+1,9-6, , ,
8:15.0,B. Adebayo makes free throw 2 of 2,+1,10-6, , ,
7:58.0, , ,10-6, ,J. Suggs misses 3-pt jump shot from 26 ft,
7:55.0,Defensive rebound by B. Adebayo, ,10-6, , ,
7:51.0,N. Jović misses 2-pt layup from 3 ft, ,10-6, , ,
7:50.0, , ,10-6, ,Defensive rebound by Team,
7:38.0, , ,10-8,+2,M. Fultz makes 2-pt layup from 3 ft,
7:19.0,T. Herro misses 3-pt jump shot from 26 ft, ,10-8, , ,
7:15.0, , ,10-8, ,Defensive rebound by W. Carter,
7:04.0, , ,10-8, ,Personal foul by N. Jović (drawn by W. Carter),
6:53.0, , ,10-8, ,F. Wagner misses 3-pt jump shot from 25 ft,
6:50.0,Defensive rebound by N. Jović, ,10-8, , ,
6:33.0,J. Butler misses 2-pt layup from 2 ft, ,10-8, , ,
6:31.0, , ,10-8, ,Defensive rebound by W. Carter,
6:26.0, , ,10-8, ,Orlando full timeout,
6:13.0, , ,10-10,+2,M. Fultz makes 2-pt layup from 4 ft (assist by F. Wagner),Tie
5:52.0,Turnover by B. Adebayo (lost ball; steal by W. Carter), ,10-10, , ,
5:40.0, , ,10-10, ,P. Banchero misses 3-pt jump shot from 25 ft,
5:39.0, , ,10-10, ,Offensive rebound by Team,
5:39.0,H. Highsmith enters the game for B. Adebayo, ,10-10, , ,
5:39.0,K. Love enters the game for N. Jović, ,10-10, , ,
5:39.0, , ,10-10, ,A. Black enters the game for W. Carter,
5:39.0, , ,10-10, ,J. Ingles enters the game for M. Fultz,
5:39.0, , ,10-10, ,M. Wagner enters the game for F. Wagner,
5:30.0, , ,10-12,+2,P. Banchero makes 2-pt jump shot from 15 ft (assist by J. Ingles),Lead change
5:21.0,T. Herro misses 3-pt jump shot from 26 ft, ,10-12, , ,
5:17.0, , ,10-12, ,Defensive rebound by P. Banchero,
5:06.0, , ,10-12, ,Turnover by J. Ingles (bad pass; steal by H. Highsmith),
5:00.0,T. Herro makes 3-pt jump shot from 24 ft (assist by H. Highsmith),+3,13-12, , ,Lead change
4:36.0, , ,13-14,+2,P. Banchero makes 2-pt jump shot from 16 ft,Lead change
4:21.0,T. Herro misses 3-pt jump shot from 25 ft, ,13-14, , ,
4:18.0,Offensive rebound by K. Love, ,13-14, , ,
4:18.0,Shooting foul by M. Wagner (drawn by K. Love), ,13-14, , ,
4:18.0,K. Love misses free throw 1 of 2, ,13-14, , ,
4:18.0,Offensive rebound by Team, ,13-14, , ,
4:18.0,K. Lowry enters the game for C. Martin, ,13-14, , ,
4:18.0,K. Love makes free throw 2 of 2,+1,14-14, , ,Tie
3:58.0, , ,14-14, ,A. Black misses 3-pt jump shot from 26 ft,
3:58.0, , ,14-14, ,Offensive rebound by J. Suggs,
3:51.0, , ,14-16,+2,J. Suggs makes 2-pt jump shot from 6 ft,
3:43.0,Turnover by K. Love (bad pass), ,14-16, , ,
3:35.0, , ,14-16, ,A. Black misses 2-pt layup from 3 ft,
3:31.0, , ,14-16, ,Offensive rebound by M. Wagner,
3:24.0, , ,14-16, ,M. Wagner misses 2-pt layup from 2 ft,
3:20.0, , ,14-16, ,Offensive rebound by J. Suggs,
3:18.0, , ,14-19,+3,A. Black makes 3-pt jump shot from 24 ft (assist by J. Ingles),
3:17.0,Miami full timeout, ,14-19, , ,
