A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,New York,
12:00.0,Jump ball: B. Adebayo vs. I. Hartenstein (T. Herro gains possession),
11:40.0,H. Highsmith misses 3-pt jump shot from 24 ft, ,0-0, , ,
11:38.0,Offensive rebound by J. Butler, ,0-0, , ,
11:37.0,J. Butler makes 2-pt layup from 1 ft,+2,2-0, , ,
11:21.0, , ,2-0, ,Shooting foul by J. Butler (drawn by J. Brunson),
11:21.0, , ,2-1,+1,J. Brunson makes free throw 1 of 2,
11:21.0, , ,2-2,+1,J. Brunson makes free throw 2 of 2,Tie
11:04.0,T. Herro makes 3-pt jump shot from 25 ft (assist by H. Highsmith),+3,5-2, , ,
10:46.0, , ,5-4,+2,O. Anunoby makes 2-pt dunk from 1 ft (assist by J. Randle),
10:24.0,T. Rozier misses 2-pt layup from 2 ft, ,5-4, , ,
10:23.0,Offensive rebound by Team, ,5-4, , ,
10:23.0, , ,5-4, ,Loose ball foul by I. Hartenstein (drawn by B. Adebayo),
10:14.0,T. Rozier misses 3-pt jump shot from 25 ft, ,5-4, , ,
10:12.0,Offensive rebound by B. Adebayo, ,5-4, , ,
10:00.0,Turnover by B. Adebayo (out of bounds lost ball), ,5-4, , ,
9:47.0, , ,5-4, ,J. Brunson misses 2-pt jump shot from 8 ft,
9:45.0, , ,5-4, ,Offensive rebound by I. Hartenstein,
9:34.0, , ,5-4, ,D. DiVincenzo misses 3-pt jump shot from 26 ft,
9:32.0,Defensive rebound by B. Adebayo, ,5-4, , ,
9:25.0,T. Herro makes 3-pt jump shot from 23 ft (assist by T. Rozier),+3,8-4, , ,
9:06.0, , ,8-4, ,Turnover by J. Randle (bad pass),
8:45.0,T. Rozier makes 2-pt jump shot from 17 ft,+2,10-4, , ,
8:37.0,Violation by Team (kicked ball), ,10-4, , ,
8:22.0, , ,10-4, ,D. DiVincenzo misses 2-pt jump shot from 8 ft,
8:20.0,Defensive rebound by T. Rozier, ,10-4, , ,
8:15.0,J. Butler makes 3-pt jump shot from 23 ft (assist by T. Rozier),+3,13-4, , ,
8:05.0, , ,13-4, ,New York full timeout,
7:51.0, , ,13-4, ,J. Randle misses 2-pt layup from 2 ft,
7:49.0, , ,13-4, ,Offensive rebound by J. Randle,
7:43.0, , ,13-4, ,J. Brunson misses 2-pt jump shot from 11 ft,
7:42.0, , ,13-4, ,Offensive rebound by J. Randle,
7:37.0, , ,13-4, ,D. DiVincenzo misses 3-pt jump shot from 24 ft,
7:35.0,Defensive rebound by B. Adebayo, ,13-4, , ,
7:26.0,T. Herro misses 3-pt jump shot from 25 ft, ,13-4, , ,
7:24.0, , ,13-4, ,Defensive rebound by I. Hartenstein,
7:13.0, , ,13-7,+3,J. Brunson makes 3-pt jump shot from 23 ft (assist by D. DiVincenzo),
6:59.0,T. Rozier makes 2-pt layup from 2 ft,+2,15-7, , ,
6:39.0, , ,15-9,+2,I. Hartenstein makes 2-pt dunk from 1 ft (assist by O. Anunoby),
6:20.0,J. Butler misses 3-pt jump shot from 23 ft, ,15-9, , ,
6:18.0, , ,15-9, ,Defensive rebound by I. Hartenstein,
6:07.0, , ,15-9, ,J. Brunson misses 3-pt jump shot from 28 ft,
6:05.0,Defensive rebound by H. Highsmith, ,15-9, , ,
6:05.0,K. Love enters the game for B. Adebayo, ,15-9, , ,
6:05.0,D. Robinson enters the game for T. Herro, ,15-9, , ,
6:05.0, , ,15-9, ,P. Achiuwa enters the game for I. Hartenstein,
5:51.0,Personal foul by J. Randle (drawn by H. Highsmith), ,15-9, , ,
5:44.0,D. Robinson makes 2-pt layup from 2 ft (assist by K. Love),+2,17-9, , ,
5:27.0, , ,17-9, ,J. Randle misses 2-pt jump shot from 6 ft,
5:26.0,Defensive rebound by Team, ,17-9, , ,
5:17.0,T. Rozier misses 2-pt jump shot from 10 ft, ,17-9, , ,
5:15.0, , ,17-9, ,Defensive rebound by J. Brunson,
4:53.0, , ,17-9, ,J. Randle misses 2-pt jump shot from 9 ft,
4:51.0,Defensive rebound by K. Love, ,17-9, , ,
4:39.0,D. Robinson misses 2-pt layup from 4 ft (block by J. Brunson), ,17-9, , ,
4:38.0, , ,17-9, ,Defensive rebound by Team,
4:38.0, , ,17-9, ,New York full timeout,
4:38.0, , ,17-9, ,J. Hart enters the game for D. DiVincenzo,
4:38.0, , ,17-9, ,Instant Replay (Challenge: Ruling Stands),
4:38.0,J. Jaquez enters the game for H. Highsmith, ,17-9, , ,
4:20.0, , ,17-9, ,O. Anunoby misses 2-pt layup from 6 ft,
4:18.0, , ,17-9, ,Offensive rebound by P. Achiuwa,
4:18.0, , ,17-9, ,P. Achiuwa misses 2-pt layup from 3 ft,
4:17.0, , ,17-9, ,Offensive rebound by P. Achiuwa,
4:17.0, , ,17-9, ,P. Achiuwa misses 2-pt layup at rim,
4:17.0,Defensive rebound by Team, ,17-9, , ,
4:01.0,J. Butler makes 2-pt layup from 1 ft (assist by D. Robinson),+2,19-9, , ,
3:39.0, , ,19-11,+2,O. Anunoby makes 2-pt layup from 1 ft (assist by J. Brunson),
3:39.0, , ,19-11, ,Shooting foul by J. Jaquez (drawn by O. Anunoby),
3:39.0, , ,19-11, ,O. Anunoby misses free throw 1 of 1,
3:37.0,Defensive rebound by J. Jaquez, ,19-11, , ,
3:23.0,D. Robinson misses 2-pt jump shot from 8 ft, ,19-11, , ,
3:21.0, , ,19-11, ,Defensive rebound by J. Brunson,
3:14.0, , ,19-13,+2,J. Brunson makes 2-pt layup from 1 ft,
2:57.0,D. Robinson misses 3-pt jump shot from 25 ft, ,19-13, , ,
2:55.0, , ,19-13, ,Defensive rebound by P. Achiuwa,
2:39.0, , ,19-13, ,P. Achiuwa misses 2-pt jump shot from 3 ft,
2:37.0,Defensive rebound by D. Robinson, ,19-13, , ,
2:21.0,J. Butler misses 2-pt layup from 2 ft (block by P. Achiuwa), ,19-13, , ,
2:19.0,Offensive rebound by J. Butler, ,19-13, , ,
2:16.0,J. Butler misses 2-pt layup at rim, ,19-13, , ,
2:15.0, , ,19-13, ,Defensive rebound by J. Randle,
2:15.0, , ,19-13, ,Turnover by J. Randle (lost ball; steal by J. Jaquez),
2:14.0,T. Rozier misses 2-pt jump shot from 7 ft, ,19-13, , ,
2:14.0,Offensive rebound by J. Butler, ,19-13, , ,
2:10.0,J. Butler makes 2-pt layup at rim,+2,21-13, , ,
1:54.0, , ,21-16,+3,J. Randle makes 3-pt jump shot from 25 ft (assist by J. Hart),
1:40.0,Shooting foul by J. Hart (drawn by J. Butler), ,21-16, , ,
1:40.0,J. Butler makes free throw 1 of 2,+1,22-16, , ,
1:40.0,B. Adebayo enters the game for K. Love, ,22-16, , ,
1:40.0,C. Martin enters the game for T. Rozier, ,22-16, , ,
1:40.0, , ,22-16, ,Q. Grimes enters the game for O. Anunoby,
1:40.0, , ,22-16, ,M. McBride enters the game for J. Brunson,
1:40.0,J. Butler makes free throw 2 of 2,+1,23-16, , ,
1:24.0, , ,23-18,+2,J. Hart makes 2-pt jump shot from 5 ft (assist by J. Randle),
1:24.0, , ,23-18, ,Shooting foul by D. Robinson (drawn by J. Hart),
1:24.0,T. Herro enters the game for J. Butler, ,23-18, , ,
1:24.0, , ,23-19,+1,J. Hart makes free throw 1 of 1,
1:11.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Jaquez),+3,26-19, , ,
0:52.0, , ,26-22,+3,M. McBride makes 3-pt jump shot from 23 ft (assist by J. Randle),
0:44.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),+2,28-22, , ,
0:30.0, , ,28-25,+3,J. Hart makes 3-pt jump shot from 26 ft (assist by Q. Grimes),
0:19.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Jaquez),+2,30-25, , ,
0:00.0, , ,30-25, ,J. Randle misses 2-pt jump shot from 1 ft,
0:00.0, , ,30-25, ,Offensive rebound by P. Achiuwa,
0:00.0, , ,30-27,+2,P. Achiuwa makes 2-pt layup from 2 ft,
0:00.0, , ,30-27, ,Instant Replay (Request: Ruling Stands),
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,New York,
12:00.0,Start of 2nd quarter,
11:38.0, , ,30-27, ,J. Hart misses 2-pt layup from 1 ft,
11:36.0,Defensive rebound by C. Martin, ,30-27, , ,
11:32.0,J. Jaquez makes 3-pt jump shot from 22 ft (assist by D. Robinson),+3,33-27, , ,
11:12.0, , ,33-27, ,M. McBride misses 3-pt jump shot from 25 ft,
11:10.0,Defensive rebound by B. Adebayo, ,33-27, , ,
11:01.0,C. Martin misses 3-pt jump shot from 23 ft, ,33-27, , ,
10:59.0, , ,33-27, ,Defensive rebound by Q. Grimes,
10:49.0, , ,33-30,+3,O. Anunoby makes 3-pt jump shot from 23 ft (assist by J. Hart),
10:28.0,D. Robinson misses 3-pt jump shot from 25 ft, ,33-30, , ,
10:26.0, , ,33-30, ,Defensive rebound by J. Hart,
10:16.0, , ,33-30, ,Q. Grimes misses 3-pt jump shot from 26 ft,
10:14.0,Defensive rebound by B. Adebayo, ,33-30, , ,
10:03.0,J. Jaquez misses 3-pt jump shot from 25 ft, ,33-30, , ,
10:01.0, , ,33-30, ,Defensive rebound by J. Hart,
9:54.0, , ,33-32,+2,J. Hart makes 2-pt dunk from 1 ft,
9:31.0,J. Jaquez misses 2-pt layup from 2 ft, ,33-32, , ,
9:29.0, , ,33-32, ,Defensive rebound by P. Achiuwa,
9:17.0, , ,33-34,+2,M. McBride makes 2-pt dunk from 1 ft (assist by J. Hart),Lead change
8:54.0,B. Adebayo misses 2-pt hook shot from 5 ft, ,33-34, , ,
8:52.0, , ,33-34, ,Defensive rebound by M. McBride,
8:51.0, , ,33-34, ,O. Anunoby misses 2-pt layup from 1 ft (block by C. Martin),
8:50.0, , ,33-34, ,Offensive rebound by Team,
8:46.0, , ,33-34, ,Shooting foul by T. Herro (drawn by Q. Grimes),
8:46.0, , ,33-35,+1,Q. Grimes makes free throw 1 of 2,
8:46.0, , ,33-36,+1,Q. Grimes makes free throw 2 of 2,
8:31.0,Shooting foul by P. Achiuwa (drawn by C. Martin), ,33-36, , ,
8:31.0,C. Martin makes free throw 1 of 2,+1,34-36, , ,
8:31.0,C. Martin misses free throw 2 of 2, ,34-36, , ,
8:29.0, , ,34-36, ,Defensive rebound by P. Achiuwa,
8:17.0, , ,34-36, ,O. Anunoby misses 3-pt jump shot from 26 ft,
8:15.0, , ,34-36, ,Offensive rebound by Q. Grimes,
8:12.0, , ,34-36, ,Shooting foul by D. Robinson (drawn by Q. Grimes),
8:12.0, , ,34-36, ,Q. Grimes misses free throw 1 of 2,
8:12.0, , ,34-36, ,Offensive rebound by Team,
8:12.0, , ,34-37,+1,Q. Grimes makes free throw 2 of 2,
7:59.0,Shooting foul by Q. Grimes (drawn by J. Jaquez), ,34-37, , ,
7:59.0,J. Jaquez makes free throw 1 of 2,+1,35-37, , ,
7:59.0,J. Jaquez makes free throw 2 of 2,+1,36-37, , ,
7:40.0, , ,36-37, ,O. Anunoby misses 2-pt dunk from 1 ft (block by J. Jaquez),
7:38.0,Defensive rebound by B. Adebayo, ,36-37, , ,
7:32.0,T. Herro misses 2-pt layup from 2 ft, ,36-37, , ,
7:30.0,Offensive rebound by B. Adebayo, ,36-37, , ,
