A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Washington,
12:00.0,Jump ball: B. Adebayo vs. D. Gafford (T. Rozier gains possession),
11:38.0,Turnover by H. Highsmith (step out of bounds), ,0-0, , ,
11:26.0, , ,0-0, ,Shooting foul by H. Highsmith (drawn by K. Kuzma),
11:26.0, , ,0-1,+1,K. Kuzma makes free throw 1 of 2,
11:26.0, , ,0-2,+1,K. Kuzma makes free throw 2 of 2,
11:11.0,T. Herro makes 2-pt jump shot from 13 ft,+2,2-2, , ,Tie
10:55.0, , ,2-2, ,J. Poole misses 3-pt jump shot from 26 ft,
10:52.0,Defensive rebound by H. Highsmith, ,2-2, , ,
10:36.0,H. Highsmith misses 3-pt jump shot from 26 ft, ,2-2, , ,
10:33.0, , ,2-2, ,Defensive rebound by J. Poole,
10:27.0, , ,2-2, ,K. Kuzma misses 3-pt jump shot from 25 ft,
10:23.0,Defensive rebound by T. Herro, ,2-2, , ,
10:19.0,T. Herro misses 2-pt layup from 7 ft, ,2-2, , ,
10:17.0, , ,2-2, ,Defensive rebound by K. Kuzma,
10:05.0, , ,2-4,+2,J. Poole makes 2-pt layup from 4 ft (assist by D. Gafford),
9:45.0,Turnover by T. Herro (bad pass), ,2-4, , ,
9:31.0, , ,2-7,+3,K. Kuzma makes 3-pt jump shot from 24 ft (assist by T. Jones),
9:15.0,H. Highsmith misses 3-pt jump shot from 24 ft, ,2-7, , ,
9:12.0,Offensive rebound by H. Highsmith, ,2-7, , ,
9:11.0,H. Highsmith makes 2-pt hook shot from 6 ft,+2,4-7, , ,
8:50.0, , ,4-7, ,J. Poole misses 3-pt jump shot from 26 ft,
8:47.0,Defensive rebound by B. Adebayo, ,4-7, , ,
8:41.0,Turnover by J. Butler (bad pass), ,4-7, , ,
8:32.0, , ,4-7, ,T. Jones misses 3-pt jump shot from 29 ft,
8:30.0,Defensive rebound by Team, ,4-7, , ,
8:18.0,J. Butler makes 2-pt layup from 6 ft,+2,6-7, , ,
8:13.0, , ,6-9,+2,D. Avdija makes 2-pt layup from 3 ft (assist by J. Poole),
8:13.0,Violation by Team (def goaltending), ,6-9, , ,
8:01.0,T. Herro misses 2-pt jump shot from 15 ft, ,6-9, , ,
7:58.0, , ,6-9, ,Defensive rebound by D. Avdija,
7:54.0, , ,6-9, ,Turnover by T. Jones (bad pass; steal by J. Butler),
7:49.0,Shooting foul by K. Kuzma (drawn by J. Butler), ,6-9, , ,
7:49.0,J. Butler makes free throw 1 of 2,+1,7-9, , ,
7:49.0,J. Butler makes free throw 2 of 2,+1,8-9, , ,
7:32.0, , ,8-11,+2,J. Poole makes 2-pt jump shot from 20 ft (assist by T. Jones),
7:16.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),+2,10-11, , ,
6:54.0, , ,10-13,+2,D. Avdija makes 2-pt layup from 1 ft (assist by T. Jones),
6:46.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Rozier),+2,12-13, , ,
6:46.0,Shooting foul by D. Gafford (drawn by B. Adebayo), ,12-13, , ,
6:46.0, , ,12-13, ,Washington full timeout,
6:46.0,J. Jaquez enters the game for T. Herro, ,12-13, , ,
6:46.0, , ,12-13, ,B. Coulibaly enters the game for D. Gafford,
6:46.0, , ,12-13, ,C. Kispert enters the game for J. Poole,
6:46.0,B. Adebayo makes free throw 1 of 1,+1,13-13, , ,Tie
6:35.0, , ,13-15,+2,K. Kuzma makes 2-pt dunk at rim,
6:14.0,Shooting foul by K. Kuzma (drawn by T. Rozier), ,13-15, , ,
6:14.0,T. Rozier makes free throw 1 of 2,+1,14-15, , ,
6:14.0,T. Rozier makes free throw 2 of 2,+1,15-15, , ,Tie
6:14.0,K. Love enters the game for B. Adebayo, ,15-15, , ,
6:07.0, , ,15-18,+3,C. Kispert makes 3-pt jump shot from 23 ft (assist by T. Jones),
5:55.0,J. Butler misses 2-pt layup from 4 ft, ,15-18, , ,
5:51.0, , ,15-18, ,Defensive rebound by C. Kispert,
5:33.0, , ,15-18, ,Shooting foul by H. Highsmith (drawn by T. Jones),
5:33.0, , ,15-19,+1,T. Jones makes free throw 1 of 2,
5:33.0,C. Martin enters the game for H. Highsmith, ,15-19, , ,
5:33.0, , ,15-20,+1,T. Jones makes free throw 2 of 2,
5:22.0,T. Rozier misses 2-pt jump shot from 16 ft, ,15-20, , ,
5:19.0,Offensive rebound by K. Love, ,15-20, , ,
5:19.0,Shooting foul by D. Avdija (drawn by K. Love), ,15-20, , ,
5:19.0,K. Love makes free throw 1 of 2,+1,16-20, , ,
5:19.0,K. Love makes free throw 2 of 2,+1,17-20, , ,
5:09.0, , ,17-20, ,T. Jones misses 2-pt jump shot from 13 ft,
5:06.0,Defensive rebound by K. Love, ,17-20, , ,
4:51.0,C. Martin misses 3-pt jump shot from 27 ft, ,17-20, , ,
4:46.0,Offensive rebound by T. Rozier, ,17-20, , ,
4:44.0,K. Love misses 3-pt jump shot from 23 ft, ,17-20, , ,
