A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,New Orleans,
12:00.0,Jump ball: B. Adebayo vs. J. Valančiūnas (C. McCollum gains possession),
11:38.0, , ,0-0, ,J. Valančiūnas misses 2-pt layup from 3 ft,
11:36.0,Defensive rebound by B. Adebayo, ,0-0, , ,
11:26.0,B. Adebayo makes 2-pt layup from 5 ft (assist by T. Herro),+2,2-0, , ,
11:04.0, , ,2-2,+2,H. Jones makes 2-pt layup from 5 ft (assist by Z. Williamson),Tie
10:39.0,Turnover by C. Martin (out of bounds lost ball), ,2-2, , ,
10:24.0, , ,2-2, ,T. Murphy misses 2-pt jump shot from 16 ft,
10:21.0,Defensive rebound by J. Butler, ,2-2, , ,
10:13.0,J. Butler makes 3-pt jump shot from 25 ft,+3,5-2, , ,
10:02.0, , ,5-2, ,J. Valančiūnas misses 2-pt jump shot from 13 ft,
9:59.0,Defensive rebound by N. Jović, ,5-2, , ,
9:56.0,Shooting foul by Z. Williamson (drawn by J. Butler), ,5-2, , ,
9:56.0,J. Butler makes free throw 1 of 2,+1,6-2, , ,
9:56.0,J. Butler makes free throw 2 of 2,+1,7-2, , ,
9:47.0, , ,7-2, ,C. McCollum misses 2-pt jump shot from 3 ft,
9:43.0,Defensive rebound by B. Adebayo, ,7-2, , ,
9:40.0,Turnover by N. Jović (bad pass), ,7-2, , ,
9:29.0, , ,7-4,+2,Z. Williamson makes 2-pt layup from 2 ft,
9:14.0,C. Martin makes 3-pt jump shot from 27 ft (assist by T. Herro),+3,10-4, , ,
9:01.0, , ,10-4, ,Z. Williamson misses 2-pt layup from 6 ft,
8:59.0,Defensive rebound by T. Herro, ,10-4, , ,
8:55.0,T. Herro makes 2-pt layup from 4 ft,+2,12-4, , ,
8:48.0, , ,12-4, ,New Orleans full timeout,
8:34.0, , ,12-4, ,J. Valančiūnas misses 2-pt jump shot from 6 ft,
8:32.0,Defensive rebound by J. Butler, ,12-4, , ,
8:28.0,Turnover by T. Herro (lost ball), ,12-4, , ,
8:28.0,Loose ball foul by T. Herro (drawn by T. Murphy), ,12-4, , ,
8:14.0, , ,12-4, ,C. McCollum misses 3-pt jump shot from 27 ft,
8:12.0, , ,12-4, ,Offensive rebound by T. Murphy,
8:12.0, , ,12-4, ,Personal foul by T. Herro (drawn by T. Murphy),
8:04.0, , ,12-6,+2,C. McCollum makes 2-pt jump shot from 16 ft,
7:45.0,T. Herro makes 2-pt jump shot from 20 ft (assist by N. Jović),+2,14-6, , ,
7:33.0, , ,14-6, ,T. Murphy misses 3-pt jump shot from 25 ft,
7:31.0,Defensive rebound by C. Martin, ,14-6, , ,
7:20.0,Def 3 sec tech foul by Team, ,14-6, , ,
7:20.0,J. Butler makes technical free throw,+1,15-6, , ,
7:11.0,Offensive foul by B. Adebayo (drawn by T. Murphy), ,15-6, , ,
7:11.0,Turnover by B. Adebayo (offensive foul), ,15-6, , ,
7:00.0, , ,15-8,+2,J. Valančiūnas makes 2-pt layup from 3 ft (assist by Z. Williamson),
6:46.0,T. Herro makes 3-pt jump shot from 25 ft,+3,18-8, , ,
6:36.0, , ,18-8, ,T. Murphy misses 2-pt jump shot from 11 ft,
6:35.0, , ,18-8, ,Offensive rebound by J. Valančiūnas,
6:34.0, , ,18-8, ,J. Valančiūnas misses 2-pt layup at rim,
6:33.0, , ,18-8, ,Offensive rebound by J. Valančiūnas,
6:32.0, , ,18-8, ,J. Valančiūnas misses 2-pt layup at rim,
6:31.0,Defensive rebound by T. Herro, ,18-8, , ,
6:25.0,B. Adebayo makes 2-pt jump shot from 4 ft,+2,20-8, , ,
6:25.0, , ,20-8, ,Violation by Team (def goaltending),
6:14.0, , ,20-10,+2,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by C. McCollum),
6:00.0,Turnover by J. Butler (bad pass; steal by T. Murphy), ,20-10, , ,
5:56.0, , ,20-12,+2,H. Jones makes 2-pt dunk from 1 ft (assist by T. Murphy),
5:44.0,C. Martin misses 3-pt jump shot from 25 ft, ,20-12, , ,
5:42.0, , ,20-12, ,Defensive rebound by C. McCollum,
5:37.0, , ,20-12, ,Personal foul by C. Martin (drawn by Z. Williamson),
5:37.0,D. Robinson enters the game for J. Butler, ,20-12, , ,
5:37.0, , ,20-12, ,J. Hawkins enters the game for Z. Williamson,
5:31.0, , ,20-12, ,T. Murphy misses 3-pt jump shot from 25 ft,
5:29.0,Defensive rebound by Team, ,20-12, , ,
5:13.0,T. Herro makes 2-pt jump shot from 9 ft,+2,22-12, , ,
5:00.0, , ,22-12, ,T. Murphy misses 3-pt jump shot from 23 ft,
5:00.0,Defensive rebound by Team, ,22-12, , ,
5:00.0, , ,22-12, ,Loose ball foul by J. Valančiūnas (drawn by B. Adebayo),
5:00.0, , ,22-12, ,L. Nance enters the game for J. Valančiūnas,
4:49.0,D. Robinson misses 3-pt jump shot from 26 ft, ,22-12, , ,
4:46.0, , ,22-12, ,Defensive rebound by L. Nance,
4:32.0, , ,22-12, ,J. Hawkins misses 3-pt jump shot from 25 ft (block by D. Robinson),
4:32.0, , ,22-12, ,Offensive rebound by T. Murphy,
4:27.0, , ,22-15,+3,J. Hawkins makes 3-pt jump shot from 25 ft (assist by T. Murphy),
4:14.0,Personal foul by H. Jones (drawn by B. Adebayo), ,22-15, , ,
4:14.0,J. Jaquez enters the game for T. Herro, ,22-15, , ,
4:14.0, , ,22-15, ,N. Marshall enters the game for T. Murphy,
4:05.0,D. Robinson misses 2-pt jump shot from 13 ft, ,22-15, , ,
4:02.0, , ,22-15, ,Defensive rebound by L. Nance,
3:44.0, , ,22-15, ,C. McCollum misses 2-pt layup from 3 ft (block by B. Adebayo),
3:43.0,Defensive rebound by N. Jović, ,22-15, , ,
3:36.0,Shooting foul by H. Jones (drawn by C. Martin), ,22-15, , ,
3:36.0,C. Martin makes free throw 1 of 2,+1,23-15, , ,
3:36.0,H. Highsmith enters the game for B. Adebayo, ,23-15, , ,
3:36.0,K. Love enters the game for N. Jović, ,23-15, , ,
3:36.0, , ,23-15, ,J. Alvarado enters the game for H. Jones,
3:36.0, , ,23-15, ,J. Robinson-Earl enters the game for C. McCollum,
3:36.0,C. Martin makes free throw 2 of 2,+1,24-15, , ,
3:26.0, , ,24-15, ,Shooting foul by H. Highsmith (drawn by J. Hawkins),
3:26.0, , ,24-16,+1,J. Hawkins makes free throw 1 of 3,
3:26.0, , ,24-17,+1,J. Hawkins makes free throw 2 of 3,
3:26.0, , ,24-18,+1,J. Hawkins makes free throw 3 of 3,
3:08.0,C. Martin misses 2-pt layup from 6 ft, ,24-18, , ,
3:06.0, , ,24-18, ,Defensive rebound by N. Marshall,
2:54.0, , ,24-20,+2,L. Nance makes 2-pt dunk from 4 ft (assist by J. Alvarado),
2:53.0,Miami full timeout, ,24-20, , ,
2:46.0,D. Robinson misses 3-pt jump shot from 28 ft, ,24-20, , ,
2:42.0, , ,24-20, ,Defensive rebound by J. Robinson-Earl,
2:28.0, , ,24-20, ,N. Marshall misses 3-pt jump shot from 22 ft,
2:26.0, , ,24-20, ,Offensive rebound by L. Nance,
2:25.0, , ,24-22,+2,L. Nance makes 2-pt layup from 2 ft,
2:12.0,Turnover by D. Robinson (bad pass), ,24-22, , ,
2:12.0,J. Butler enters the game for C. Martin, ,24-22, , ,
1:54.0, , ,24-22, ,J. Hawkins misses 2-pt jump shot from 17 ft,
1:50.0,Defensive rebound by J. Butler, ,24-22, , ,
1:32.0,Turnover by J. Butler (lost ball; steal by L. Nance), ,24-22, , ,
1:27.0, , ,24-22, ,Turnover by J. Alvarado (lost ball; steal by J. Butler),
1:22.0,J. Butler makes 2-pt layup from 3 ft,+2,26-22, , ,
1:22.0,Shooting foul by N. Marshall (drawn by J. Butler), ,26-22, , ,
1:22.0,J. Butler makes free throw 1 of 1,+1,27-22, , ,
1:06.0, , ,27-22, ,J. Alvarado misses 2-pt layup from 5 ft,
1:05.0,Defensive rebound by K. Love, ,27-22, , ,
1:05.0,Personal foul by J. Alvarado (drawn by J. Butler), ,27-22, , ,
1:05.0,J. Butler misses free throw 1 of 2, ,27-22, , ,
1:05.0,Offensive rebound by Team, ,27-22, , ,
1:05.0, , ,27-22, ,Z. Williamson enters the game for J. Robinson-Earl,
1:05.0,J. Butler misses free throw 2 of 2, ,27-22, , ,
1:02.0, , ,27-22, ,Defensive rebound by L. Nance,
0:53.0, , ,27-22, ,J. Hawkins misses 3-pt jump shot from 26 ft,
0:49.0,Defensive rebound by J. Jaquez, ,27-22, , ,
0:41.0,Personal foul by J. Alvarado (drawn by J. Butler), ,27-22, , ,
0:41.0,J. Butler makes free throw 1 of 2,+1,28-22, , ,
0:41.0,J. Butler misses free throw 2 of 2, ,28-22, , ,
0:39.0, , ,28-22, ,Defensive rebound by Z. Williamson,
0:28.0, , ,28-22, ,J. Alvarado misses 3-pt jump shot from 26 ft (block by H. Highsmith),
0:24.0, , ,28-22, ,Offensive rebound by J. Hawkins,
0:23.0, , ,28-24,+2,Z. Williamson makes 2-pt layup from 14 ft (assist by L. Nance),
