A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Portland,
12:00.0,Jump ball: B. Adebayo vs. D. Ayton (A. Simons gains possession),
11:45.0, , ,0-3,+3,A. Simons makes 3-pt jump shot from 26 ft (assist by J. Grant),
11:20.0,Offensive foul by B. Adebayo (drawn by J. Grant), ,0-3, , ,
11:20.0,Turnover by B. Adebayo (offensive foul), ,0-3, , ,
11:01.0, , ,0-6,+3,J. Grant makes 3-pt jump shot from 26 ft (assist by T. Camara),
10:43.0,B. Adebayo misses 2-pt jump shot from 12 ft, ,0-6, , ,
10:42.0, , ,0-6, ,Defensive rebound by K. Murray,
10:35.0, , ,0-6, ,Turnover by K. Murray (bad pass),
10:25.0,Turnover by B. Adebayo (bad pass), ,0-6, , ,
10:08.0, , ,0-6, ,Shooting foul by D. Robinson (drawn by T. Camara),
10:08.0, , ,0-7,+1,T. Camara makes free throw 1 of 2,
10:08.0, , ,0-8,+1,T. Camara makes free throw 2 of 2,
9:54.0,D. Robinson misses 2-pt jump shot from 11 ft, ,0-8, , ,
9:51.0,Offensive rebound by B. Adebayo, ,0-8, , ,
9:49.0,N. Jović misses 3-pt jump shot from 26 ft, ,0-8, , ,
9:49.0, , ,0-8, ,Defensive rebound by J. Grant,
9:40.0, , ,0-8, ,D. Ayton misses 2-pt dunk from 4 ft,
9:36.0,Defensive rebound by B. Adebayo, ,0-8, , ,
9:33.0,T. Rozier misses 2-pt layup from 5 ft, ,0-8, , ,
9:31.0, , ,0-8, ,Defensive rebound by J. Grant,
9:25.0, , ,0-8, ,K. Murray misses 3-pt jump shot from 22 ft (block by J. Butler),
9:24.0,Defensive rebound by Team, ,0-8, , ,
9:07.0,T. Rozier makes 2-pt jump shot from 7 ft (assist by J. Butler),+2,2-8, , ,
8:59.0, , ,2-8, ,Shooting foul by N. Jović (drawn by J. Grant),
8:59.0, , ,2-9,+1,J. Grant makes free throw 1 of 2,
8:59.0, , ,2-10,+1,J. Grant makes free throw 2 of 2,
8:43.0,B. Adebayo makes 2-pt dunk from 3 ft (assist by J. Butler),+2,4-10, , ,
8:28.0, , ,4-10, ,Turnover by J. Grant (lost ball; steal by J. Butler),
8:21.0,Turnover by B. Adebayo (lost ball; steal by J. Grant), ,4-10, , ,
8:14.0, , ,4-10, ,Turnover by K. Murray (bad pass; steal by D. Robinson),
8:08.0,B. Adebayo makes 2-pt layup from 3 ft (assist by D. Robinson),+2,6-10, , ,
7:58.0, , ,6-10, ,Turnover by A. Simons (back court),
7:49.0, , ,6-10, ,Violation by Team (kicked ball),
7:36.0,J. Butler misses 2-pt layup from 4 ft (block by D. Ayton), ,6-10, , ,
7:36.0, , ,6-10, ,Defensive rebound by Team,
7:27.0, , ,6-12,+2,D. Ayton makes 2-pt jump shot from 12 ft (assist by J. Grant),
7:09.0,Turnover by B. Adebayo (lost ball; steal by K. Murray), ,6-12, , ,
7:05.0, , ,6-12, ,T. Camara misses 2-pt layup from 4 ft,
7:05.0, , ,6-12, ,Offensive rebound by Team,
7:01.0, , ,6-15,+3,J. Grant makes 3-pt jump shot from 25 ft (assist by D. Ayton),
6:41.0,B. Adebayo misses 2-pt jump shot from 13 ft, ,6-15, , ,
6:39.0, , ,6-15, ,Defensive rebound by D. Ayton,
6:32.0, , ,6-15, ,A. Simons misses 2-pt jump shot from 14 ft,
6:29.0,Defensive rebound by B. Adebayo, ,6-15, , ,
6:25.0,Shooting foul by J. Grant (drawn by N. Jović), ,6-15, , ,
6:25.0, , ,6-15, ,Portland full timeout,
6:25.0, , ,6-15, ,M. Thybulle enters the game for J. Grant,
6:25.0,N. Jović misses free throw 1 of 2, ,6-15, , ,
6:25.0,Offensive rebound by Team, ,6-15, , ,
6:25.0,N. Jović misses free throw 2 of 2, ,6-15, , ,
6:22.0, , ,6-15, ,Defensive rebound by D. Ayton,
6:13.0, , ,6-17,+2,D. Ayton makes 2-pt dunk from 2 ft (assist by A. Simons),
6:01.0,Def 3 sec tech foul by Team, ,6-17, , ,
6:01.0,J. Butler makes technical free throw,+1,7-17, , ,
6:01.0,J. Jaquez enters the game for J. Butler, ,7-17, , ,
5:47.0,T. Rozier misses 2-pt jump shot from 11 ft, ,7-17, , ,
5:42.0, , ,7-17, ,Defensive rebound by D. Ayton,
5:35.0, , ,7-19,+2,D. Ayton makes 2-pt jump shot from 8 ft (assist by A. Simons),
5:21.0,T. Rozier misses 2-pt jump shot from 8 ft, ,7-19, , ,
5:19.0, , ,7-19, ,Defensive rebound by D. Ayton,
5:12.0, , ,7-19, ,K. Murray misses 3-pt jump shot from 23 ft,
5:10.0, , ,7-19, ,Offensive rebound by T. Camara,
5:08.0, , ,7-19, ,Shooting foul by J. Jaquez (drawn by M. Thybulle),
5:08.0, , ,7-19, ,M. Thybulle misses free throw 1 of 2,
5:08.0, , ,7-19, ,Offensive rebound by Team,
5:08.0,C. Martin enters the game for N. Jović, ,7-19, , ,
5:08.0, , ,7-20,+1,M. Thybulle makes free throw 2 of 2,
4:59.0,D. Robinson misses 3-pt jump shot from 28 ft, ,7-20, , ,
