A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Denver,
12:00.0,Jump ball: B. Adebayo vs. N. Jokić (J. Butler gains possession),
11:36.0, , ,0-2,+2,A. Gordon makes 2-pt jump shot from 13 ft (assist by K. Caldwell-Pope),
11:16.0,B. Adebayo misses 2-pt jump shot from 11 ft, ,0-2, , ,
11:13.0, , ,0-2, ,Defensive rebound by M. Porter,
11:00.0, , ,0-2, ,Shooting foul by D. Robinson (drawn by A. Gordon),
11:00.0, , ,0-3,+1,A. Gordon makes free throw 1 of 2,
11:00.0, , ,0-4,+1,A. Gordon makes free throw 2 of 2,
10:46.0,D. Robinson misses 3-pt jump shot from 26 ft, ,0-4, , ,
10:44.0, , ,0-4, ,Defensive rebound by J. Murray,
10:31.0, , ,0-7,+3,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),
10:16.0,T. Rozier misses 3-pt jump shot from 24 ft, ,0-7, , ,
10:13.0, , ,0-7, ,Defensive rebound by M. Porter,
10:07.0, , ,0-9,+2,M. Porter makes 2-pt layup from 1 ft,
9:48.0,N. Jović makes 3-pt jump shot from 25 ft (assist by J. Butler),+3,3-9, , ,
9:27.0, , ,3-9, ,J. Murray misses 2-pt jump shot from 12 ft,
9:25.0,Defensive rebound by N. Jović, ,3-9, , ,
9:17.0,Shooting foul by J. Murray (drawn by T. Rozier), ,3-9, , ,
9:17.0,T. Rozier makes free throw 1 of 2,+1,4-9, , ,
9:17.0,T. Rozier makes free throw 2 of 2,+1,5-9, , ,
9:02.0, , ,5-12,+3,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by J. Murray),
8:52.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Rozier),+2,7-12, , ,
8:36.0, , ,7-12, ,A. Gordon misses 2-pt jump shot from 18 ft,
8:33.0,Defensive rebound by D. Robinson, ,7-12, , ,
8:18.0,N. Jović misses 3-pt jump shot from 25 ft, ,7-12, , ,
8:14.0, , ,7-12, ,Defensive rebound by N. Jokić,
8:09.0, , ,7-12, ,Turnover by N. Jokić (bad pass; steal by D. Robinson),
7:54.0,J. Butler misses 2-pt jump shot from 6 ft, ,7-12, , ,
7:53.0, , ,7-12, ,Defensive rebound by N. Jokić,
7:49.0, , ,7-14,+2,A. Gordon makes 2-pt dunk from 1 ft (assist by M. Porter),
7:29.0,N. Jović makes 2-pt layup from 2 ft (assist by B. Adebayo),+2,9-14, , ,
7:14.0, , ,9-14, ,J. Murray misses 2-pt jump shot from 9 ft,
7:11.0,Defensive rebound by Team, ,9-14, , ,
6:58.0,J. Butler misses 3-pt jump shot from 24 ft, ,9-14, , ,
6:53.0, , ,9-14, ,Defensive rebound by M. Porter,
6:48.0, , ,9-14, ,M. Porter misses 3-pt jump shot from 25 ft,
6:44.0,Defensive rebound by T. Rozier, ,9-14, , ,
6:39.0,N. Jović misses 2-pt layup from 3 ft, ,9-14, , ,
6:37.0, , ,9-14, ,Defensive rebound by N. Jokić,
6:36.0, , ,9-14, ,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,
6:32.0, , ,9-14, ,Offensive rebound by K. Caldwell-Pope,
6:31.0, , ,9-17,+3,K. Caldwell-Pope makes 3-pt jump shot from 24 ft,
6:14.0,T. Rozier misses 3-pt jump shot from 27 ft, ,9-17, , ,
6:14.0, , ,9-17, ,Defensive rebound by M. Porter,
6:01.0, , ,9-19,+2,M. Porter makes 2-pt jump shot from 22 ft (assist by N. Jokić),
5:59.0,Miami full timeout, ,9-19, , ,
5:59.0, , ,9-19, ,R. Jackson enters the game for J. Murray,
5:40.0,B. Adebayo misses 2-pt jump shot from 5 ft, ,9-19, , ,
5:37.0, , ,9-19, ,Defensive rebound by N. Jokić,
5:32.0, , ,9-19, ,Personal foul by D. Robinson (drawn by K. Caldwell-Pope),
5:32.0,J. Jaquez enters the game for J. Butler, ,9-19, , ,
5:32.0,C. Martin enters the game for D. Robinson, ,9-19, , ,
5:24.0, , ,9-19, ,M. Porter misses 2-pt jump shot from 22 ft,
5:19.0,Defensive rebound by C. Martin, ,9-19, , ,
5:13.0, , ,9-19, ,Violation by Team (kicked ball),
5:04.0,Turnover by T. Rozier (bad pass; steal by M. Porter), ,9-19, , ,
4:55.0, , ,9-21,+2,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by R. Jackson),
