A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Dallas,
12:00.0,Jump ball: B. Adebayo vs. D. Gafford (D. Robinson gains possession),
11:44.0,N. Jović makes 2-pt layup from 1 ft (assist by T. Rozier),+2,2-0, , ,
11:28.0, , ,2-0, ,Turnover by L. Dončić (lost ball; steal by J. Butler),
11:24.0,T. Rozier makes 2-pt layup at rim (assist by J. Butler),+2,4-0, , ,
11:03.0, , ,4-3,+3,K. Irving makes 3-pt jump shot from 26 ft (assist by L. Dončić),
10:51.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),+3,7-3, , ,
10:35.0, , ,7-5,+2,D. Gafford makes 2-pt layup from 1 ft (assist by L. Dončić),
10:22.0,B. Adebayo makes 2-pt dunk at rim (assist by T. Rozier),+2,9-5, , ,
10:12.0, , ,9-5, ,P. Washington misses 3-pt jump shot from 25 ft,
10:10.0,Defensive rebound by B. Adebayo, ,9-5, , ,
10:01.0,J. Butler makes 2-pt dunk from 1 ft (assist by B. Adebayo),+2,11-5, , ,
9:48.0, , ,11-5, ,Turnover by D. Jones (lost ball; steal by T. Rozier),
9:32.0,Shooting foul by D. Jones (drawn by B. Adebayo), ,11-5, , ,
9:32.0,B. Adebayo misses free throw 1 of 2, ,11-5, , ,
9:32.0,Offensive rebound by Team, ,11-5, , ,
9:32.0,B. Adebayo misses free throw 2 of 2, ,11-5, , ,
9:30.0, , ,11-5, ,Defensive rebound by P. Washington,
9:17.0, , ,11-5, ,L. Dončić misses 3-pt jump shot from 26 ft,
9:14.0,Defensive rebound by N. Jović, ,11-5, , ,
9:09.0,D. Robinson makes 2-pt layup from 2 ft (assist by N. Jović),+2,13-5, , ,
9:09.0, , ,13-5, ,Dallas full timeout,
8:58.0, , ,13-5, ,K. Irving misses 3-pt jump shot from 25 ft,
8:54.0,Defensive rebound by B. Adebayo, ,13-5, , ,
8:36.0,B. Adebayo misses 2-pt jump shot from 8 ft, ,13-5, , ,
8:34.0, , ,13-5, ,Defensive rebound by L. Dončić,
8:25.0, , ,13-7,+2,K. Irving makes 2-pt jump shot from 11 ft (assist by D. Jones),
8:13.0,T. Rozier makes 3-pt jump shot from 23 ft,+3,16-7, , ,
7:58.0, , ,16-7, ,L. Dončić misses 2-pt jump shot from 16 ft,
7:57.0, , ,16-7, ,Offensive rebound by Team,
7:57.0, , ,16-7, ,T. Hardaway enters the game for D. Jones,
7:57.0, , ,16-7, ,M. Kleber enters the game for P. Washington,
7:51.0, , ,16-7, ,K. Irving misses 2-pt layup from 1 ft,
7:49.0,Defensive rebound by J. Butler, ,16-7, , ,
7:37.0,N. Jović makes 2-pt jump shot from 7 ft (assist by B. Adebayo),+2,18-7, , ,
7:17.0, , ,18-7, ,M. Kleber misses 3-pt jump shot from 23 ft,
7:14.0,Defensive rebound by T. Rozier, ,18-7, , ,
7:08.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by J. Butler),+3,21-7, , ,
6:55.0, , ,21-9,+2,T. Hardaway makes 2-pt jump shot from 12 ft (assist by K. Irving),
6:37.0,N. Jović misses 3-pt jump shot from 23 ft, ,21-9, , ,
6:35.0, , ,21-9, ,Defensive rebound by L. Dončić,
6:30.0, , ,21-9, ,L. Dončić misses 3-pt jump shot from 25 ft,
6:28.0,Defensive rebound by D. Robinson, ,21-9, , ,
6:21.0,B. Adebayo makes 2-pt layup from 1 ft (assist by T. Rozier),+2,23-9, , ,
6:00.0, , ,23-11,+2,L. Dončić makes 2-pt jump shot from 5 ft,
5:40.0,Turnover by D. Robinson (bad pass; steal by K. Irving), ,23-11, , ,
5:36.0, , ,23-14,+3,L. Dončić makes 3-pt jump shot from 26 ft,
5:35.0,Miami full timeout, ,23-14, , ,
5:35.0,J. Jaquez enters the game for J. Butler, ,23-14, , ,
5:35.0, , ,23-14, ,J. Green enters the game for D. Gafford,
5:35.0, , ,23-14, ,D. Lively enters the game for K. Irving,
5:13.0,J. Jaquez makes 3-pt jump shot from 25 ft (assist by B. Adebayo),+3,26-14, , ,
5:00.0, , ,26-14, ,T. Hardaway misses 3-pt jump shot from 25 ft,
4:58.0,Defensive rebound by N. Jović, ,26-14, , ,
4:51.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Jaquez),+3,29-14, , ,
4:35.0, , ,29-17,+3,T. Hardaway makes 3-pt jump shot from 25 ft (assist by J. Green),
4:16.0,T. Rozier makes 2-pt jump shot from 8 ft,+2,31-17, , ,
4:02.0, , ,31-19,+2,L. Dončić makes 2-pt jump shot from 8 ft,
3:49.0,Turnover by N. Jović (bad pass), ,31-19, , ,
3:36.0, , ,31-22,+3,L. Dončić makes 3-pt jump shot from 25 ft,
3:36.0,C. Martin enters the game for N. Jović, ,31-22, , ,
3:36.0, , ,31-22, ,K. Irving enters the game for L. Dončić,
3:17.0,J. Jaquez misses 2-pt jump shot from 8 ft (block by M. Kleber), ,31-22, , ,
3:16.0,Offensive rebound by Team, ,31-22, , ,
3:09.0,B. Adebayo misses 2-pt jump shot from 11 ft, ,31-22, , ,
3:07.0, , ,31-22, ,Defensive rebound by M. Kleber,
2:57.0, , ,31-24,+2,K. Irving makes 2-pt jump shot from 6 ft,
2:45.0,T. Rozier misses 2-pt jump shot from 19 ft, ,31-24, , ,
2:42.0, , ,31-24, ,Defensive rebound by M. Kleber,
2:36.0, , ,31-24, ,Personal foul by D. Robinson (drawn by K. Irving),
2:36.0, , ,31-24, ,P. Washington enters the game for M. Kleber,
2:35.0, , ,31-24, ,Personal foul by C. Martin (drawn by K. Irving),
2:35.0,T. Bryant enters the game for B. Adebayo, ,31-24, , ,
2:35.0,J. Butler enters the game for T. Rozier, ,31-24, , ,
2:25.0, , ,31-26,+2,P. Washington makes 2-pt jump shot from 9 ft (assist by T. Hardaway),
2:02.0,C. Martin makes 3-pt jump shot from 23 ft (assist by J. Butler),+3,34-26, , ,
1:49.0, , ,34-26, ,Turnover by K. Irving (bad pass; steal by J. Jaquez),
1:36.0,T. Bryant makes 2-pt dunk at rim (assist by D. Robinson),+2,36-26, , ,
1:18.0, , ,36-26, ,K. Irving misses 3-pt jump shot from 25 ft,
1:17.0,Defensive rebound by T. Bryant, ,36-26, , ,
1:01.0,Turnover by J. Butler (bad pass), ,36-26, , ,
1:01.0,H. Highsmith enters the game for D. Robinson, ,36-26, , ,
0:42.0, , ,36-26, ,T. Hardaway misses 2-pt layup from 3 ft (block by T. Bryant),
0:40.0,Defensive rebound by J. Butler, ,36-26, , ,
0:29.0,J. Butler misses 2-pt layup from 6 ft (block by J. Green), ,36-26, , ,
0:27.0, , ,36-26, ,Defensive rebound by T. Hardaway,
0:24.0, , ,36-28,+2,J. Green makes 2-pt layup from 2 ft (assist by K. Irving),
0:24.0,D. Robinson enters the game for H. Highsmith, ,36-28, , ,
0:00.0,Turnover by Team (shot clock), ,36-28, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Dallas,
12:00.0,Start of 2nd quarter,
11:41.0, , ,36-28, ,D. Exum misses 2-pt jump shot from 4 ft,
11:39.0, , ,36-28, ,Offensive rebound by J. Green,
11:37.0, , ,36-28, ,Shooting foul by T. Bryant (drawn by D. Exum),
11:37.0, , ,36-29,+1,D. Exum makes free throw 1 of 3,
11:37.0, , ,36-30,+1,D. Exum makes free throw 2 of 3,
11:37.0, , ,36-31,+1,D. Exum makes free throw 3 of 3,
11:13.0,J. Butler makes 3-pt jump shot from 23 ft (assist by H. Highsmith),+3,39-31, , ,
11:00.0, , ,39-33,+2,P. Washington makes 2-pt jump shot from 8 ft (assist by L. Dončić),
10:44.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by J. Butler),+3,42-33, , ,
10:34.0, , ,42-35,+2,D. Lively makes 2-pt dunk at rim (assist by P. Washington),
10:12.0,T. Bryant misses 3-pt jump shot from 23 ft, ,42-35, , ,
10:10.0, , ,42-35, ,Defensive rebound by D. Exum,
9:53.0, , ,42-37,+2,L. Dončić makes 2-pt jump shot from 8 ft (assist by D. Exum),
9:42.0,C. Martin makes 3-pt jump shot from 26 ft,+3,45-37, , ,
9:28.0, , ,45-40,+3,D. Exum makes 3-pt jump shot from 23 ft (assist by J. Green),
9:14.0,J. Jaquez misses 2-pt layup from 3 ft (block by P. Washington), ,45-40, , ,
9:11.0, , ,45-40, ,Defensive rebound by D. Exum,
8:58.0, , ,45-40, ,L. Dončić misses 2-pt jump shot from 12 ft,
8:56.0,Defensive rebound by C. Martin, ,45-40, , ,
8:44.0,Personal foul by D. Exum (drawn by J. Butler), ,45-40, , ,
8:35.0,Turnover by J. Butler (bad pass; steal by P. Washington), ,45-40, , ,
8:34.0,Loose ball foul by J. Butler (drawn by P. Washington), ,45-40, , ,
8:34.0,Miami full timeout, ,45-40, , ,
8:34.0,Instant Replay (Challenge: Stands), ,45-40, , ,
8:25.0, , ,45-43,+3,P. Washington makes 3-pt jump shot from 26 ft (assist by D. Exum),
8:01.0,Turnover by J. Butler (bad pass; steal by L. Dončić), ,45-43, , ,
7:57.0, , ,45-43, ,D. Exum misses 2-pt dunk from 1 ft,
7:53.0,Defensive rebound by J. Jaquez, ,45-43, , ,
7:47.0,T. Bryant misses 3-pt jump shot from 23 ft, ,45-43, , ,
7:45.0,Offensive rebound by C. Martin, ,45-43, , ,
7:38.0,Shooting foul by D. Lively (drawn by J. Butler), ,45-43, , ,
7:38.0,J. Butler misses free throw 1 of 2, ,45-43, , ,
7:38.0,Offensive rebound by Team, ,45-43, , ,
7:38.0, , ,45-43, ,D. Gafford enters the game for D. Exum,
7:38.0, , ,45-43, ,K. Irving enters the game for J. Green,
7:38.0, , ,45-43, ,D. Jones enters the game for D. Lively,
7:38.0,J. Butler makes free throw 2 of 2,+1,46-43, , ,
7:35.0, , ,46-43, ,D. Jones misses 2-pt dunk from 4 ft,
7:33.0,Defensive rebound by Team, ,46-43, , ,
7:11.0,H. Highsmith misses 3-pt jump shot from 26 ft, ,46-43, , ,
7:08.0, , ,46-43, ,Defensive rebound by D. Gafford,
7:01.0, , ,46-43, ,Shooting foul by T. Bryant (drawn by D. Jones),
7:01.0, , ,46-44,+1,D. Jones makes free throw 1 of 2,
7:01.0,B. Adebayo enters the game for T. Bryant, ,46-44, , ,
7:01.0,T. Rozier enters the game for J. Butler, ,46-44, , ,
7:01.0, , ,46-44, ,T. Hardaway enters the game for L. Dončić,
7:01.0, , ,46-44, ,D. Jones misses free throw 2 of 2,
6:58.0,Defensive rebound by J. Jaquez, ,46-44, , ,
6:49.0,H. Highsmith misses 3-pt jump shot from 24 ft, ,46-44, , ,
6:45.0, , ,46-44, ,Defensive rebound by D. Gafford,
6:39.0, , ,46-44, ,K. Irving misses 2-pt jump shot from 11 ft,
6:36.0,Defensive rebound by H. Highsmith, ,46-44, , ,
6:29.0,H. Highsmith makes 2-pt dunk from 3 ft (assist by T. Rozier),+2,48-44, , ,
6:18.0, , ,48-44, ,P. Washington misses 3-pt jump shot from 26 ft,
