A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Cleveland,
12:00.0,Jump ball: T. Bryant vs. J. Allen (D. Garland gains possession),
11:41.0, , ,0-2,+2,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),
11:21.0,N. Jović makes 3-pt jump shot from 23 ft (assist by J. Butler),+3,3-2, , ,Lead change
11:05.0, , ,3-2, ,Personal foul by N. Jović (drawn by J. Allen),
10:52.0, , ,3-2, ,I. Okoro misses 3-pt jump shot from 26 ft,
10:49.0,Defensive rebound by T. Bryant, ,3-2, , ,
10:42.0,Turnover by T. Rozier (lost ball; steal by G. Niang), ,3-2, , ,
10:37.0, , ,3-4,+2,I. Okoro makes 2-pt layup at rim (assist by D. Garland),Lead change
10:26.0,N. Jović misses 3-pt jump shot from 27 ft, ,3-4, , ,
10:23.0, , ,3-4, ,Defensive rebound by J. Allen,
10:10.0, , ,3-4, ,J. Allen misses 2-pt hook shot from 5 ft,
10:08.0,Defensive rebound by T. Bryant, ,3-4, , ,
10:02.0,Turnover by J. Butler (bad pass; steal by C. LeVert), ,3-4, , ,
9:55.0, , ,3-4, ,I. Okoro misses 2-pt layup from 1 ft,
9:54.0, , ,3-4, ,Offensive rebound by J. Allen,
9:52.0, , ,3-6,+2,J. Allen makes 2-pt layup from 1 ft,
9:31.0,J. Butler makes 3-pt jump shot from 26 ft (assist by P. Mills),+3,6-6, , ,Tie
9:12.0, , ,6-6, ,I. Okoro misses 3-pt jump shot from 24 ft,
9:10.0,Defensive rebound by J. Butler, ,6-6, , ,
8:57.0,J. Butler makes 2-pt layup from 1 ft,+2,8-6, , ,Lead change
8:47.0, , ,8-6, ,Turnover by C. LeVert (bad pass; steal by P. Mills),
8:38.0,P. Mills misses 3-pt jump shot from 25 ft, ,8-6, , ,
8:38.0,Offensive rebound by Team, ,8-6, , ,
8:38.0, , ,8-6, ,Loose ball foul by D. Garland (drawn by N. Jović),
8:29.0,T. Rozier misses 2-pt jump shot from 22 ft, ,8-6, , ,
8:28.0,Offensive rebound by P. Mills, ,8-6, , ,
8:28.0,P. Mills makes 2-pt jump shot from 14 ft,+2,10-6, , ,
8:10.0, , ,10-9,+3,I. Okoro makes 3-pt jump shot from 24 ft (assist by G. Niang),
7:50.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by N. Jović),+3,13-9, , ,
7:39.0, , ,13-9, ,Personal foul by T. Bryant (drawn by J. Allen),
7:34.0, , ,13-9, ,D. Garland misses 3-pt jump shot from 26 ft,
7:29.0,Defensive rebound by J. Butler, ,13-9, , ,
7:23.0,T. Bryant makes 2-pt layup from 8 ft (assist by J. Butler),+2,15-9, , ,
7:18.0, , ,15-9, ,Personal foul by P. Mills (drawn by I. Okoro),
7:06.0, , ,15-9, ,J. Allen misses 2-pt hook shot from 3 ft,
7:03.0,Defensive rebound by T. Bryant, ,15-9, , ,
6:47.0,J. Butler makes 2-pt jump shot from 9 ft,+2,17-9, , ,
6:41.0, , ,17-11,+2,C. LeVert makes 2-pt layup at rim (assist by D. Garland),
6:41.0, , ,17-11, ,Shooting foul by T. Bryant (drawn by C. LeVert),
6:41.0, , ,17-11, ,Cleveland full timeout,
6:41.0,O. Robinson enters the game for T. Bryant, ,17-11, , ,
6:41.0, , ,17-11, ,T. Thompson enters the game for J. Allen,
6:41.0, , ,17-12,+1,C. LeVert makes free throw 1 of 1,
6:30.0,Personal foul by C. LeVert (drawn by P. Mills), ,17-12, , ,
6:18.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by J. Butler),+3,20-12, , ,
5:50.0, , ,20-12, ,Shooting foul by T. Rozier (drawn by C. LeVert),
5:50.0, , ,20-13,+1,C. LeVert makes free throw 1 of 3,
5:50.0, , ,20-14,+1,C. LeVert makes free throw 2 of 3,
5:50.0,J. Jaquez enters the game for J. Butler, ,20-14, , ,
5:50.0,C. Martin enters the game for N. Jović, ,20-14, , ,
5:50.0, , ,20-14, ,C. LeVert misses free throw 3 of 3,
5:46.0,Defensive rebound by T. Rozier, ,20-14, , ,
5:36.0,P. Mills misses 3-pt jump shot from 25 ft, ,20-14, , ,
5:31.0, , ,20-14, ,Defensive rebound by C. LeVert,
5:19.0, , ,20-14, ,G. Niang misses 3-pt jump shot from 23 ft,
5:16.0,Defensive rebound by C. Martin, ,20-14, , ,
5:10.0,T. Rozier misses 2-pt jump shot from 8 ft, ,20-14, , ,
5:08.0, , ,20-14, ,Defensive rebound by C. LeVert,
4:57.0, , ,20-16,+2,I. Okoro makes 2-pt layup at rim (assist by C. LeVert),
4:32.0,P. Mills makes 3-pt jump shot from 25 ft (assist by O. Robinson),+3,23-16, , ,
4:13.0, , ,23-16, ,Turnover by G. Niang (step out of bounds),
4:13.0, , ,23-16, ,S. Merrill enters the game for C. LeVert,
4:13.0, , ,23-16, ,M. Morris enters the game for G. Niang,
3:56.0,T. Rozier misses 2-pt layup from 2 ft (block by T. Thompson), ,23-16, , ,
3:53.0, , ,23-16, ,Defensive rebound by S. Merrill,
3:44.0, , ,23-16, ,D. Garland misses 2-pt jump shot from 14 ft,
3:42.0, , ,23-16, ,Offensive rebound by M. Morris,
3:31.0, , ,23-19,+3,D. Garland makes 3-pt jump shot from 28 ft (assist by T. Thompson),
3:31.0,Miami full timeout, ,23-19, , ,
3:31.0, , ,23-19, ,J. Allen enters the game for T. Thompson,
3:17.0,O. Robinson makes 3-pt jump shot from 25 ft (assist by P. Mills),+3,26-19, , ,
2:58.0, , ,26-19, ,Offensive foul by M. Morris (drawn by T. Rozier),
2:58.0, , ,26-19, ,Turnover by M. Morris (offensive foul),
2:37.0,T. Rozier misses 2-pt jump shot from 19 ft, ,26-19, , ,
2:35.0,Offensive rebound by O. Robinson, ,26-19, , ,
2:35.0,O. Robinson makes 2-pt layup from 1 ft,+2,28-19, , ,
2:35.0,Shooting foul by M. Morris (drawn by O. Robinson), ,28-19, , ,
2:35.0,O. Robinson makes free throw 1 of 1,+1,29-19, , ,
2:17.0, , ,29-22,+3,S. Merrill makes 3-pt jump shot from 25 ft (assist by M. Morris),
1:53.0,T. Rozier misses 3-pt jump shot from 25 ft, ,29-22, , ,
1:50.0, , ,29-22, ,Defensive rebound by J. Allen,
1:38.0, , ,29-24,+2,J. Allen makes 2-pt layup from 1 ft (assist by I. Okoro),
1:25.0,J. Jaquez makes 2-pt layup from 1 ft (assist by O. Robinson),+2,31-24, , ,
1:09.0, , ,31-27,+3,M. Morris makes 3-pt jump shot from 23 ft (assist by D. Garland),
0:41.0,T. Rozier misses 2-pt jump shot from 22 ft, ,31-27, , ,
0:39.0, , ,31-27, ,Defensive rebound by J. Allen,
0:30.0, , ,31-27, ,D. Garland misses 3-pt jump shot from 25 ft,
0:27.0, , ,31-27, ,Offensive rebound by J. Allen,
0:23.0, , ,31-30,+3,S. Merrill makes 3-pt jump shot from 25 ft (assist by M. Morris),
0:09.0,Personal foul by S. Merrill (drawn by T. Rozier), ,31-30, , ,
0:09.0,J. Butler enters the game for J. Jaquez, ,31-30, , ,
0:09.0,N. Jović enters the game for O. Robinson, ,31-30, , ,
0:09.0, , ,31-30, ,C. LeVert enters the game for D. Garland,
0:09.0, , ,31-30, ,T. Thompson enters the game for S. Merrill,
0:00.0,J. Butler misses 2-pt jump shot from 19 ft, ,31-30, , ,
0:00.0, , ,31-30, ,Defensive rebound by T. Thompson,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Cleveland,
12:00.0,Start of 2nd quarter,
11:45.0,J. Jaquez misses 3-pt jump shot from 26 ft, ,31-30, , ,
11:41.0, , ,31-30, ,Defensive rebound by J. Allen,
11:29.0, , ,31-30, ,M. Morris misses 3-pt jump shot from 25 ft,
11:25.0,Defensive rebound by C. Martin, ,31-30, , ,
11:17.0,J. Butler makes 2-pt layup from 1 ft,+2,33-30, , ,
11:17.0,Shooting foul by C. Porter (drawn by J. Butler), ,33-30, , ,
11:17.0,J. Butler makes free throw 1 of 1,+1,34-30, , ,
11:01.0, , ,34-30, ,Turnover by C. LeVert (lost ball; steal by J. Butler),
10:57.0,J. Butler makes 2-pt dunk from 1 ft (assist by J. Jaquez),+2,36-30, , ,
10:42.0, , ,36-30, ,Turnover by C. LeVert (lost ball; steal by J. Butler),
10:37.0,J. Butler makes 2-pt layup from 2 ft (assist by C. Martin),+2,38-30, , ,
10:19.0, , ,38-30, ,Shooting foul by D. Wright (drawn by C. Porter),
10:19.0, , ,38-31,+1,C. Porter makes free throw 1 of 2,
10:19.0, , ,38-32,+1,C. Porter makes free throw 2 of 2,
10:04.0,D. Wright makes 2-pt layup from 2 ft (assist by J. Jaquez),+2,40-32, , ,
9:47.0, , ,40-34,+2,C. LeVert makes 2-pt jump shot from 9 ft (assist by M. Morris),
9:32.0,N. Jović misses 3-pt jump shot from 26 ft, ,40-34, , ,
9:28.0, , ,40-34, ,Defensive rebound by M. Morris,
9:13.0, , ,40-34, ,C. Porter misses 3-pt jump shot from 23 ft,
9:11.0,Defensive rebound by C. Martin, ,40-34, , ,
9:08.0,J. Butler misses 2-pt layup from 2 ft, ,40-34, , ,
9:08.0, , ,40-34, ,Defensive rebound by Team,
9:08.0,Loose ball foul by C. Martin (drawn by J. Allen), ,40-34, , ,
9:08.0, , ,40-34, ,T. Thompson enters the game for J. Allen,
8:54.0, , ,40-37,+3,S. Merrill makes 3-pt jump shot from 26 ft (assist by C. LeVert),
8:46.0,Personal foul by S. Merrill (drawn by J. Jaquez), ,40-37, , ,
8:37.0,N. Jović makes 3-pt jump shot from 24 ft (assist by D. Wright),+3,43-37, , ,
8:15.0, , ,43-37, ,S. Merrill misses 3-pt jump shot from 26 ft,
8:12.0,Defensive rebound by J. Jaquez, ,43-37, , ,
8:03.0,Shooting foul by T. Thompson (drawn by J. Butler), ,43-37, , ,
8:03.0,J. Butler makes free throw 1 of 2,+1,44-37, , ,
8:03.0,H. Highsmith enters the game for J. Jaquez, ,44-37, , ,
8:03.0, , ,44-37, ,D. Garland enters the game for M. Morris,
8:03.0, , ,44-37, ,G. Niang enters the game for C. Porter,
8:03.0,J. Butler makes free throw 2 of 2,+1,45-37, , ,
7:39.0, , ,45-37, ,C. LeVert misses 3-pt jump shot from 25 ft,
7:36.0,Defensive rebound by H. Highsmith, ,45-37, , ,
7:33.0,C. Martin misses 3-pt jump shot from 24 ft, ,45-37, , ,
7:33.0, , ,45-37, ,Defensive rebound by Team,
7:33.0, , ,45-37, ,I. Okoro enters the game for C. LeVert,
7:17.0, , ,45-39,+2,G. Niang makes 2-pt layup at rim (assist by D. Garland),
7:10.0,Personal foul by D. Garland (drawn by N. Jović), ,45-39, , ,
7:10.0, , ,45-39, ,Technical foul by D. Garland,
7:10.0,J. Butler makes technical free throw,+1,46-39, , ,
7:00.0,N. Jović misses 3-pt jump shot from 24 ft, ,46-39, , ,
6:57.0, , ,46-39, ,Defensive rebound by T. Thompson,
6:36.0, , ,46-39, ,T. Thompson misses 2-pt layup from 1 ft,
6:34.0,Defensive rebound by N. Jović, ,46-39, , ,
6:27.0,J. Butler misses 3-pt jump shot from 24 ft, ,46-39, , ,
6:25.0,Offensive rebound by H. Highsmith, ,46-39, , ,
6:25.0,H. Highsmith makes 2-pt layup at rim,+2,48-39, , ,
6:25.0, , ,48-39, ,Cleveland full timeout,
6:25.0, , ,48-39, ,Technical foul by ,
6:25.0, , ,48-39, ,J. Allen enters the game for T. Thompson,
6:25.0,J. Butler makes technical free throw,+1,49-39, , ,
6:07.0, , ,49-39, ,S. Merrill misses 3-pt jump shot from 24 ft,
6:04.0,Defensive rebound by N. Jović, ,49-39, , ,
5:55.0,C. Martin misses 2-pt jump shot from 20 ft, ,49-39, , ,
5:53.0, , ,49-39, ,Defensive rebound by J. Allen,
5:36.0, , ,49-39, ,D. Garland misses 2-pt jump shot from 19 ft,
5:31.0,Defensive rebound by D. Wright, ,49-39, , ,
5:20.0,D. Wright misses 2-pt layup from 1 ft, ,49-39, , ,
5:17.0, , ,49-39, ,Defensive rebound by J. Allen,
5:02.0, , ,49-41,+2,J. Allen makes 2-pt layup at rim (assist by D. Garland),
4:49.0,J. Butler makes 2-pt layup from 1 ft,+2,51-41, , ,
4:37.0, , ,51-43,+2,J. Allen makes 2-pt layup from 1 ft (assist by D. Garland),
4:37.0,Miami full timeout, ,51-43, , ,
4:37.0,T. Bryant enters the game for J. Butler, ,51-43, , ,
4:37.0,J. Jaquez enters the game for H. Highsmith, ,51-43, , ,
4:37.0,P. Mills enters the game for N. Jović, ,51-43, , ,
4:37.0,T. Rozier enters the game for D. Wright, ,51-43, , ,
4:37.0, , ,51-43, ,C. LeVert enters the game for S. Merrill,
4:22.0,J. Jaquez makes 2-pt layup from 1 ft,+2,53-43, , ,
4:22.0,Shooting foul by G. Niang (drawn by J. Jaquez), ,53-43, , ,
4:22.0,J. Jaquez makes free throw 1 of 1,+1,54-43, , ,
4:13.0, , ,54-43, ,Personal foul by J. Jaquez (drawn by G. Niang),
