A,B,C,D,E,F,Event
1st Q
Time,Portland,,Score,,Miami,
12:00.0,Jump ball: D. Ayton vs. B. Adebayo (J. Walker gains possession),
11:38.0,D. Ayton misses 2-pt jump shot from 15 ft (block by B. Adebayo), ,0-0, , ,
11:34.0, , ,0-0, ,Defensive rebound by T. Rozier,
11:27.0, , ,0-0, ,Turnover by T. Rozier (bad pass; steal by S. Henderson),
11:22.0,K. Murray makes 3-pt jump shot from 25 ft,+3,3-0, , ,
11:01.0, , ,3-0, ,T. Rozier misses 2-pt jump shot from 12 ft,
11:01.0,Defensive rebound by D. Ayton, ,3-0, , ,
10:48.0,D. Ayton makes 2-pt jump shot from 4 ft (assist by K. Murray),+2,5-0, , ,
10:33.0, , ,5-2,+2,B. Adebayo makes 2-pt jump shot from 18 ft (assist by P. Mills),
10:19.0,K. Murray misses 3-pt jump shot from 24 ft, ,5-2, , ,
10:18.0, , ,5-2, ,Defensive rebound by Team,
10:18.0,Loose ball foul by J. Walker (drawn by T. Rozier), ,5-2, , ,
10:02.0, , ,5-4,+2,P. Mills makes 2-pt layup from 5 ft (assist by B. Adebayo),
9:40.0,D. Ayton makes 2-pt dunk from 2 ft (assist by K. Murray),+2,7-4, , ,
9:25.0, , ,7-4, ,Turnover by B. Adebayo (bad pass; steal by R. Rupert),
9:19.0,R. Rupert makes 2-pt dunk from 3 ft,+2,9-4, , ,
9:05.0, , ,9-6,+2,J. Butler makes 2-pt layup from 5 ft (assist by B. Adebayo),
8:49.0,D. Ayton misses 2-pt hook shot from 8 ft, ,9-6, , ,
8:47.0, , ,9-6, ,Defensive rebound by B. Adebayo,
8:40.0, , ,9-8,+2,B. Adebayo makes 2-pt jump shot from 8 ft,
8:22.0,D. Ayton makes 2-pt layup from 4 ft (assist by S. Henderson),+2,11-8, , ,
8:02.0, , ,11-8, ,Shooting foul by J. Walker (drawn by J. Butler),
8:02.0, , ,11-9,+1,J. Butler makes free throw 1 of 2,
8:02.0,D. Banton enters the game for J. Walker, ,11-9, , ,
8:02.0, , ,11-10,+1,J. Butler makes free throw 2 of 2,
7:44.0,Turnover by K. Murray (lost ball; steal by J. Butler), ,11-10, , ,
7:32.0, , ,11-10, ,Personal foul by R. Rupert (drawn by N. Jović),
7:25.0, , ,11-13,+3,T. Rozier makes 3-pt jump shot from 27 ft (assist by J. Butler),Lead change
7:08.0,K. Murray misses 3-pt jump shot from 23 ft, ,11-13, , ,
7:06.0, , ,11-13, ,Defensive rebound by N. Jović,
6:54.0, , ,11-15,+2,B. Adebayo makes 2-pt jump shot from 10 ft,
6:40.0,S. Henderson makes 2-pt jump shot from 13 ft,+2,13-15, , ,
6:24.0, , ,13-18,+3,T. Rozier makes 3-pt jump shot from 26 ft (assist by B. Adebayo),
6:15.0,Turnover by S. Henderson (bad pass), ,13-18, , ,
6:15.0, , ,13-18, ,Miami full timeout,
5:57.0, , ,13-18, ,J. Butler misses 3-pt jump shot from 27 ft,
5:53.0,Defensive rebound by D. Ayton, ,13-18, , ,
5:43.0,Turnover by D. Banton (bad pass; steal by P. Mills), ,13-18, , ,
5:36.0, , ,13-20,+2,B. Adebayo makes 2-pt dunk from 4 ft (assist by J. Butler),
5:18.0,S. Henderson misses 2-pt jump shot from 16 ft, ,13-20, , ,
5:15.0, , ,13-20, ,Defensive rebound by B. Adebayo,
5:05.0, , ,13-23,+3,N. Jović makes 3-pt jump shot from 23 ft (assist by T. Rozier),
4:48.0,D. Banton misses 3-pt jump shot from 27 ft, ,13-23, , ,
4:45.0,Offensive rebound by R. Rupert, ,13-23, , ,
4:33.0,Turnover by D. Ayton (lost ball; steal by N. Jović), ,13-23, , ,
4:16.0, , ,13-23, ,N. Jović misses 3-pt jump shot from 26 ft,
4:14.0,Defensive rebound by D. Banton, ,13-23, , ,
4:08.0,Turnover by D. Banton (bad pass; steal by N. Jović), ,13-23, , ,
4:04.0, , ,13-23, ,Shooting foul by R. Rupert (drawn by P. Mills),
4:04.0, , ,13-24,+1,P. Mills makes free throw 1 of 3,
4:04.0, , ,13-25,+1,P. Mills makes free throw 2 of 3,
4:04.0,M. Thybulle enters the game for R. Rupert, ,13-25, , ,
4:04.0, , ,13-25, ,C. Martin enters the game for J. Butler,
4:04.0, , ,13-26,+1,P. Mills makes free throw 3 of 3,
3:51.0,Turnover by S. Henderson (bad pass; steal by B. Adebayo), ,13-26, , ,
3:47.0, , ,13-26, ,T. Rozier misses 2-pt layup from 9 ft (block by S. Henderson),
3:43.0,Defensive rebound by S. Henderson, ,13-26, , ,
3:37.0,D. Ayton makes 2-pt jump shot from 22 ft (assist by M. Thybulle),+2,15-26, , ,
3:19.0, , ,15-26, ,B. Adebayo misses 2-pt jump shot from 13 ft,
3:16.0,Defensive rebound by D. Ayton, ,15-26, , ,
3:08.0,S. Henderson misses 2-pt jump shot from 23 ft, ,15-26, , ,
3:05.0, , ,15-26, ,Defensive rebound by B. Adebayo,
2:58.0, , ,15-26, ,Personal foul by M. Thybulle (drawn by B. Adebayo),
2:58.0,Portland full timeout, ,15-26, , ,
2:58.0,J. Minaya enters the game for S. Henderson, ,15-26, , ,
2:58.0, , ,15-26, ,J. Jaquez enters the game for P. Mills,
2:58.0, , ,15-26, ,B. Adebayo misses free throw 1 of 2,
2:58.0, , ,15-26, ,Offensive rebound by Team,
2:58.0, , ,15-27,+1,B. Adebayo makes free throw 2 of 2,
2:37.0,D. Banton makes 2-pt layup from 4 ft (assist by D. Ayton),+2,17-27, , ,
2:25.0, , ,17-27, ,Offensive foul by B. Adebayo (drawn by K. Murray),
2:25.0, , ,17-27, ,Turnover by B. Adebayo (offensive foul),
2:25.0, , ,17-27, ,T. Bryant enters the game for B. Adebayo,
2:13.0,D. Banton makes 2-pt layup from 5 ft (assist by M. Thybulle),+2,19-27, , ,
1:55.0, , ,19-27, ,T. Rozier misses 3-pt jump shot from 26 ft,
1:53.0,Defensive rebound by D. Banton, ,19-27, , ,
1:53.0,D. Reath enters the game for D. Ayton, ,19-27, , ,
1:53.0, , ,19-27, ,H. Highsmith enters the game for N. Jović,
1:32.0,D. Reath misses 3-pt jump shot from 26 ft (block by T. Bryant), ,19-27, , ,
1:28.0, , ,19-27, ,Defensive rebound by T. Rozier,
1:25.0, , ,19-29,+2,J. Jaquez makes 2-pt layup from 5 ft (assist by T. Rozier),
1:13.0,M. Thybulle misses 3-pt jump shot from 25 ft, ,19-29, , ,
1:11.0, , ,19-29, ,Defensive rebound by Team,
0:54.0, , ,19-29, ,C. Martin misses 3-pt jump shot from 25 ft,
0:52.0,Defensive rebound by M. Thybulle, ,19-29, , ,
0:44.0,K. Murray misses 3-pt jump shot from 23 ft, ,19-29, , ,
0:40.0, , ,19-29, ,Defensive rebound by H. Highsmith,
0:30.0, , ,19-29, ,T. Rozier misses 2-pt layup from 5 ft,
0:30.0,Defensive rebound by D. Banton, ,19-29, , ,
0:06.0,D. Banton misses 2-pt jump shot from 14 ft, ,19-29, , ,
0:02.0, , ,19-29, ,Defensive rebound by T. Bryant,
0:01.0, , ,19-29, ,T. Rozier misses 3-pt jump shot from 26 ft,
0:01.0, , ,19-29, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Portland,,Score,,Miami,
12:00.0,Start of 2nd quarter,
11:40.0, , ,19-29, ,H. Highsmith misses 3-pt jump shot from 25 ft,
11:36.0,Defensive rebound by J. Minaya, ,19-29, , ,
11:34.0,J. Minaya misses 2-pt layup from 4 ft, ,19-29, , ,
11:30.0, , ,19-29, ,Defensive rebound by J. Butler,
11:13.0, , ,19-29, ,T. Bryant misses 3-pt jump shot from 26 ft,
11:10.0,Defensive rebound by D. Banton, ,19-29, , ,
11:04.0,M. Thybulle misses 3-pt jump shot from 25 ft, ,19-29, , ,
11:04.0, , ,19-29, ,Defensive rebound by C. Martin,
10:48.0, , ,19-31,+2,J. Jaquez makes 2-pt layup from 4 ft (assist by J. Butler),
10:27.0,D. Reath misses 3-pt jump shot from 23 ft, ,19-31, , ,
10:25.0, , ,19-31, ,Defensive rebound by H. Highsmith,
10:19.0, , ,19-34,+3,H. Highsmith makes 3-pt jump shot from 24 ft (assist by J. Jaquez),
10:04.0,D. Banton misses 3-pt jump shot from 27 ft, ,19-34, , ,
10:02.0, , ,19-34, ,Defensive rebound by J. Jaquez,
9:59.0, , ,19-34, ,Shooting foul by D. Banton (drawn by H. Highsmith),
9:59.0, , ,19-35,+1,H. Highsmith makes free throw 1 of 2,
9:59.0,S. Henderson enters the game for J. Minaya, ,19-35, , ,
9:59.0, , ,19-35, ,H. Highsmith misses free throw 2 of 2,
9:56.0,Defensive rebound by D. Reath, ,19-35, , ,
9:36.0,D. Banton misses 3-pt jump shot from 26 ft, ,19-35, , ,
9:33.0, , ,19-35, ,Defensive rebound by C. Martin,
9:25.0, , ,19-37,+2,T. Bryant makes 2-pt jump shot from 14 ft (assist by C. Martin),
9:06.0,D. Reath misses 2-pt jump shot from 7 ft, ,19-37, , ,
9:03.0, , ,19-37, ,Defensive rebound by J. Butler,
9:00.0, , ,19-40,+3,C. Martin makes 3-pt jump shot from 26 ft (assist by J. Butler),
9:00.0,Portland full timeout, ,19-40, , ,
9:00.0,Instant Replay, ,19-40, , ,
9:00.0,D. Ayton enters the game for D. Reath, ,19-40, , ,
9:00.0,K. Murray enters the game for M. Thybulle, ,19-40, , ,
8:53.0,S. Henderson misses 2-pt layup from 4 ft (block by T. Bryant), ,19-40, , ,
8:49.0, , ,19-40, ,Defensive rebound by J. Butler,
8:46.0, , ,19-42,+2,T. Bryant makes 2-pt layup from 7 ft (assist by J. Butler),
8:30.0,D. Banton makes 2-pt jump shot from 6 ft,+2,21-42, , ,
8:30.0,Shooting foul by J. Jaquez (drawn by D. Banton), ,21-42, , ,
8:30.0,D. Banton makes free throw 1 of 1,+1,22-42, , ,
8:17.0, , ,22-44,+2,T. Bryant makes 2-pt layup from 4 ft (assist by C. Martin),
8:07.0,Shooting foul by J. Butler (drawn by J. Walker), ,22-44, , ,
8:07.0,J. Walker makes free throw 1 of 2,+1,23-44, , ,
8:07.0,J. Walker misses free throw 2 of 2, ,23-44, , ,
8:04.0, , ,23-44, ,Defensive rebound by J. Jaquez,
7:55.0, , ,23-47,+3,H. Highsmith makes 3-pt jump shot from 23 ft (assist by J. Butler),
7:40.0,Turnover by S. Henderson (bad pass; steal by J. Jaquez), ,23-47, , ,
7:34.0, , ,23-50,+3,H. Highsmith makes 3-pt jump shot from 26 ft (assist by J. Butler),
7:16.0,D. Banton misses 2-pt layup from 4 ft, ,23-50, , ,
7:09.0,Offensive rebound by D. Ayton, ,23-50, , ,
7:09.0,D. Ayton makes 2-pt dunk at rim,+2,25-50, , ,
