A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Indiana,
12:00.0,Jump ball: B. Adebayo vs. M. Turner (J. Butler gains possession),
11:43.0,D. Robinson misses 3-pt jump shot from 25 ft, ,0-0, , ,
11:41.0, , ,0-0, ,Defensive rebound by P. Siakam,
11:34.0, , ,0-0, ,P. Siakam misses 2-pt jump shot from 13 ft,
11:31.0,Defensive rebound by N. Jović, ,0-0, , ,
11:24.0,N. Jović misses 3-pt jump shot from 22 ft, ,0-0, , ,
11:21.0, , ,0-0, ,Defensive rebound by M. Turner,
11:07.0, , ,0-0, ,Turnover by T. Haliburton (discontinued dribble),
10:55.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),+2,2-0, , ,
10:33.0, , ,2-2,+2,A. Nembhard makes 2-pt layup from 4 ft,Tie
10:24.0,D. Robinson misses 3-pt jump shot from 26 ft, ,2-2, , ,
10:21.0, , ,2-2, ,Defensive rebound by M. Turner,
10:15.0, , ,2-2, ,P. Siakam misses 3-pt jump shot from 23 ft,
10:10.0,Defensive rebound by J. Butler, ,2-2, , ,
10:06.0,N. Jović makes 2-pt layup from 1 ft (assist by J. Butler),+2,4-2, , ,
9:54.0, , ,4-4,+2,M. Turner makes 2-pt layup from 2 ft (assist by A. Nembhard),Tie
9:36.0,Shooting foul by P. Siakam (drawn by B. Adebayo), ,4-4, , ,
9:36.0,B. Adebayo misses free throw 1 of 2, ,4-4, , ,
9:36.0,Offensive rebound by Team, ,4-4, , ,
9:36.0,B. Adebayo makes free throw 2 of 2,+1,5-4, , ,
9:21.0, , ,5-7,+3,T. Haliburton makes 3-pt jump shot from 25 ft,Lead change
9:06.0,T. Rozier misses 2-pt layup from 7 ft, ,5-7, , ,
9:03.0,Offensive rebound by B. Adebayo, ,5-7, , ,
9:03.0,B. Adebayo misses 2-pt layup at rim, ,5-7, , ,
9:03.0, , ,5-7, ,Defensive rebound by M. Turner,
8:49.0, , ,5-7, ,Personal foul by N. Jović (drawn by T. Haliburton),
8:46.0, , ,5-7, ,P. Siakam misses 2-pt layup from 2 ft,
8:43.0,Defensive rebound by D. Robinson, ,5-7, , ,
8:34.0,J. Butler misses 3-pt jump shot from 24 ft, ,5-7, , ,
8:31.0, , ,5-7, ,Defensive rebound by M. Turner,
8:19.0, , ,5-7, ,A. Nembhard misses 2-pt jump shot from 12 ft,
8:15.0, , ,5-7, ,Offensive rebound by P. Siakam,
8:12.0, , ,5-10,+3,A. Nesmith makes 3-pt jump shot from 27 ft (assist by P. Siakam),
7:49.0,T. Rozier makes 2-pt jump shot from 22 ft,+2,7-10, , ,
7:30.0, , ,7-12,+2,A. Nembhard makes 2-pt jump shot from 16 ft (assist by M. Turner),
7:18.0,Personal foul by A. Nembhard (drawn by T. Rozier), ,7-12, , ,
7:15.0,Personal foul by M. Turner (drawn by B. Adebayo), ,7-12, , ,
7:04.0,T. Rozier misses 2-pt jump shot from 21 ft, ,7-12, , ,
7:01.0, , ,7-12, ,Defensive rebound by T. Haliburton,
6:53.0, , ,7-12, ,Shooting foul by D. Robinson (drawn by M. Turner),
6:53.0, , ,7-12, ,Indiana full timeout,
6:53.0, , ,7-13,+1,M. Turner makes free throw 1 of 2,
6:53.0, , ,7-14,+1,M. Turner makes free throw 2 of 2,
6:40.0,D. Robinson misses 3-pt jump shot from 26 ft, ,7-14, , ,
6:35.0, , ,7-14, ,Defensive rebound by M. Turner,
6:22.0, , ,7-16,+2,P. Siakam makes 2-pt jump shot from 7 ft,
6:09.0,B. Adebayo makes 2-pt jump shot from 6 ft,+2,9-16, , ,
5:54.0, , ,9-18,+2,M. Turner makes 2-pt layup from 4 ft (assist by T. Haliburton),
5:42.0,J. Butler makes 2-pt jump shot from 11 ft,+2,11-18, , ,
5:42.0,Shooting foul by P. Siakam (drawn by J. Butler), ,11-18, , ,
5:42.0,T. Herro enters the game for N. Jović, ,11-18, , ,
5:42.0,C. Martin enters the game for D. Robinson, ,11-18, , ,
5:42.0, , ,11-18, ,T. McConnell enters the game for A. Nembhard,
5:42.0, , ,11-18, ,J. Smith enters the game for P. Siakam,
5:42.0, , ,11-18, ,O. Toppin enters the game for M. Turner,
5:42.0,J. Butler makes free throw 1 of 1,+1,12-18, , ,
5:27.0, , ,12-21,+3,T. Haliburton makes 3-pt jump shot from 28 ft,
5:16.0,C. Martin makes 2-pt layup from 3 ft (assist by J. Butler),+2,14-21, , ,
5:05.0, , ,14-23,+2,T. McConnell makes 2-pt jump shot from 12 ft,
4:50.0,Shooting foul by O. Toppin (drawn by J. Butler), ,14-23, , ,
4:50.0,J. Butler makes free throw 1 of 2,+1,15-23, , ,
4:50.0,K. Love enters the game for B. Adebayo, ,15-23, , ,
4:50.0,J. Butler makes free throw 2 of 2,+1,16-23, , ,
4:33.0, , ,16-25,+2,A. Nesmith makes 2-pt jump shot from 15 ft (assist by O. Toppin),
4:10.0,C. Martin makes 2-pt layup from 1 ft (assist by K. Love),+2,18-25, , ,
3:56.0, , ,18-25, ,O. Toppin misses 3-pt jump shot from 23 ft,
3:54.0, , ,18-25, ,Offensive rebound by Team,
3:54.0,H. Highsmith enters the game for T. Rozier, ,18-25, , ,
3:47.0, , ,18-27,+2,J. Smith makes 2-pt layup from 2 ft (assist by T. McConnell),
3:24.0,K. Love makes 2-pt jump shot from 8 ft (assist by C. Martin),+2,20-27, , ,
3:15.0, , ,20-29,+2,O. Toppin makes 2-pt layup from 1 ft (assist by T. McConnell),
2:54.0,K. Love misses 2-pt layup from 3 ft, ,20-29, , ,
2:52.0, , ,20-29, ,Defensive rebound by A. Nesmith,
2:52.0, , ,20-29, ,Turnover by A. Nesmith (bad pass),
2:52.0,Miami full timeout, ,20-29, , ,
2:52.0, , ,20-29, ,B. Sheppard enters the game for A. Nesmith,
2:44.0,K. Love misses 3-pt jump shot from 28 ft, ,20-29, , ,
2:40.0,Offensive rebound by C. Martin, ,20-29, , ,
2:38.0,C. Martin makes 2-pt layup from 4 ft,+2,22-29, , ,
2:38.0, , ,22-29, ,Violation by Team (def goaltending),
2:26.0, , ,22-31,+2,T. McConnell makes 2-pt layup from 2 ft,
2:14.0,T. Herro misses 2-pt jump shot from 7 ft, ,22-31, , ,
2:11.0, , ,22-31, ,Defensive rebound by J. Smith,
2:04.0, , ,22-31, ,T. McConnell misses 2-pt jump shot from 5 ft,
2:03.0, , ,22-31, ,Offensive rebound by Team,
1:55.0, , ,22-33,+2,J. Smith makes 2-pt dunk from 3 ft (assist by T. Haliburton),
1:37.0,J. Butler misses 3-pt jump shot from 24 ft, ,22-33, , ,
1:33.0, , ,22-33, ,Defensive rebound by B. Sheppard,
1:29.0, , ,22-33, ,J. Smith misses 3-pt jump shot from 26 ft,
1:25.0,Defensive rebound by T. Herro, ,22-33, , ,
1:22.0,Shooting foul by J. Smith (drawn by J. Butler), ,22-33, , ,
1:22.0,J. Butler makes free throw 1 of 2,+1,23-33, , ,
1:22.0,J. Butler makes free throw 2 of 2,+1,24-33, , ,
1:02.0, , ,24-36,+3,O. Toppin makes 3-pt jump shot from 26 ft (assist by J. Smith),
0:48.0,J. Butler misses 2-pt jump shot from 16 ft, ,24-36, , ,
0:45.0, , ,24-36, ,Defensive rebound by Team,
0:45.0,Loose ball foul by H. Highsmith (drawn by T. McConnell), ,24-36, , ,
0:31.0, , ,24-38,+2,T. McConnell makes 2-pt jump shot from 10 ft (assist by J. Smith),
0:20.0,K. Love misses 2-pt jump shot from 4 ft, ,24-38, , ,
0:17.0, , ,24-38, ,Defensive rebound by T. Haliburton,
0:01.0, , ,24-38, ,T. Haliburton misses 3-pt jump shot from 32 ft,
0:01.0, , ,24-38, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Indiana,
12:00.0,Start of 2nd quarter,
11:41.0, , ,24-38, ,M. Turner misses 2-pt jump shot from 17 ft (block by H. Highsmith),
11:36.0,Defensive rebound by H. Highsmith, ,24-38, , ,
11:23.0,B. Adebayo makes 2-pt hook shot from 7 ft (assist by C. Martin),+2,26-38, , ,
10:58.0, , ,26-40,+2,O. Toppin makes 2-pt jump shot from 10 ft (assist by M. Turner),
10:32.0,B. Adebayo makes 2-pt jump shot from 15 ft,+2,28-40, , ,
10:14.0, , ,28-40, ,A. Nesmith misses 3-pt jump shot from 26 ft,
10:12.0,Defensive rebound by B. Adebayo, ,28-40, , ,
10:03.0,B. Adebayo misses 3-pt jump shot from 25 ft, ,28-40, , ,
10:00.0, , ,28-40, ,Defensive rebound by O. Toppin,
9:53.0, , ,28-42,+2,T. McConnell makes 2-pt layup from 5 ft,
9:41.0,Personal foul by O. Toppin (drawn by B. Adebayo), ,28-42, , ,
9:41.0, , ,28-42, ,P. Siakam enters the game for O. Toppin,
9:37.0,H. Highsmith misses 3-pt jump shot from 25 ft, ,28-42, , ,
9:33.0, , ,28-42, ,Defensive rebound by M. Turner,
9:20.0, , ,28-42, ,A. Nesmith misses 3-pt jump shot from 26 ft,
9:17.0,Defensive rebound by H. Highsmith, ,28-42, , ,
9:12.0,Personal foul by T. McConnell (drawn by C. Martin), ,28-42, , ,
9:05.0,T. Herro makes 2-pt jump shot from 8 ft,+2,30-42, , ,
8:47.0, , ,30-44,+2,T. McConnell makes 2-pt jump shot from 10 ft,
8:33.0,T. Herro misses 3-pt jump shot from 27 ft, ,30-44, , ,
8:29.0, , ,30-44, ,Defensive rebound by M. Turner,
8:26.0, , ,30-44, ,B. Sheppard misses 3-pt jump shot from 23 ft,
8:22.0,Defensive rebound by C. Martin, ,30-44, , ,
8:15.0,T. Herro makes 3-pt jump shot from 27 ft (assist by B. Adebayo),+3,33-44, , ,
7:58.0, , ,33-46,+2,T. McConnell makes 2-pt jump shot from 8 ft (assist by B. Sheppard),
7:38.0,B. Adebayo misses 3-pt jump shot from 23 ft, ,33-46, , ,
7:35.0, , ,33-46, ,Defensive rebound by P. Siakam,
7:18.0, , ,33-46, ,M. Turner misses 3-pt jump shot from 29 ft,
7:14.0,Defensive rebound by T. Herro, ,33-46, , ,
7:08.0,T. Herro misses 3-pt jump shot from 27 ft, ,33-46, , ,
7:04.0, , ,33-46, ,Defensive rebound by A. Nesmith,
6:51.0, , ,33-46, ,M. Turner misses 2-pt layup from 3 ft,
6:49.0,Defensive rebound by J. Jaquez, ,33-46, , ,
6:42.0,T. Herro misses 2-pt layup from 2 ft, ,33-46, , ,
6:40.0,Offensive rebound by B. Adebayo, ,33-46, , ,
6:40.0,B. Adebayo misses 2-pt layup from 2 ft (block by A. Nesmith), ,33-46, , ,
6:39.0, , ,33-46, ,Defensive rebound by P. Siakam,
6:38.0, , ,33-46, ,Indiana full timeout,
6:38.0,J. Butler enters the game for T. Herro, ,33-46, , ,
6:38.0,D. Robinson enters the game for J. Jaquez, ,33-46, , ,
6:38.0,T. Rozier enters the game for C. Martin, ,33-46, , ,
6:38.0, , ,33-46, ,A. Nembhard enters the game for A. Nesmith,
6:23.0, , ,33-48,+2,T. McConnell makes 2-pt jump shot from 10 ft (assist by A. Nembhard),
6:05.0,Turnover by D. Robinson (bad pass; steal by A. Nembhard), ,33-48, , ,
6:02.0, , ,33-48, ,Shooting foul by D. Robinson (drawn by P. Siakam),
6:02.0, , ,33-49,+1,P. Siakam makes free throw 1 of 2,
6:02.0, , ,33-50,+1,P. Siakam makes free throw 2 of 2,
5:45.0,D. Robinson misses 3-pt jump shot from 25 ft, ,33-50, , ,
5:41.0, , ,33-50, ,Defensive rebound by Team,
5:41.0,J. Jaquez enters the game for B. Adebayo, ,33-50, , ,
5:41.0,K. Love enters the game for H. Highsmith, ,33-50, , ,
5:41.0,C. Martin enters the game for D. Robinson, ,33-50, , ,
5:27.0, , ,33-50, ,Shooting foul by C. Martin (drawn by M. Turner),
5:27.0, , ,33-51,+1,M. Turner makes free throw 1 of 2,
5:27.0, , ,33-52,+1,M. Turner makes free throw 2 of 2,
5:21.0,Turnover by K. Love (bad pass; steal by T. McConnell), ,33-52, , ,
5:15.0, , ,33-52, ,Turnover by T. McConnell (bad pass; steal by T. Rozier),
5:12.0,T. Rozier misses 2-pt layup from 3 ft (block by M. Turner), ,33-52, , ,
5:07.0,Offensive rebound by J. Butler, ,33-52, , ,
