A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,Philadelphia,
12:00.0,Jump ball: B. Adebayo vs. J. Embiid (T. Maxey gains possession),
11:32.0, , ,0-2,+2,T. Harris makes 2-pt jump shot from 17 ft,
11:07.0,B. Adebayo misses 3-pt jump shot from 28 ft, ,0-2, , ,
11:04.0, , ,0-2, ,Defensive rebound by J. Embiid,
10:59.0, , ,0-2, ,J. Embiid misses 2-pt jump shot from 15 ft,
10:56.0,Defensive rebound by C. Martin, ,0-2, , ,
10:53.0,Personal foul by T. Harris (drawn by C. Martin), ,0-2, , ,
10:47.0,J. Butler misses 2-pt jump shot from 8 ft, ,0-2, , ,
10:44.0, , ,0-2, ,Defensive rebound by T. Maxey,
10:40.0, , ,0-2, ,T. Maxey misses 3-pt jump shot from 29 ft,
10:35.0,Defensive rebound by N. Jović, ,0-2, , ,
10:31.0,T. Herro misses 3-pt jump shot from 27 ft, ,0-2, , ,
10:26.0, , ,0-2, ,Defensive rebound by J. Embiid,
10:20.0, , ,0-2, ,Philadelphia full timeout,
10:11.0, , ,0-2, ,Turnover by T. Harris (off goaltending),
9:51.0,Turnover by T. Herro (lost ball; steal by K. Lowry), ,0-2, , ,
9:48.0, , ,0-4,+2,T. Maxey makes 2-pt layup from 2 ft,
9:39.0,N. Jović makes 2-pt layup from 3 ft,+2,2-4, , ,
9:21.0, , ,2-4, ,T. Harris misses 3-pt jump shot from 24 ft,
9:19.0,Defensive rebound by J. Butler, ,2-4, , ,
9:11.0,Turnover by T. Herro (traveling), ,2-4, , ,
8:57.0, , ,2-4, ,K. Lowry misses 3-pt jump shot from 27 ft,
8:52.0,Defensive rebound by N. Jović, ,2-4, , ,
8:49.0, , ,2-4, ,Violation by Team (kicked ball),
8:44.0,Turnover by N. Jović (bad pass), ,2-4, , ,
8:35.0, , ,2-4, ,T. Maxey misses 3-pt jump shot from 27 ft,
8:32.0,Defensive rebound by B. Adebayo, ,2-4, , ,
8:15.0,J. Butler misses 2-pt jump shot from 17 ft, ,2-4, , ,
8:11.0, , ,2-4, ,Defensive rebound by K. Oubre,
7:59.0, , ,2-4, ,K. Oubre misses 2-pt layup from 6 ft (block by B. Adebayo),
7:59.0, , ,2-4, ,Offensive rebound by Team,
7:51.0, , ,2-4, ,Shooting foul by B. Adebayo (drawn by J. Embiid),
7:51.0, , ,2-5,+1,J. Embiid makes free throw 1 of 2,
7:51.0, , ,2-5, ,J. Embiid misses free throw 2 of 2,
7:49.0,Defensive rebound by N. Jović, ,2-5, , ,
7:35.0,T. Herro misses 3-pt jump shot from 26 ft, ,2-5, , ,
