A,B,C,D,E,F,Event
1st Q
Time,Miami,,Score,,LA Clippers,
12:00.0,Jump ball: B. Adebayo vs. I. Zubac (K. Lowry gains possession),
11:34.0,J. Cain misses 2-pt jump shot from 12 ft, ,0-0, , ,
11:32.0, , ,0-0, ,Defensive rebound by T. Mann,
11:20.0, , ,0-0, ,K. Leonard misses 3-pt jump shot from 22 ft,
11:17.0,Defensive rebound by B. Adebayo, ,0-0, , ,
11:11.0,K. Lowry makes 2-pt jump shot from 23 ft (assist by T. Herro),+2,2-0, , ,
10:52.0, , ,2-3,+3,T. Mann makes 3-pt jump shot from 25 ft (assist by I. Zubac),Lead change
10:38.0,B. Adebayo misses 2-pt jump shot from 15 ft, ,2-3, , ,
10:34.0, , ,2-3, ,Defensive rebound by P. George,
10:26.0, , ,2-5,+2,J. Harden makes 2-pt layup from 1 ft,
10:01.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by K. Lowry),+2,4-5, , ,
9:31.0, , ,4-8,+3,J. Harden makes 3-pt jump shot from 26 ft (assist by K. Leonard),
9:04.0,B. Adebayo misses 2-pt jump shot from 16 ft, ,4-8, , ,
9:01.0, , ,4-8, ,Defensive rebound by I. Zubac,
8:51.0, , ,4-8, ,Turnover by P. George (step out of bounds),
8:39.0,T. Herro makes 3-pt jump shot from 26 ft (assist by J. Jaquez),+3,7-8, , ,
8:24.0, , ,7-8, ,Turnover by K. Leonard (lost ball; steal by J. Jaquez),
8:21.0,T. Herro misses 3-pt jump shot from 25 ft, ,7-8, , ,
8:17.0, , ,7-8, ,Defensive rebound by P. George,
8:07.0, , ,7-8, ,Turnover by I. Zubac (3 sec),
7:55.0,B. Adebayo misses 2-pt layup from 6 ft (block by J. Harden), ,7-8, , ,
7:55.0,Offensive rebound by Team, ,7-8, , ,
7:48.0,K. Lowry makes 2-pt hook shot from 7 ft (assist by B. Adebayo),+2,9-8, , ,Lead change
7:33.0, , ,9-8, ,K. Leonard misses 2-pt jump shot from 9 ft,
7:29.0,Defensive rebound by B. Adebayo, ,9-8, , ,
7:18.0,B. Adebayo misses 2-pt hook shot from 6 ft, ,9-8, , ,
7:15.0, , ,9-8, ,Defensive rebound by P. George,
7:10.0, , ,9-8, ,P. George misses 2-pt jump shot from 21 ft,
7:06.0,Defensive rebound by B. Adebayo, ,9-8, , ,
6:58.0,Shooting foul by T. Mann (drawn by K. Lowry), ,9-8, , ,
6:58.0, , ,9-8, ,LA Clippers full timeout,
6:58.0, , ,9-8, ,R. Westbrook enters the game for J. Harden,
6:58.0,K. Lowry makes free throw 1 of 2,+1,10-8, , ,
6:58.0,K. Lowry makes free throw 2 of 2,+1,11-8, , ,
6:37.0, , ,11-10,+2,P. George makes 2-pt layup from 2 ft,
6:17.0,Turnover by T. Herro (lost ball; steal by P. George), ,11-10, , ,
6:11.0, , ,11-12,+2,P. George makes 2-pt jump shot from 20 ft,Lead change
5:48.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Herro),+2,13-12, , ,Lead change
5:34.0, , ,13-12, ,Shooting foul by J. Cain (drawn by P. George),
5:34.0, , ,13-13,+1,P. George makes free throw 1 of 2,Tie
5:34.0,K. Love enters the game for B. Adebayo, ,13-13, , ,
5:34.0,D. Robinson enters the game for J. Jaquez, ,13-13, , ,
5:34.0, , ,13-13, ,N. Powell enters the game for T. Mann,
5:34.0, , ,13-14,+1,P. George makes free throw 2 of 2,Lead change
5:22.0,K. Love makes 2-pt layup from 3 ft (assist by T. Herro),+2,15-14, , ,Lead change
5:12.0, , ,15-14, ,Turnover by R. Westbrook (bad pass; steal by T. Herro),
5:06.0,J. Cain misses 2-pt jump shot from 4 ft, ,15-14, , ,
5:03.0, , ,15-14, ,Defensive rebound by K. Leonard,
4:57.0, , ,15-16,+2,R. Westbrook makes 2-pt jump shot from 16 ft,Lead change
4:38.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Lowry),+3,18-16, , ,Lead change
4:38.0, , ,18-16, ,A. Coffey enters the game for K. Leonard,
4:11.0, , ,18-16, ,Turnover by Team (shot clock),
3:53.0,K. Love makes 2-pt hook shot from 5 ft (assist by D. Robinson),+2,20-16, , ,
3:37.0, , ,20-19,+3,N. Powell makes 3-pt jump shot from 22 ft (assist by P. George),
3:22.0,Turnover by K. Lowry (bad pass; steal by N. Powell), ,20-19, , ,
3:17.0, , ,20-19, ,Turnover by N. Powell (bad pass; steal by T. Herro),
3:11.0,T. Herro makes 3-pt jump shot from 26 ft (assist by K. Love),+3,23-19, , ,
2:58.0, , ,23-19, ,Shooting foul by K. Love (drawn by P. George),
2:58.0,Miami full timeout, ,23-19, , ,
2:58.0,B. Adebayo enters the game for J. Cain, ,23-19, , ,
2:58.0,R. Hampton enters the game for T. Herro, ,23-19, , ,
2:58.0,J. Jaquez enters the game for K. Lowry, ,23-19, , ,
2:58.0, , ,23-19, ,D. Theis enters the game for I. Zubac,
2:58.0, , ,23-20,+1,P. George makes free throw 1 of 2,
2:58.0, , ,23-21,+1,P. George makes free throw 2 of 2,
2:39.0,Shooting foul by N. Powell (drawn by D. Robinson), ,23-21, , ,
2:39.0,D. Robinson makes free throw 1 of 3,+1,24-21, , ,
2:39.0,D. Robinson makes free throw 2 of 3,+1,25-21, , ,
2:39.0,D. Robinson makes free throw 3 of 3,+1,26-21, , ,
2:25.0, , ,26-23,+2,R. Westbrook makes 2-pt layup from 1 ft,
2:04.0,Shooting foul by P. George (drawn by D. Robinson), ,26-23, , ,
2:04.0,D. Robinson makes free throw 1 of 2,+1,27-23, , ,
2:04.0,D. Robinson makes free throw 2 of 2,+1,28-23, , ,
1:50.0, , ,28-23, ,Personal foul by B. Adebayo (drawn by P. George),
1:38.0, , ,28-23, ,R. Westbrook misses 2-pt layup from 5 ft,
1:35.0,Defensive rebound by B. Adebayo, ,28-23, , ,
1:29.0,D. Robinson misses 3-pt jump shot from 26 ft, ,28-23, , ,
1:27.0,Offensive rebound by K. Love, ,28-23, , ,
1:25.0,K. Love makes 2-pt layup from 2 ft,+2,30-23, , ,
1:04.0, , ,30-23, ,R. Westbrook misses 3-pt jump shot from 24 ft,
1:01.0,Defensive rebound by K. Love, ,30-23, , ,
0:57.0,Personal foul by N. Powell (drawn by B. Adebayo), ,30-23, , ,
0:50.0,D. Robinson misses 2-pt jump shot from 6 ft, ,30-23, , ,
0:47.0, , ,30-23, ,Defensive rebound by R. Westbrook,
0:40.0, , ,30-23, ,R. Westbrook misses 2-pt layup from 2 ft (block by K. Love),
0:36.0,Defensive rebound by B. Adebayo, ,30-23, , ,
